county,precinct,office,district,party,office,early_voting,election_day,votes
Erath,Precinct 12 STP,US Senate,,GRN,David B. Collins,2,3,5
Erath,Precinct 12 STP,US Senate,,,Over Votes,0,0,0
Erath,Precinct 12 STP,US Senate,,,Under Votes,6,9,15
Erath,Precinct 12 STP,US House,25,REP,Roger Williams,408,140,548
Erath,Precinct 12 STP,US House,25,DEM,Elaine M. Henderson,62,39,101
Erath,Precinct 12 STP,US House,25,LIB,Betsy Dewey,13,7,20
Erath,Precinct 12 STP,US House,25,,Over Votes,0,0,0
Erath,Precinct 12 STP,US House,25,,Under Votes,18,9,27
Erath,Precinct 12 STP,Railroad Commissioner,,REP,Christi Craddick,385,136,521
Erath,Precinct 12 STP,Railroad Commissioner,,DEM,Dale Henry,69,37,106
Erath,Precinct 12 STP,Railroad Commissioner,,LIB,Vivekananda (Vik) Wall,12,7,19
Erath,Precinct 12 STP,Railroad Commissioner,,GRN,Chris Kennedy,5,4,9
Erath,Precinct 12 STP,Railroad Commissioner,,,Over Votes,0,0,0
Erath,Precinct 12 STP,Railroad Commissioner,,,Under Votes,30,11,41
Erath,Precinct 12 STP,Railroad Commissioner,unexpired,REP,Barry Smitherman,397,139,536
Erath,Precinct 12 STP,Railroad Commissioner,unexpired,LIB,Jaime O. Perez,17,20,37
Erath,Precinct 12 STP,Railroad Commissioner,unexpired,GRN,Josh Wendel,21,12,33
Erath,Precinct 12 STP,Railroad Commissioner,unexpired,,Over Votes,0,0,0
Erath,Precinct 12 STP,Railroad Commissioner,unexpired,,Under Votes,66,24,90
Erath,Precinct 12 STP,State Senate,30,REP,Craig Estes,407,148,555
Erath,Precinct 12 STP,State Senate,30,LIB,"Richard Wells Forsythe, Jr.",34,21,55
Erath,Precinct 12 STP,State Senate,30,,Over Votes,0,0,0
Erath,Precinct 12 STP,State Senate,30,,Under Votes,60,26,86
Erath,Precinct 12 STP,State House,59,REP,J.D. Sheffield,424,142,566
Erath,Precinct 12 STP,State House,59,DEM,Bill Norris,64,38,102
Erath,Precinct 12 STP,State House,59,,Over Votes,0,0,0
Erath,Precinct 12 STP,State House,59,,Under Votes,13,15,28
Erath,Precinct 18,Ballots Cast,,,,,,970
Erath,Precinct 18,Straight Party,,REP,Republican Party,317,111,428
Erath,Precinct 18,Straight Party,,DEM,Democratic Party,38,21,59
Erath,Precinct 18,Straight Party,,LIB,Libertarian Party,1,1,2
Erath,Precinct 18,Straight Party,,GRN,Green Party,3,1,4
Erath,Precinct 18,Straight Party,,,Over Votes,0,0,0
Erath,Precinct 18,Straight Party,,,Under Votes,322,155,477
Erath,Precinct 18,President,,REP,Mitt Romney \ Paul Ryan,578,234,812
Erath,Precinct 18,President,,DEM,Barack Obama \ Joe Biden,80,46,126
Erath,Precinct 18,President,,LIB,Gary Johnson \ Jim Gray,5,2,7
Erath,Precinct 18,President,,GRN,Jill Stein \ Cheri Honkala,2,3,5
Erath,Precinct 18,President,,,VIRGIL GOODE (W),0,0,0
Erath,Precinct 18,President,,,Over Votes,0,0,0
Erath,Precinct 18,President,,,Under Votes,16,4,20
Erath,Precinct 18,US Senate,,REP,Ted Cruz,556,222,778
Erath,Precinct 18,US Senate,,DEM,Paul Sadler,93,49,142
Erath,Precinct 18,US Senate,,LIB,John Jay Myers,6,6,12
Erath,Precinct 18,US Senate,,GRN,David B. Collins,7,4,11
Erath,Precinct 18,US Senate,,,Over Votes,0,0,0
Erath,Precinct 18,US Senate,,,Under Votes,19,8,27
Erath,Precinct 18,US House,25,REP,Roger Williams,551,216,767
Erath,Precinct 18,US House,25,DEM,Elaine M. Henderson,78,43,121
Erath,Precinct 18,US House,25,LIB,Betsy Dewey,22,13,35
Erath,Precinct 18,US House,25,,Over Votes,0,0,0
Erath,Precinct 18,US House,25,,Under Votes,30,17,47
Erath,Precinct 18,Railroad Commissioner,,REP,Christi Craddick,547,217,764
Erath,Precinct 18,Railroad Commissioner,,DEM,Dale Henry,84,45,129
Erath,Precinct 18,Railroad Commissioner,,LIB,Vivekananda (Vik) Wall,13,7,20
Erath,Precinct 18,Railroad Commissioner,,GRN,Chris Kennedy,13,6,19
Erath,Precinct 18,Railroad Commissioner,,,Over Votes,0,0,0
Erath,Precinct 18,Railroad Commissioner,,,Under Votes,24,14,38
Erath,Precinct 18,Railroad Commissioner,unexpired,REP,Barry Smitherman,559,221,780
Erath,Precinct 18,Railroad Commissioner,unexpired,LIB,Jaime O. Perez,36,22,58
Erath,Precinct 18,Railroad Commissioner,unexpired,GRN,Josh Wendel,24,15,39
Erath,Precinct 18,Railroad Commissioner,unexpired,,Over Votes,0,0,0
Erath,Precinct 18,Railroad Commissioner,unexpired,,Under Votes,62,31,93
Erath,Precinct 18,State Senate,30,REP,Craig Estes,555,221,776
Erath,Precinct 18,State Senate,30,LIB,"Richard Wells Forsythe, Jr.",52,35,87
Erath,Precinct 18,State Senate,30,,Over Votes,0,0,0
Erath,Precinct 18,State Senate,30,,Under Votes,74,33,107
Erath,Precinct 18,State House,59,REP,J.D. Sheffield,560,227,787
Erath,Precinct 18,State House,59,DEM,Bill Norris,91,44,135
Erath,Precinct 18,State House,59,,Over Votes,0,0,0
Erath,Precinct 18,State House,59,,Under Votes,30,18,48
Erath,Precinct 18 STP,Ballots Cast,,,,,,56
Erath,Precinct 18 STP,Straight Party,,REP,Republican Party,18,9,27
Erath,Precinct 18 STP,Straight Party,,DEM,Democratic Party,0,1,1
Erath,Precinct 18 STP,Straight Party,,LIB,Libertarian Party,0,0,0
Erath,Precinct 18 STP,Straight Party,,GRN,Green Party,0,0,0
Erath,Precinct 18 STP,Straight Party,,,Over Votes,0,0,0
