county,precinct,office,district,party,candidate,votes,early_votes,election_day
Lubbock,5,Railroad Commissioner,,REP,Ron Hale,3,1,2
Lubbock,5,Railroad Commissioner,,REP,John Greytok,2,1,1
Lubbock,5,Railroad Commissioner,,REP,Wayne Christian,4,2,2
Lubbock,5,Railroad Commissioner,,REP,Lance N. Christian,2,0,2
Lubbock,5,Railroad Commissioner,,REP,Doug Jeffrey,5,1,4
Lubbock,5,Railroad Commissioner,,REP,Weston Martinez,31,8,23
Lubbock,5,Railroad Commissioner,,REP,Gary Gates,5,2,3
Lubbock,5,"Justice, Supreme Court, Place 3",,REP,Debra Lehrmann,23,6,17
Lubbock,5,"Justice, Supreme Court, Place 3",,REP,Michael Massengale,31,13,18
Lubbock,5,"Justice, Supreme Court, Place 5",,REP,Paul Green,25,9,16
Lubbock,5,"Justice, Supreme Court, Place 5",,REP,Rick Green,23,5,18
Lubbock,5,"Justice, Supreme Court, Place 9",,REP,Eva Guzman,41,15,26
Lubbock,5,"Justice, Supreme Court, Place 9",,REP,Joe Pool,14,4,10
Lubbock,5,"Judge, Court of Criminal Appeals, Place 2",,REP,Chris Oldner,13,1,12
Lubbock,5,"Judge, Court of Criminal Appeals, Place 2",,REP,Ray Wheless,17,6,11
Lubbock,5,"Judge, Court of Criminal Appeals, Place 2",,REP,Mary Lou Keel,16,7,9
Lubbock,5,"Judge, Court of Criminal Appeals, Place 5",,REP,Scott Walker,18,5,13
Lubbock,5,"Judge, Court of Criminal Appeals, Place 5",,REP,Steve Smith,12,4,8
Lubbock,5,"Judge, Court of Criminal Appeals, Place 5",,REP,Brent Webster,9,2,7
Lubbock,5,"Judge, Court of Criminal Appeals, Place 5",,REP,Sid Harle,7,4,3
Lubbock,5,"Judge, Court of Criminal Appeals, Place 6",,REP,Michael E. Keasler,28,11,17
Lubbock,5,"Judge, Court of Criminal Appeals, Place 6",,REP,Richard Davis,18,4,14
Lubbock,5,"Member, State Board of Education",15,REP,Marty Rowley,43,13,30
Lubbock,5,State Senate,28,REP,Charles Perry,50,15,35
Lubbock,5,State Representative,84,REP,John Frullo,39,12,27
Lubbock,5,State Representative,84,REP,Jim Landtroop,21,8,13
Lubbock,5,"Justice, 7th Court of Appeals District, Place 4",,REP,Jim Campbell,46,14,32
Lubbock,5,"District Judge, 72nd Judicial District",,REP,Ruben G. Reyes,58,18,40
Lubbock,5,"District Judge, 99th Judicial District",,REP,William C. (Bill) Sowder,55,19,36
Lubbock,5,"District Judge, 140th Judicial District",,REP,Jim Bob Darnell,53,17,36
Lubbock,5,Sheriff,,REP,Kelly S. Rowe,54,17,37
Lubbock,5,County Tax Assessor-Collector,,REP,Ronnie Keister,51,17,34
Lubbock,5,"County Treasurer, Unexpired Term",,REP,Chris Winn,50,17,33
Lubbock,5,"County Commissioner, Precinct 3",,REP,Frank Gutierrez,49,16,33
Lubbock,5,County Party Chair,,REP,Steve Evans,45,12,33
Lubbock,5,Republican Proposition #1,,REP,Yes,45,16,29
Lubbock,5,Republican Proposition #1,,REP,No,15,2,13
Lubbock,5,Republican Proposition #2,,REP,Yes,31,7,24
Lubbock,5,Republican Proposition #2,,REP,No,27,9,18
Lubbock,5,Republican Proposition #3,,REP,Yes,43,15,28
Lubbock,5,Republican Proposition #3,,REP,No,18,2,16
Lubbock,5,Republican Proposition #4,,REP,Yes,59,17,42
Lubbock,5,Republican Proposition #4,,REP,No,5,1,4
Lubbock,6,President,,REP,Rick Santorum,1,1,0
Lubbock,6,President,,REP,Carly Fiorina,0,0,0
Lubbock,6,President,,REP,John R. Kasich,0,0,0
Lubbock,6,President,,REP,Mike Huckabee,1,1,0
Lubbock,6,President,,REP,Jeb Bush,1,1,0
Lubbock,6,President,,REP,Elizabeth Gray,0,0,0
Lubbock,6,President,,REP,Rand Paul,0,0,0
Lubbock,6,President,,REP,Lindsey Graham,0,0,0
Lubbock,6,President,,REP,Marco Rubio,4,2,2
Lubbock,6,President,,REP,Chris Christie,0,0,0
Lubbock,6,President,,REP,Ben Carson,3,3,0
Lubbock,6,President,,REP,Donald J. Trump,6,4,2
Lubbock,6,President,,REP,Ted Cruz,9,3,6
Lubbock,6,President,,REP,Uncommitted,2,0,2
Lubbock,6,U.S. House,19,REP,Greg Garrett,1,1,0
Lubbock,6,U.S. House,19,REP,John C. Key,1,0,1
Lubbock,6,U.S. House,19,REP,Jason Corley,0,0,0
Lubbock,6,U.S. House,19,REP,DeRenda Warren,2,0,2
Lubbock,6,U.S. House,19,REP,Glen Robertson,12,7,5
Lubbock,6,U.S. House,19,REP,Don Parrish,1,1,0
Lubbock,6,U.S. House,19,REP,Michael Bob Starr,1,1,0
Lubbock,6,U.S. House,19,REP,Jodey Arrington,6,4,2
Lubbock,6,U.S. House,19,REP,Donald R. May,1,0,1
Lubbock,6,Railroad Commissioner,,REP,Ron Hale,2,1,1
Lubbock,6,Railroad Commissioner,,REP,John Greytok,0,0,0
Lubbock,6,Railroad Commissioner,,REP,Wayne Christian,2,1,1
Lubbock,6,Railroad Commissioner,,REP,Lance N. Christian,3,3,0
Lubbock,6,Railroad Commissioner,,REP,Doug Jeffrey,2,0,2
Lubbock,6,Railroad Commissioner,,REP,Weston Martinez,11,4,7
Lubbock,6,Railroad Commissioner,,REP,Gary Gates,3,3,0
Lubbock,6,"Justice, Supreme Court, Place 3",,REP,Debra Lehrmann,12,5,7
Lubbock,6,"Justice, Supreme Court, Place 3",,REP,Michael Massengale,7,5,2
Lubbock,6,"Justice, Supreme Court, Place 5",,REP,Paul Green,11,4,7
Lubbock,6,"Justice, Supreme Court, Place 5",,REP,Rick Green,8,7,1
Lubbock,6,"Justice, Supreme Court, Place 9",,REP,Eva Guzman,18,7,11
Lubbock,6,"Justice, Supreme Court, Place 9",,REP,Joe Pool,4,4,0
Lubbock,6,"Judge, Court of Criminal Appeals, Place 2",,REP,Chris Oldner,8,6,2
Lubbock,6,"Judge, Court of Criminal Appeals, Place 2",,REP,Ray Wheless,3,0,3
Lubbock,6,"Judge, Court of Criminal Appeals, Place 2",,REP,Mary Lou Keel,7,4,3
