county,precinct,office,district,party,candidate,votes,,,,,,,,,,
Nacogdoches,30/31/32,Commissioner of Agriculture,,GRN,Kenneth Kendrick,21,,,,,,,,,,
Nacogdoches,33/34,Commissioner of Agriculture,,GRN,Kenneth Kendrick,27,,,,,,,,,,
Nacogdoches,41/43,Commissioner of Agriculture,,GRN,Kenneth Kendrick,8,,,,,,,,,,
Nacogdoches,42,Commissioner of Agriculture,,GRN,Kenneth Kendrick,7,,,,,,,,,,
Nacogdoches,44,Commissioner of Agriculture,,GRN,Kenneth Kendrick,9,,,,,,,,,,
Nacogdoches,45,Commissioner of Agriculture,,GRN,Kenneth Kendrick,4,,,,,,,,,,
Nacogdoches,46,Commissioner of Agriculture,,GRN,Kenneth Kendrick,3,,,,,,,,,,
Nacogdoches,47,Commissioner of Agriculture,,GRN,Kenneth Kendrick,1,,,,,,,,,,
Nacogdoches,12,Railroad Commissioner,,REP,Ryan Sitton,578,,,,,,,,,,
Nacogdoches,13,Railroad Commissioner,,REP,Ryan Sitton,393,,,,,,,,,,
Nacogdoches,14/17,Railroad Commissioner,,REP,Ryan Sitton,879,,,,,,,,,,
Nacogdoches,15,Railroad Commissioner,,REP,Ryan Sitton,431,,,,,,,,,,
Nacogdoches,16,Railroad Commissioner,,REP,Ryan Sitton,930,,,,,,,,,,
Nacogdoches,21,Railroad Commissioner,,REP,Ryan Sitton,495,,,,,,,,,,
Nacogdoches,22/23/24/25,Railroad Commissioner,,REP,Ryan Sitton,150,,,,,,,,,,
Nacogdoches,26,Railroad Commissioner,,REP,Ryan Sitton,540,,,,,,,,,,
Nacogdoches,27,Railroad Commissioner,,REP,Ryan Sitton,16,,,,,,,,,,
Nacogdoches,30/31/32,Railroad Commissioner,,REP,Ryan Sitton,572,,,,,,,,,,
Nacogdoches,33/34,Railroad Commissioner,,REP,Ryan Sitton,1396,,,,,,,,,,
Nacogdoches,41/43,Railroad Commissioner,,REP,Ryan Sitton,571,,,,,,,,,,
Nacogdoches,42,Railroad Commissioner,,REP,Ryan Sitton,345,,,,,,,,,,
Nacogdoches,44,Railroad Commissioner,,REP,Ryan Sitton,516,,,,,,,,,,
Nacogdoches,45,Railroad Commissioner,,REP,Ryan Sitton,306,,,,,,,,,,
Nacogdoches,46,Railroad Commissioner,,REP,Ryan Sitton,263,,,,,,,,,,
Nacogdoches,47,Railroad Commissioner,,REP,Ryan Sitton,283,,,,,,,,,,
Nacogdoches,12,Railroad Commissioner,,DEM,Steve Brown,102,,,,,,,,,,
Nacogdoches,13,Railroad Commissioner,,DEM,Steve Brown,63,,,,,,,,,,
Nacogdoches,14/17,Railroad Commissioner,,DEM,Steve Brown,191,,,,,,,,,,
Nacogdoches,15,Railroad Commissioner,,DEM,Steve Brown,67,,,,,,,,,,
Nacogdoches,16,Railroad Commissioner,,DEM,Steve Brown,135,,,,,,,,,,
Nacogdoches,21,Railroad Commissioner,,DEM,Steve Brown,77,,,,,,,,,,
Nacogdoches,22/23/24/25,Railroad Commissioner,,DEM,Steve Brown,244,,,,,,,,,,
Nacogdoches,26,Railroad Commissioner,,DEM,Steve Brown,299,,,,,,,,,,
Nacogdoches,27,Railroad Commissioner,,DEM,Steve Brown,326,,,,,,,,,,
Nacogdoches,30/31/32,Railroad Commissioner,,DEM,Steve Brown,264,,,,,,,,,,
Nacogdoches,33/34,Railroad Commissioner,,DEM,Steve Brown,434,,,,,,,,,,
Nacogdoches,41/43,Railroad Commissioner,,DEM,Steve Brown,206,,,,,,,,,,
Nacogdoches,42,Railroad Commissioner,,DEM,Steve Brown,74,,,,,,,,,,
Nacogdoches,44,Railroad Commissioner,,DEM,Steve Brown,54,,,,,,,,,,
Nacogdoches,45,Railroad Commissioner,,DEM,Steve Brown,44,,,,,,,,,,
Nacogdoches,46,Railroad Commissioner,,DEM,Steve Brown,50,,,,,,,,,,
Nacogdoches,47,Railroad Commissioner,,DEM,Steve Brown,36,,,,,,,,,,
Nacogdoches,12,Railroad Commissioner,,LIB,Mark A. Miller,9,,,,,,,,,,
Nacogdoches,13,Railroad Commissioner,,LIB,Mark A. Miller,8,,,,,,,,,,
Nacogdoches,14/17,Railroad Commissioner,,LIB,Mark A. Miller,30,,,,,,,,,,
Nacogdoches,15,Railroad Commissioner,,LIB,Mark A. Miller,17,,,,,,,,,,
Nacogdoches,16,Railroad Commissioner,,LIB,Mark A. Miller,18,,,,,,,,,,
Nacogdoches,21,Railroad Commissioner,,LIB,Mark A. Miller,20,,,,,,,,,,
Nacogdoches,22/23/24/25,Railroad Commissioner,,LIB,Mark A. Miller,11,,,,,,,,,,
Nacogdoches,26,Railroad Commissioner,,LIB,Mark A. Miller,26,,,,,,,,,,
Nacogdoches,27,Railroad Commissioner,,LIB,Mark A. Miller,4,,,,,,,,,,
Nacogdoches,30/31/32,Railroad Commissioner,,LIB,Mark A. Miller,33,,,,,,,,,,
Nacogdoches,33/34,Railroad Commissioner,,LIB,Mark A. Miller,46,,,,,,,,,,
Nacogdoches,41/43,Railroad Commissioner,,LIB,Mark A. Miller,22,,,,,,,,,,
Nacogdoches,42,Railroad Commissioner,,LIB,Mark A. Miller,5,,,,,,,,,,
Nacogdoches,44,Railroad Commissioner,,LIB,Mark A. Miller,11,,,,,,,,,,
Nacogdoches,45,Railroad Commissioner,,LIB,Mark A. Miller,3,,,,,,,,,,
Nacogdoches,46,Railroad Commissioner,,LIB,Mark A. Miller,12,,,,,,,,,,
Nacogdoches,47,Railroad Commissioner,,LIB,Mark A. Miller,6,,,,,,,,,,
Nacogdoches,12,Railroad Commissioner,,GRN,Martina Salinas,8,,,,,,,,,,
Nacogdoches,13,Railroad Commissioner,,GRN,Martina Salinas,4,,,,,,,,,,
Nacogdoches,14/17,Railroad Commissioner,,GRN,Martina Salinas,5,,,,,,,,,,
Nacogdoches,15,Railroad Commissioner,,GRN,Martina Salinas,2,,,,,,,,,,
Nacogdoches,16,Railroad Commissioner,,GRN,Martina Salinas,7,,,,,,,,,,
Nacogdoches,21,Railroad Commissioner,,GRN,Martina Salinas,10,,,,,,,,,,
Nacogdoches,22/23/24/25,Railroad Commissioner,,GRN,Martina Salinas,8,,,,,,,,,,
Nacogdoches,26,Railroad Commissioner,,GRN,Martina Salinas,17,,,,,,,,,,
Nacogdoches,27,Railroad Commissioner,,GRN,Martina Salinas,2,,,,,,,,,,
Nacogdoches,30/31/32,Railroad Commissioner,,GRN,Martina Salinas,14,,,,,,,,,,
Nacogdoches,33/34,Railroad Commissioner,,GRN,Martina Salinas,18,,,,,,,,,,
Nacogdoches,41/43,Railroad Commissioner,,GRN,Martina Salinas,2,,,,,,,,,,
Nacogdoches,42,Railroad Commissioner,,GRN,Martina Salinas,10,,,,,,,,,,
Nacogdoches,44,Railroad Commissioner,,GRN,Martina Salinas,4,,,,,,,,,,
Nacogdoches,45,Railroad Commissioner,,GRN,Martina Salinas,2,,,,,,,,,,
Nacogdoches,46,Railroad Commissioner,,GRN,Martina Salinas,4,,,,,,,,,,
Nacogdoches,47,Railroad Commissioner,,GRN,Martina Salinas,2,,,,,,,,,,
Nacogdoches,12,State Senate,3,REP,Robert Nichols,609,,,,,,,,,,
Nacogdoches,13,State Senate,3,REP,Robert Nichols,403,,,,,,,,,,
Nacogdoches,14/17,State Senate,3,REP,Robert Nichols,916,,,,,,,,,,
Nacogdoches,15,State Senate,3,REP,Robert Nichols,453,,,,,,,,,,
Nacogdoches,16,State Senate,3,REP,Robert Nichols,943,,,,,,,,,,
Nacogdoches,21,State Senate,3,REP,Robert Nichols,510,,,,,,,,,,
Nacogdoches,22/23/24/25,State Senate,3,REP,Robert Nichols,175,,,,,,,,,,
Nacogdoches,26,State Senate,3,REP,Robert Nichols,590,,,,,,,,,,
Nacogdoches,27,State Senate,3,REP,Robert Nichols,30,,,,,,,,,,
Nacogdoches,30/31/32,State Senate,3,REP,Robert Nichols,612,,,,,,,,,,
Nacogdoches,33/34,State Senate,3,REP,Robert Nichols,1506,,,,,,,,,,
Nacogdoches,41/43,State Senate,3,REP,Robert Nichols,598,,,,,,,,,,
Nacogdoches,42,State Senate,3,REP,Robert Nichols,353,,,,,,,,,,
Nacogdoches,44,State Senate,3,REP,Robert Nichols,542,,,,,,,,,,
Nacogdoches,45,State Senate,3,REP,Robert Nichols,310,,,,,,,,,,
Nacogdoches,46,State Senate,3,REP,Robert Nichols,276,,,,,,,,,,
Nacogdoches,47,State Senate,3,REP,Robert Nichols,308,,,,,,,,,,
Nacogdoches,12,State Senate,3,LIB,J. Tyler Lindsey,43,,,,,,,,,,
Nacogdoches,13,State Senate,3,LIB,J. Tyler Lindsey,30,,,,,,,,,,
Nacogdoches,14/17,State Senate,3,LIB,J. Tyler Lindsey,88,,,,,,,,,,
Nacogdoches,15,State Senate,3,LIB,J. Tyler Lindsey,31,,,,,,,,,,
Nacogdoches,16,State Senate,3,LIB,J. Tyler Lindsey,77,,,,,,,,,,
Nacogdoches,21,State Senate,3,LIB,J. Tyler Lindsey,55,,,,,,,,,,
Nacogdoches,22/23/24/25,State Senate,3,LIB,J. Tyler Lindsey,102,,,,,,,,,,
Nacogdoches,26,State Senate,3,LIB,J. Tyler Lindsey,148,,,,,,,,,,
Nacogdoches,27,State Senate,3,LIB,J. Tyler Lindsey,91,,,,,,,,,,
Nacogdoches,30/31/32,State Senate,3,LIB,J. Tyler Lindsey,142,,,,,,,,,,
Nacogdoches,33/34,State Senate,3,LIB,J. Tyler Lindsey,200,,,,,,,,,,
Nacogdoches,41/43,State Senate,3,LIB,J. Tyler Lindsey,79,,,,,,,,,,
Nacogdoches,42,State Senate,3,LIB,J. Tyler Lindsey,25,,,,,,,,,,
Nacogdoches,44,State Senate,3,LIB,J. Tyler Lindsey,28,,,,,,,,,,
Nacogdoches,45,State Senate,3,LIB,J. Tyler Lindsey,24,,,,,,,,,,
Nacogdoches,46,State Senate,3,LIB,J. Tyler Lindsey,27,,,,,,,,,,
Nacogdoches,47,State Senate,3,LIB,J. Tyler Lindsey,8,,,,,,,,,,
Nacogdoches,12,State Representative,11,REP,Travis Clardy,599,,,,,,,,,,
Nacogdoches,13,State Representative,11,REP,Travis Clardy,411,,,,,,,,,,
Nacogdoches,14/17,State Representative,11,REP,Travis Clardy,937,,,,,,,,,,
Nacogdoches,15,State Representative,11,REP,Travis Clardy,452,,,,,,,,,,
Nacogdoches,16,State Representative,11,REP,Travis Clardy,963,,,,,,,,,,
Nacogdoches,21,State Representative,11,REP,Travis Clardy,522,,,,,,,,,,
Nacogdoches,22/23/24/25,State Representative,11,REP,Travis Clardy,205,,,,,,,,,,
Nacogdoches,26,State Representative,11,REP,Travis Clardy,622,,,,,,,,,,
Nacogdoches,27,State Representative,11,REP,Travis Clardy,63,,,,,,,,,,
Nacogdoches,30/31/32,State Representative,11,REP,Travis Clardy,658,,,,,,,,,,
Nacogdoches,33/34,State Representative,11,REP,Travis Clardy,1561,,,,,,,,,,
Nacogdoches,41/43,State Representative,11,REP,Travis Clardy,620,,,,,,,,,,
Nacogdoches,42,State Representative,11,REP,Travis Clardy,356,,,,,,,,,,
Nacogdoches,44,State Representative,11,REP,Travis Clardy,550,,,,,,,,,,
Nacogdoches,45,State Representative,11,REP,Travis Clardy,318,,,,,,,,,,
Nacogdoches,46,State Representative,11,REP,Travis Clardy,280,,,,,,,,,,
Nacogdoches,47,State Representative,11,REP,Travis Clardy,311,,,,,,,,,,
