county,precinct,office,district,candidate,party,absentee,early_voting,election day,votes
Madison,404,Commissioner of the General Land Office,,Valerie Alessi,,0,0,1,1
Madison,404,Commissioner of the General Land Office,,Over Votes,,0,0,0,0
Madison,404,Commissioner of the General Land Office,,Under Votes,,1,1,4,6
Madison,404,Commissioner of Agriculture,,Sid Miller,,45,309,242,596
Madison,404,Commissioner of Agriculture,,Jim Hogan,,10,33,48,91
Madison,404,Commissioner of Agriculture,,David (Rocky) Palmquist,,0,7,8,15
Madison,404,Commissioner of Agriculture,,Kenneth Kendrick,,0,2,1,3
Madison,404,Commissioner of Agriculture,,Over Votes,,0,0,0,0
Madison,404,Commissioner of Agriculture,,Under Votes,,0,5,3,8
Madison,404,Railroad Commissioner,,Ryan Sitton,,45,307,244,596
Madison,404,Railroad Commissioner,,Steve Brown,,9,34,47,90
Madison,404,Railroad Commissioner,,Mark A. Miller,,1,9,8,18
Madison,404,Railroad Commissioner,,Martina Salinas,,0,0,0,0
Madison,404,Railroad Commissioner,,Over Votes,,0,0,0,0
Madison,404,Railroad Commissioner,,Under Votes,,0,6,3,9
Madison,404,Ballots Cast,,,,,,,713
Madison,404,Ballots Cast,,,,,,,713
Madison,404,State Senate,5,Charles Schwertner,,43,315,259,617
Madison,404,State Senate,5,Joel Shapiro,,9,30,37,76
Madison,404,State Senate,5,Matthew Whittington,,2,8,2,12
Madison,404,State Senate,5,Over Votes,,0,0,0,0
Madison,404,State Senate,5,Under Votes,,1,3,4,8
Madison,404,State Representative,57,Trent Ashby,,46,338,273,657
Madison,404,State Representative,57,Over Votes,,0,0,0,0
Madison,404,State Representative,57,Under Votes,,9,18,29,56
Madison,404,Ballots Cast,,,,,,,713
Madison,404,Ballots Cast,,,,,,,713
