county,precinct,office,district,party,candidate,early_voting,election_day,votes
Duval,1,Attorney General,,DEM,Justin Nelson,451,220,671
Duval,1,Attorney General,,LIB,Michael Ray Harris,13,4,17
Duval,1,Attorney General,,,Ballots Cast,582,296,878
Duval,1,Attorney General,,,Over Votes,0,0,0
Duval,1,Attorney General,,,Under Votes,52,44,96
Duval,2,Attorney General,,REP,Ken Paxton,88,44,132
Duval,2,Attorney General,,DEM,Justin Nelson,394,142,536
Duval,2,Attorney General,,LIB,Michael Ray Harris,4,2,6
Duval,2,Attorney General,,,Ballots Cast,486,188,674
Duval,2,Attorney General,,,Over Votes,0,0,0
Duval,2,Attorney General,,,Under Votes,92,33,125
Duval,3,Attorney General,,REP,Ken Paxton,30,24,54
Duval,3,Attorney General,,DEM,Justin Nelson,133,84,217
Duval,3,Attorney General,,LIB,Michael Ray Harris,1,2,3
Duval,3,Attorney General,,,Ballots Cast,164,110,270
Duval,3,Attorney General,,,Over Votes,0,0,0
Duval,3,Attorney General,,,Under Votes,6,5,11
Duval,4,Attorney General,,REP,Ken Paxton,18,13,31
Duval,4,Attorney General,,DEM,Justin Nelson,34,19,53
Duval,4,Attorney General,,LIB,Michael Ray Harris,2,0,2
Duval,4,Attorney General,,,Ballots Cast,54,32,86
Duval,4,Attorney General,,,Over Votes,0,0,0
Duval,4,Attorney General,,,Under Votes,11,3,14
Duval,5,Attorney General,,REP,Ken Paxton,36,20,56
Duval,5,Attorney General,,DEM,Justin Nelson,91,43,134
Duval,5,Attorney General,,LIB,Michael Ray Harris,4,2,6
Duval,5,Attorney General,,,Ballots Cast,131,65,196
Duval,5,Attorney General,,,Over Votes,0,0,0
Duval,5,Attorney General,,,Under Votes,8,3,11
Duval,6,Attorney General,,REP,Ken Paxton,8,6,14
Duval,6,Attorney General,,DEM,Justin Nelson,36,21,57
Duval,6,Attorney General,,LIB,Michael Ray Harris,0,0,0
Duval,6,Attorney General,,,Ballots Cast,44,27,71
Duval,6,Attorney General,,,Over Votes,0,0,0
Duval,6,Attorney General,,,Under Votes,15,6,21
Duval,7,Attorney General,,REP,Ken Paxton,33,11,44
Duval,7,Attorney General,,DEM,Justin Nelson,15,9,24
Duval,7,Attorney General,,LIB,Michael Ray Harris,3,0,3
Duval,7,Attorney General,,,Ballots Cast,51,20,71
Duval,7,Attorney General,,,Over Votes,0,0,0
Duval,7,Attorney General,,,Under Votes,4,1,5
Duval,8,Attorney General,,REP,Ken Paxton,299,122,421
Duval,8,Attorney General,,DEM,Justin Nelson,416,151,567
Duval,8,Attorney General,,LIB,Michael Ray Harris,20,4,24
Duval,8,Attorney General,,,Ballots Cast,735,277,1012
Duval,8,Attorney General,,,Over Votes,0,0,0
Duval,8,Attorney General,,,Under Votes,110,40,150
Duval,9,Attorney General,,REP,Ken Paxton,60,39,99
Duval,9,Attorney General,,DEM,Justin Nelson,275,155,430
Duval,9,Attorney General,,LIB,Michael Ray Harris,9,9,18
Duval,9,Attorney General,,,Ballots Cast,344,203,547
Duval,9,Attorney General,,,Over Votes,0,0,0
Duval,9,Attorney General,,,Under Votes,37,28,65
Duval,1,Comptroller of Public Accounts,,REP,Glenn Hegar,107,63,170
Duval,1,Comptroller of Public Accounts,,DEM,Joi Chevalier,448,215,663
Duval,1,Comptroller of Public Accounts,,LIB,Ben Sanders,20,18,38
Duval,1,Comptroller of Public Accounts,,,Ballots Cast,575,296,871
Duval,1,Comptroller of Public Accounts,,,Over Votes,0,0,0
Duval,1,Comptroller of Public Accounts,,,Under Votes,59,44,103
Duval,2,Comptroller of Public Accounts,,REP,Glenn Hegar,81,35,116
Duval,2,Comptroller of Public Accounts,,DEM,Joi Chevalier,394,143,537
Duval,2,Comptroller of Public Accounts,,LIB,Ben Sanders,11,8,19
Duval,2,Comptroller of Public Accounts,,,Ballots Cast,486,186,672
Duval,2,Comptroller of Public Accounts,,,Over Votes,0,0,0
Duval,2,Comptroller of Public Accounts,,,Under Votes,92,35,127
Duval,3,Comptroller of Public Accounts,,REP,Glenn Hegar,28,25,53
Duval,3,Comptroller of Public Accounts,,DEM,Joi Chevalier,130,85,215
Duval,3,Comptroller of Public Accounts,,LIB,Ben Sanders,2,0,2
Duval,3,Comptroller of Public Accounts,,,Ballots Cast,160,110,270
Duval,3,Comptroller of Public Accounts,,,Over Votes,0,0,0
Duval,3,Comptroller of Public Accounts,,,Under Votes,10,5,15
Duval,4,Comptroller of Public Accounts,,REP,Glenn Hegar,19,12,31
Duval,4,Comptroller of Public Accounts,,DEM,Joi Chevalier,35,18,53
Duval,4,Comptroller of Public Accounts,,LIB,Ben Sanders,0,0,0
Duval,4,Comptroller of Public Accounts,,,Ballots Cast,54,30,84
Duval,4,Comptroller of Public Accounts,,,Over Votes,0,0,0
Duval,4,Comptroller of Public Accounts,,,Under Votes,11,5,16
Duval,5,Comptroller of Public Accounts,,REP,Glenn Hegar,33,16,49
Duval,5,Comptroller of Public Accounts,,DEM,Joi Chevalier,89,46,135
Duval,5,Comptroller of Public Accounts,,LIB,Ben Sanders,9,3,12
Duval,5,Comptroller of Public Accounts,,,Ballots Cast,131,65,196
Duval,5,Comptroller of Public Accounts,,,Over Votes,0,0,0
Duval,5,Comptroller of Public Accounts,,,Under Votes,8,3,11
Duval,6,Comptroller of Public Accounts,,REP,Glenn Hegar,8,6,14
Duval,6,Comptroller of Public Accounts,,DEM,Joi Chevalier,35,20,55
Duval,6,Comptroller of Public Accounts,,LIB,Ben Sanders,1,1,2
Duval,6,Comptroller of Public Accounts,,,Ballots Cast,44,27,71
Duval,6,Comptroller of Public Accounts,,,Over Votes,0,0,0
Duval,6,Comptroller of Public Accounts,,,Under Votes,15,6,21
Duval,7,Comptroller of Public Accounts,,REP,Glenn Hegar,35,11,46
Duval,7,Comptroller of Public Accounts,,DEM,Joi Chevalier,14,8,22
Duval,7,Comptroller of Public Accounts,,LIB,Ben Sanders,2,0,2
Duval,7,Comptroller of Public Accounts,,,Ballots Cast,51,19,70
Duval,7,Comptroller of Public Accounts,,,Over Votes,0,0,0
Duval,7,Comptroller of Public Accounts,,,Under Votes,4,2,6
Duval,8,Comptroller of Public Accounts,,REP,Glenn Hegar,285,117,402
Duval,8,Comptroller of Public Accounts,,DEM,Joi Chevalier,401,148,549
Duval,8,Comptroller of Public Accounts,,LIB,Ben Sanders,37,9,46
Duval,8,Comptroller of Public Accounts,,,Ballots Cast,723,274,997
Duval,8,Comptroller of Public Accounts,,,Over Votes,0,0,0
Duval,8,Comptroller of Public Accounts,,,Under Votes,122,43,165
Duval,9,Comptroller of Public Accounts,,REP,Glenn Hegar,55,38,93
Duval,9,Comptroller of Public Accounts,,DEM,Joi Chevalier,261,149,410
Duval,9,Comptroller of Public Accounts,,LIB,Ben Sanders,22,15,37
Duval,9,Comptroller of Public Accounts,,,Ballots Cast,338,202,540
Duval,9,Comptroller of Public Accounts,,,Over Votes,0,1,1
Duval,9,Comptroller of Public Accounts,,,Under Votes,43,28,71
Duval,1,Commissioner of the General Land Office,,REP,George P. Bush,144,74,218
Duval,1,Commissioner of the General Land Office,,DEM,Miguel Suazo,426,215,641
Duval,1,Commissioner of the General Land Office,,LIB,Matt Pina,10,9,19
Duval,1,Commissioner of the General Land Office,,,Ballots Cast,580,298,878
Duval,1,Commissioner of the General Land Office,,,Over Votes,0,0,0
Duval,1,Commissioner of the General Land Office,,,Under Votes,54,42,96
Duval,2,Commissioner of the General Land Office,,REP,George P. Bush,92,51,143
Duval,2,Commissioner of the General Land Office,,DEM,Miguel Suazo,392,136,528
Duval,2,Commissioner of the General Land Office,,LIB,Matt Pina,9,2,11
Duval,2,Commissioner of the General Land Office,,,Ballots Cast,493,189,682
Duval,2,Commissioner of the General Land Office,,,Over Votes,0,0,0
Duval,2,Commissioner of the General Land Office,,,Under Votes,85,32,117
Duval,3,Commissioner of the General Land Office,,REP,George P. Bush,31,22,53
Duval,3,Commissioner of the General Land Office,,DEM,Miguel Suazo,128,86,214
Duval,3,Commissioner of the General Land Office,,LIB,Matt Pina,3,3,6
Duval,3,Commissioner of the General Land Office,,,Ballots Cast,162,111,273
Duval,3,Commissioner of the General Land Office,,,Over Votes,0,0,0
Duval,3,Commissioner of the General Land Office,,,Under Votes,8,4,12
Duval,4,Commissioner of the General Land Office,,REP,George P. Bush,18,15,33
Duval,4,Commissioner of the General Land Office,,DEM,Miguel Suazo,36,17,53
Duval,4,Commissioner of the General Land Office,,LIB,Matt Pina,2,0,2
Duval,4,Commissioner of the General Land Office,,,Ballots Cast,56,32,88
Duval,4,Commissioner of the General Land Office,,,Over Votes,0,0,0
Duval,4,Commissioner of the General Land Office,,,Under Votes,9,3,12
Duval,5,Commissioner of the General Land Office,,REP,George P. Bush,31,20,51
Duval,5,Commissioner of the General Land Office,,DEM,Miguel Suazo,91,44,135
Duval,5,Commissioner of the General Land Office,,LIB,Matt Pina,8,3,11
Duval,5,Commissioner of the General Land Office,,,Ballots Cast,130,67,197
Duval,5,Commissioner of the General Land Office,,,Over Votes,1,0,1
Duval,5,Commissioner of the General Land Office,,,Under Votes,8,1,9
Duval,6,Commissioner of the General Land Office,,REP,George P. Bush,9,6,15
Duval,6,Commissioner of the General Land Office,,DEM,Miguel Suazo,33,20,53
Duval,6,Commissioner of the General Land Office,,LIB,Matt Pina,2,1,3
Duval,6,Commissioner of the General Land Office,,,Ballots Cast,44,27,71
Duval,6,Commissioner of the General Land Office,,,Over Votes,0,0,0
Duval,6,Commissioner of the General Land Office,,,Under Votes,15,6,21
Duval,7,Commissioner of the General Land Office,,REP,George P. Bush,32,13,45
Duval,7,Commissioner of the General Land Office,,DEM,Miguel Suazo,16,6,22
Duval,7,Commissioner of the General Land Office,,LIB,Matt Pina,3,1,4
Duval,7,Commissioner of the General Land Office,,,Ballots Cast,51,20,71
Duval,7,Commissioner of the General Land Office,,,Over Votes,0,0,0
Duval,7,Commissioner of the General Land Office,,,Under Votes,4,1,5
Duval,8,Commissioner of the General Land Office,,REP,George P. Bush,307,135,442
