county,precinct,office,district,candidate,party,votes,election_day,early_voting
Sherman,BOX 302  TISD ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,SHARON KELLER ,REP ,98,84,14
Sherman,BOX 302  TISD ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,MARIA T. (TERRI) JAC ,DEM ,8,8,0
Sherman,BOX 302  TISD ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,WILLIAM BRYAN STRANG ,LIB ,1,1,0
Sherman,BOX 302  TISD ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 7 ",,BARBARA PARKER HERVE ,REP ,99,85,14
Sherman,BOX 302  TISD ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 7 ",,RAMONA FRANKLIN ,DEM ,8,8,0
Sherman,BOX 302  TISD ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 8 ",,MICHELLE SLAUGHTER ,REP ,99,85,14
Sherman,BOX 302  TISD ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 8 ",,MARK ASH ,LIB ,4,4,0
Sherman,BOX 302  TISD ,STATE SENATE,31,KEL SELIGER ,REP ,103,89,14
Sherman,BOX 302  TISD ,STATE SENATE,31,JACK B. WESTBROOK ,LIB ,2,2,0
Sherman,BOX 302  TISD ,STATE REPRESENTATIVE,87,FOUR PRICE ,REP ,104,91,13
Sherman,BOX 302  TISD ,"JUSTICE, 7TH COURT OF APPEALS DISTRICT, PLACE 2 ",,JUDY PARKER ,REP ,101,87,14
Sherman,BOX 302  TISD ,"JUSTICE, 7TH COURT OF APPEALS DISTRICT, PLACE 3 ",,PAT PIRTLE ,REP ,102,88,14
Sherman,BOX 302  TISD ,"DISTRICT JUDGE, 69TH JUDICIAL DISTRICT ",,RON ENNS ,REP ,102,88,14
Sherman,BOX 302  TISD ,COUNTY JUDGE ,,TERRI BETH CARTER ,REP ,100,87,13
Sherman,BOX 302  TISD ,DISTRICT & COUNTY CLERK ,,LAURA ROGERS ,REP ,104,91,13
Sherman,BOX 302  TISD ,COUNTY TREASURER ,,DORIS PARSONS ,REP ,107,93,14
Sherman,BOX 302  TISD ,JUSTICE OF THE PEACE ,,BRENDA J. ACKER ,REP ,104,91,13
Sherman,BOX 302 S & H ,U.S. Senate,,TED CRUZ ,REP ,6,3,3
Sherman,BOX 302 S & H ,U.S. Senate,,BETO O'ROURKE ,DEM ,0,0,0
Sherman,BOX 302 S & H ,U.S. Senate,,NEAL M. DIKEMAN ,LIB ,0,0,0
Sherman,BOX 302 S & H ,U.S. House,13,MAC THORNBERRY ,REP ,6,3,3
Sherman,BOX 302 S & H ,U.S. House,13,GREG SAGAN ,DEM ,0,0,0
Sherman,BOX 302 S & H ,U.S. House,13,CALVIN DeWEESE ,LIB ,0,0,0
Sherman,BOX 302 S & H ,Governor,,GREG ABBOTT ,REP ,6,3,3
Sherman,BOX 302 S & H ,Governor,,LUPE VALDEZ ,DEM ,0,0,0
Sherman,BOX 302 S & H ,Governor,,MARK JAY TIPPETTS ,LIB ,0,0,0
Sherman,BOX 302 S & H ,LIEUTENANT Governor,,DAN PATRICK ,REP ,6,3,3
Sherman,BOX 302 S & H ,LIEUTENANT Governor,,MIKE COLLIER ,DEM ,0,0,0
Sherman,BOX 302 S & H ,LIEUTENANT Governor,,KERRY DOUGLAS McKENN ,LIB ,0,0,0
Sherman,BOX 302 S & H ,Attorney General,,KEN PAXTON ,REP ,6,3,3
Sherman,BOX 302 S & H ,Attorney General,,JUSTIN NELSON ,DEM ,0,0,0
Sherman,BOX 302 S & H ,Attorney General,,MICHAEL RAY HARRIS ,LIB ,0,0,0
Sherman,BOX 302 S & H ,Comptroller	of Public Accounts,,GLENN HEGAR ,REP ,6,3,3
Sherman,BOX 302 S & H ,Comptroller	of Public Accounts,,JOI CHEVALIER ,DEM ,0,0,0
Sherman,BOX 302 S & H ,Comptroller	of Public Accounts,,BEN SANDERS ,LIB ,0,0,0
Sherman,BOX 302 S & H ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,GEORGE P. BUSH ,REP ,6,3,3
Sherman,BOX 302 S & H ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,MIGUEL SUAZO ,DEM ,0,0,0
Sherman,BOX 302 S & H ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,MATT PINA ,LIB ,0,0,0
Sherman,BOX 302 S & H ,COMMISSIONER OF AGRICULTURE ,,SID MILLER ,REP ,6,3,3
Sherman,BOX 302 S & H ,COMMISSIONER OF AGRICULTURE ,,KIM OLSON ,DEM ,0,0,0
Sherman,BOX 302 S & H ,COMMISSIONER OF AGRICULTURE ,,RICHARD CARPENTER ,LIB ,0,0,0
Sherman,BOX 302 S & H ,Railroad Commissioner,,CHRISTI CRADDICK ,REP ,6,3,3
Sherman,BOX 302 S & H ,Railroad Commissioner,,ROMAN McALLEN ,DEM ,0,0,0
Sherman,BOX 302 S & H ,Railroad Commissioner,,MIKE WRIGHT ,LIB ,0,0,0
Sherman,BOX 302 S & H ,"JUSTICE, SUPREME COURT, PLACE 2 ",,JIMMY BLACKLOCK ,REP ,6,3,3
Sherman,BOX 302 S & H ,"JUSTICE, SUPREME COURT, PLACE 2 ",,STEVEN KIRKLAND ,DEM ,0,0,0
Sherman,BOX 302 S & H ,"JUSTICE, SUPREME COURT, PLACE 4 ",,JOHN DEVINE ,REP ,6,3,3
Sherman,BOX 302 S & H ,"JUSTICE, SUPREME COURT, PLACE 4 ",,R. K. SANDILL ,DEM ,0,0,0
Sherman,BOX 302 S & H ,"JUSTICE, SUPREME COURT, PLACE 6 ",,JEFF BROWN ,REP ,6,3,3
Sherman,BOX 302 S & H ,"JUSTICE, SUPREME COURT, PLACE 6 ",,KATHY CHENG ,DEM ,0,0,0
Sherman,BOX 302 S & H ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,SHARON KELLER ,REP ,6,3,3
Sherman,BOX 302 S & H ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,MARIA T. (TERRI) JAC ,DEM ,0,0,0
Sherman,BOX 302 S & H ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,WILLIAM BRYAN STRANG ,LIB ,0,0,0
Sherman,BOX 302 S & H ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 7 ",,BARBARA PARKER HERVE ,REP ,6,3,3
Sherman,BOX 302 S & H ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 7 ",,RAMONA FRANKLIN ,DEM ,0,0,0
Sherman,BOX 302 S & H ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 8 ",,MICHELLE SLAUGHTER ,REP ,6,3,3
Sherman,BOX 302 S & H ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 8 ",,MARK ASH ,LIB ,0,0,0
Sherman,BOX 302 S & H ,STATE SENATE,31,KEL SELIGER ,REP ,5,2,3
Sherman,BOX 302 S & H ,STATE SENATE,31,JACK B. WESTBROOK ,LIB ,1,1,0
Sherman,BOX 302 S & H ,STATE REPRESENTATIVE,87,FOUR PRICE ,REP ,6,3,3
Sherman,BOX 302 S & H ,"JUSTICE, 7TH COURT OF APPEALS DISTRICT, PLACE 2 ",,JUDY PARKER ,REP ,6,3,3
Sherman,BOX 302 S & H ,"JUSTICE, 7TH COURT OF APPEALS DISTRICT, PLACE 3 ",,PAT PIRTLE ,REP ,6,3,3
Sherman,BOX 302 S & H ,"DISTRICT JUDGE, 69TH JUDICIAL DISTRICT ",,RON ENNS ,REP ,6,3,3
Sherman,BOX 302 S & H ,COUNTY JUDGE ,,TERRI BETH CARTER ,REP ,6,3,3
Sherman,BOX 302 S & H ,DISTRICT & COUNTY CLERK ,,LAURA ROGERS ,REP ,5,2,3
Sherman,BOX 302 S & H ,COUNTY TREASURER ,,DORIS PARSONS ,REP ,5,2,3
Sherman,BOX 302 S & H ,JUSTICE OF THE PEACE ,,BRENDA J. ACKER ,REP ,6,3,3
Sherman,BOX 302 NO S  ,U.S. Senate,,TED CRUZ ,REP ,2,1,1
Sherman,BOX 302 NO S  ,U.S. Senate,,BETO O'ROURKE ,DEM ,0,0,0
Sherman,BOX 302 NO S  ,U.S. Senate,,NEAL M. DIKEMAN ,LIB ,2,0,2
Sherman,BOX 302 NO S  ,U.S. House,13,MAC THORNBERRY ,REP ,2,1,1
Sherman,BOX 302 NO S  ,U.S. House,13,GREG SAGAN ,DEM ,0,0,0
Sherman,BOX 302 NO S  ,U.S. House,13,CALVIN DeWEESE ,LIB ,2,0,2
Sherman,BOX 302 NO S  ,Governor,,GREG ABBOTT ,REP ,2,1,1
Sherman,BOX 302 NO S  ,Governor,,LUPE VALDEZ ,DEM ,0,0,0
Sherman,BOX 302 NO S  ,Governor,,MARK JAY TIPPETTS ,LIB ,2,0,2
Sherman,BOX 302 NO S  ,LIEUTENANT Governor,,DAN PATRICK ,REP ,2,1,1
Sherman,BOX 302 NO S  ,LIEUTENANT Governor,,MIKE COLLIER ,DEM ,0,0,0
Sherman,BOX 302 NO S  ,LIEUTENANT Governor,,KERRY DOUGLAS McKENN ,LIB ,2,0,2
Sherman,BOX 302 NO S  ,Attorney General,,KEN PAXTON ,REP ,2,1,1
Sherman,BOX 302 NO S  ,Attorney General,,JUSTIN NELSON ,DEM ,0,0,0
Sherman,BOX 302 NO S  ,Attorney General,,MICHAEL RAY HARRIS ,LIB ,0,0,0
Sherman,BOX 302 NO S  ,Comptroller	of Public Accounts,,GLENN HEGAR ,REP ,2,1,1
Sherman,BOX 302 NO S  ,Comptroller	of Public Accounts,,JOI CHEVALIER ,DEM ,0,0,0
Sherman,BOX 302 NO S  ,Comptroller	of Public Accounts,,BEN SANDERS ,LIB ,0,0,0
Sherman,BOX 302 NO S  ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,GEORGE P. BUSH ,REP ,2,1,1
Sherman,BOX 302 NO S  ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,MIGUEL SUAZO ,DEM ,0,0,0
Sherman,BOX 302 NO S  ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,MATT PINA ,LIB ,0,0,0
Sherman,BOX 302 NO S  ,COMMISSIONER OF AGRICULTURE ,,SID MILLER ,REP ,2,1,1
Sherman,BOX 302 NO S  ,COMMISSIONER OF AGRICULTURE ,,KIM OLSON ,DEM ,0,0,0
Sherman,BOX 302 NO S  ,COMMISSIONER OF AGRICULTURE ,,RICHARD CARPENTER ,LIB ,0,0,0
Sherman,BOX 302 NO S  ,Railroad Commissioner,,CHRISTI CRADDICK ,REP ,2,1,1
Sherman,BOX 302 NO S  ,Railroad Commissioner,,ROMAN McALLEN ,DEM ,0,0,0
Sherman,BOX 302 NO S  ,Railroad Commissioner,,MIKE WRIGHT ,LIB ,0,0,0
Sherman,BOX 302 NO S  ,"JUSTICE, SUPREME COURT, PLACE 2 ",,JIMMY BLACKLOCK ,REP ,2,1,1
Sherman,BOX 302 NO S  ,"JUSTICE, SUPREME COURT, PLACE 2 ",,STEVEN KIRKLAND ,DEM ,0,0,0
Sherman,BOX 302 NO S  ,"JUSTICE, SUPREME COURT, PLACE 4 ",,JOHN DEVINE ,REP ,2,1,1
Sherman,BOX 302 NO S  ,"JUSTICE, SUPREME COURT, PLACE 4 ",,R. K. SANDILL ,DEM ,0,0,0
Sherman,BOX 302 NO S  ,"JUSTICE, SUPREME COURT, PLACE 6 ",,JEFF BROWN ,REP ,2,1,1
Sherman,BOX 302 NO S  ,"JUSTICE, SUPREME COURT, PLACE 6 ",,KATHY CHENG ,DEM ,0,0,0
Sherman,BOX 302 NO S  ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,SHARON KELLER ,REP ,2,1,1
Sherman,BOX 302 NO S  ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,MARIA T. (TERRI) JAC ,DEM ,0,0,0
Sherman,BOX 302 NO S  ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,WILLIAM BRYAN STRANG ,LIB ,0,0,0
Sherman,BOX 302 NO S  ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 7 ",,BARBARA PARKER HERVE ,REP ,2,1,1
Sherman,BOX 302 NO S  ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 7 ",,RAMONA FRANKLIN ,DEM ,0,0,0
Sherman,BOX 302 NO S  ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 8 ",,MICHELLE SLAUGHTER ,REP ,2,1,1
Sherman,BOX 302 NO S  ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 8 ",,MARK ASH ,LIB ,0,0,0
Sherman,BOX 302 NO S  ,STATE SENATE,31,KEL SELIGER ,REP ,2,1,1
Sherman,BOX 302 NO S  ,STATE SENATE,31,JACK B. WESTBROOK ,LIB ,0,0,0
Sherman,BOX 302 NO S  ,STATE REPRESENTATIVE,87,FOUR PRICE ,REP ,2,1,1
Sherman,BOX 302 NO S  ,"JUSTICE, 7TH COURT OF APPEALS DISTRICT, PLACE 2 ",,JUDY PARKER ,REP ,2,1,1
Sherman,BOX 302 NO S  ,"JUSTICE, 7TH COURT OF APPEALS DISTRICT, PLACE 3 ",,PAT PIRTLE ,REP ,2,1,1
Sherman,BOX 302 NO S  ,"DISTRICT JUDGE, 69TH JUDICIAL DISTRICT ",,RON ENNS ,REP ,2,1,1
Sherman,BOX 302 NO S  ,COUNTY JUDGE ,,TERRI BETH CARTER ,REP ,2,1,1
Sherman,BOX 302 NO S  ,DISTRICT & COUNTY CLERK ,,LAURA ROGERS ,REP ,2,1,1
Sherman,BOX 302 NO S  ,COUNTY TREASURER ,,DORIS PARSONS ,REP ,2,1,1
Sherman,BOX 302 NO S  ,JUSTICE OF THE PEACE ,,BRENDA J. ACKER ,REP ,2,1,1
Sherman,BOX 401 ,U.S. Senate,,TED CRUZ ,REP ,258,105,153
Sherman,BOX 401 ,U.S. Senate,,BETO O'ROURKE ,DEM ,24,11,13
Sherman,BOX 401 ,U.S. Senate,,NEAL M. DIKEMAN ,LIB ,16,1,15
Sherman,BOX 401 ,U.S. House,13,MAC THORNBERRY ,REP ,267,108,159
Sherman,BOX 401 ,U.S. House,13,GREG SAGAN ,DEM ,17,8,9
Sherman,BOX 401 ,U.S. House,13,CALVIN DeWEESE ,LIB ,12,0,12
Sherman,BOX 401 ,Governor,,GREG ABBOTT ,REP ,265,109,156
Sherman,BOX 401 ,Governor,,LUPE VALDEZ ,DEM ,17,7,10
Sherman,BOX 401 ,Governor,,MARK JAY TIPPETTS ,LIB ,14,0,14
Sherman,BOX 401 ,LIEUTENANT Governor,,DAN PATRICK ,REP ,215,85,130
Sherman,BOX 401 ,LIEUTENANT Governor,,MIKE COLLIER ,DEM ,55,24,31
Sherman,BOX 401 ,LIEUTENANT Governor,,KERRY DOUGLAS McKENN ,LIB ,23,6,17
Sherman,BOX 401 ,Attorney General,,KEN PAXTON ,REP ,251,102,149
Sherman,BOX 401 ,Attorney General,,JUSTIN NELSON ,DEM ,28,12,16
Sherman,BOX 401 ,Attorney General,,MICHAEL RAY HARRIS ,LIB ,3,1,2
Sherman,BOX 401 ,Comptroller	of Public Accounts,,GLENN HEGAR ,REP ,258,105,153
Sherman,BOX 401 ,Comptroller	of Public Accounts,,JOI CHEVALIER ,DEM ,18,6,12
Sherman,BOX 401 ,Comptroller	of Public Accounts,,BEN SANDERS ,LIB ,7,2,5
Sherman,BOX 401 ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,GEORGE P. BUSH ,REP ,257,104,153
Sherman,BOX 401 ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,MIGUEL SUAZO ,DEM ,18,7,11
Sherman,BOX 401 ,COMMISSIONER OF THE GENERAL LAND OFFICE ,,MATT PINA ,LIB ,8,2,6
Sherman,BOX 401 ,COMMISSIONER OF AGRICULTURE ,,SID MILLER ,REP ,260,101,159
Sherman,BOX 401 ,COMMISSIONER OF AGRICULTURE ,,KIM OLSON ,DEM ,24,12,12
Sherman,BOX 401 ,COMMISSIONER OF AGRICULTURE ,,RICHARD CARPENTER ,LIB ,3,1,2
Sherman,BOX 401 ,Railroad Commissioner,,CHRISTI CRADDICK ,REP ,259,103,156
Sherman,BOX 401 ,Railroad Commissioner,,ROMAN McALLEN ,DEM ,18,8,10
Sherman,BOX 401 ,Railroad Commissioner,,MIKE WRIGHT ,LIB ,8,2,6
Sherman,BOX 401 ,"JUSTICE, SUPREME COURT, PLACE 2 ",,JIMMY BLACKLOCK ,REP ,261,103,158
Sherman,BOX 401 ,"JUSTICE, SUPREME COURT, PLACE 2 ",,STEVEN KIRKLAND ,DEM ,22,9,13
Sherman,BOX 401 ,"JUSTICE, SUPREME COURT, PLACE 4 ",,JOHN DEVINE ,REP ,261,105,156
Sherman,BOX 401 ,"JUSTICE, SUPREME COURT, PLACE 4 ",,R. K. SANDILL ,DEM ,21,8,13
Sherman,BOX 401 ,"JUSTICE, SUPREME COURT, PLACE 6 ",,JEFF BROWN ,REP ,262,105,157
Sherman,BOX 401 ,"JUSTICE, SUPREME COURT, PLACE 6 ",,KATHY CHENG ,DEM ,19,8,11
Sherman,BOX 401 ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,SHARON KELLER ,REP ,258,102,156
Sherman,BOX 401 ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,MARIA T. (TERRI) JAC ,DEM ,19,9,10
Sherman,BOX 401 ,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS  ",,WILLIAM BRYAN STRANG ,LIB ,4,2,2
Sherman,BOX 401 ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 7 ",,BARBARA PARKER HERVE ,REP ,261,104,157
Sherman,BOX 401 ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 7 ",,RAMONA FRANKLIN ,DEM ,19,8,11
Sherman,BOX 401 ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 8 ",,MICHELLE SLAUGHTER ,REP ,256,102,154
Sherman,BOX 401 ,"JUDGE COURT OF CRIMINAL APPEALS, PLACE 8 ",,MARK ASH ,LIB ,14,6,8
Sherman,BOX 401 ,STATE SENATE,31,KEL SELIGER ,REP ,267,107,160
Sherman,BOX 401 ,STATE SENATE,31,JACK B. WESTBROOK ,LIB ,13,4,9
Sherman,BOX 401 ,STATE REPRESENTATIVE,87,FOUR PRICE ,REP ,281,110,171
Sherman,BOX 401 ,"JUSTICE, 7TH COURT OF APPEALS DISTRICT, PLACE 2 ",,JUDY PARKER ,REP ,272,108,164
Sherman,BOX 401 ,"JUSTICE, 7TH COURT OF APPEALS DISTRICT, PLACE 3 ",,PAT PIRTLE ,REP ,272,108,164
Sherman,BOX 401 ,"DISTRICT JUDGE, 69TH JUDICIAL DISTRICT ",,RON ENNS ,REP ,278,109,169
Sherman,BOX 401 ,COUNTY JUDGE ,,TERRI BETH CARTER ,REP ,270,109,161
Sherman,BOX 401 ,DISTRICT & COUNTY CLERK ,,LAURA ROGERS ,REP ,260,109,151
Sherman,BOX 401 ,COUNTY TREASURER ,,DORIS PARSONS ,REP ,277,109,168
Sherman,BOX 401 ,"COUNTY COMMISSIONER, PRECINCT 4 ",,DAVID DAVIS ,REP ,268,108,160
Sherman,BOX 401 ,JUSTICE OF THE PEACE ,,BRENDA J. ACKER ,REP ,263,110,153
