county,precinct,office,district,party,candidate,absentee,early_voting,election_day,votes
Potter,121,Proposition #8 Right to Housing,,DEM,AGAINST,5,0,2,7
Potter,121,Proposition #9 Right to Vote,,DEM,FOR,4,28,17,49
Potter,121,Proposition #9 Right to Vote,,DEM,AGAINST,1,0,1,2
Potter,121,Proposition #10 Right to a Fair Criminal Justice System,,DEM,FOR,5,27,18,50
Potter,121,Proposition #10 Right to a Fair Criminal Justice System,,DEM,AGAINST,0,0,0,0
Potter,121,Proposition #11 Immigrant Rights,,DEM,FOR,3,28,18,49
Potter,121,Proposition #11 Immigrant Rights,,DEM,AGAINST,2,0,1,3
Potter,121,Proposition #12 Right to Fair Taxation,,DEM,FOR,5,28,19,52
Potter,121,Proposition #12 Right to Fair Taxation,,DEM,AGAINST,0,0,0,0
Potter,122,U.S. Senate,,DEM,Beto O'Rourke,6,12,19,37
Potter,122,U.S. Senate,,DEM,Sema Hernandez,2,3,7,12
Potter,122,U.S. Senate,,DEM,Edward Kimbrough,5,1,5,11
Potter,122,U.S. House,13,DEM,Greg Sagan,12,15,26,53
Potter,122,Governor,,DEM,Joe Mumbach,0,1,2,3
Potter,122,Governor,,DEM,James Jolly Clark,2,0,1,3
Potter,122,Governor,,DEM,Andrew White,3,3,3,9
Potter,122,Governor,,DEM,Lupe Valdez,5,8,12,25
Potter,122,Governor,,DEM,Grady Yarbrough,0,1,3,4
Potter,122,Governor,,DEM,Tom Wakely,2,0,3,5
Potter,122,Governor,,DEM,Jeffrey Payne,0,0,1,1
Potter,122,Governor,,DEM,Adrian Ocegueda,0,1,2,3
Potter,122,Governor,,DEM,"Cedric Davis, Sr.",1,0,3,4
Potter,122,Lieutenant Governor,,DEM,Mike Collier,9,10,18,37
Potter,122,Lieutenant Governor,,DEM,Michael Cooper,4,4,9,17
Potter,122,Attorney General,,DEM,Justin Nelson,13,15,25,53
Potter,122,Comptroller of Public Accounts,,DEM,Tim Mahoney,11,7,11,29
Potter,122,Comptroller of Public Accounts,,DEM,Joi Chevalier,2,8,17,27
Potter,122,Commissioner of the General Land Office,,DEM,Tex Morgan,8,4,13,25
Potter,122,Commissioner of the General Land Office,,DEM,Miguel Suazo,5,11,14,30
Potter,122,Commissioner of Agriculture,,DEM,Kim Olson,12,16,27,55
Potter,122,Railroad Commissioner,,DEM,Roman McAllen,2,6,13,21
Potter,122,Railroad Commissioner,,DEM,Chris Spellmon,10,9,14,33
Potter,122,"Justice, Supreme Court, Place 2",,DEM,Steven Kirkland,12,15,25,52
Potter,122,"Justice, Supreme Court, Place 4",,DEM,R. K. Sandill,12,16,23,51
Potter,122,"Justice, Supreme Court, Place 6",,DEM,Kathy Cheng,12,16,25,53
Potter,122,"Presiding Judge, Court of Criminal Appeals",,DEM,Maria T. (Terri) Jackson,13,16,27,56
Potter,122,"Judge, Court of Criminal Appeals, Place 7",,DEM,Ramona Franklin,13,15,26,54
Potter,122,County Chairman,,DEM,Steve Land,10,11,15,36
Potter,122,County Chairman,,DEM,Gentry Powell,3,5,11,19
Potter,122,Proposition #1 Right to a 21st Century Public Education,,DEM,FOR,12,16,31,59
Potter,122,Proposition #1 Right to a 21st Century Public Education,,DEM,AGAINST,0,0,0,0
Potter,122,Proposition #2 Student Loan Debt,,DEM,FOR,13,14,28,55
Potter,122,Proposition #2 Student Loan Debt,,DEM,AGAINST,2,2,2,6
Potter,122,Proposition #3 Right to Healthcare,,DEM,FOR,15,15,31,61
Potter,122,Proposition #3 Right to Healthcare,,DEM,AGAINST,0,0,0,0
Potter,122,Proposition #4 Right to Economic Security,,DEM,FOR,14,16,29,59
Potter,122,Proposition #4 Right to Economic Security,,DEM,AGAINST,0,0,2,2
Potter,122,Proposition #5 National Job Program,,DEM,FOR,13,12,26,51
Potter,122,Proposition #5 National Job Program,,DEM,AGAINST,1,3,5,9
Potter,122,"Proposition #6 Right to Clean Air, Safe Water, and a Healthy Environment",,DEM,FOR,15,16,31,62
Potter,122,"Proposition #6 Right to Clean Air, Safe Water, and a Healthy Environment",,DEM,AGAINST,0,0,0,0
Potter,122,Proposition #7 Right to Dignity & Respect,,DEM,FOR,14,16,30,60
Potter,122,Proposition #7 Right to Dignity & Respect,,DEM,AGAINST,1,0,0,1
Potter,122,Proposition #8 Right to Housing,,DEM,FOR,13,15,30,58
Potter,122,Proposition #8 Right to Housing,,DEM,AGAINST,0,1,1,2
Potter,122,Proposition #9 Right to Vote,,DEM,FOR,13,15,29,57
Potter,122,Proposition #9 Right to Vote,,DEM,AGAINST,0,1,2,3
Potter,122,Proposition #10 Right to a Fair Criminal Justice System,,DEM,FOR,14,15,30,59
Potter,122,Proposition #10 Right to a Fair Criminal Justice System,,DEM,AGAINST,1,1,1,3
Potter,122,Proposition #11 Immigrant Rights,,DEM,FOR,13,15,29,57
Potter,122,Proposition #11 Immigrant Rights,,DEM,AGAINST,0,1,2,3
Potter,122,Proposition #12 Right to Fair Taxation,,DEM,FOR,14,16,31,61
Potter,122,Proposition #12 Right to Fair Taxation,,DEM,AGAINST,0,0,0,0
Potter,123,U.S. Senate,,DEM,Beto O'Rourke,11,41,39,91
Potter,123,U.S. Senate,,DEM,Sema Hernandez,1,8,12,21
Potter,123,U.S. Senate,,DEM,Edward Kimbrough,0,4,6,10
Potter,123,U.S. House,13,DEM,Greg Sagan,10,47,53,110
