county,precinct,office,district,candidate,party,early_voting,election_day,votes
Jack,6,U.S. Senate,,Neal M. Dikeman,LIB,2,0,2
Jack,6,U.S. House,13,Mac Thornberry,REP,432,138,570
Jack,6,U.S. House,13,Greg Sagan,DEM,49,22,71
Jack,6,U.S. House,13,Calvin DeWeese,LIB,3,1,4
Jack,6,Governor,,Greg Abbott,REP,440,142,582
Jack,6,Governor,,Lupe Valdez,DEM,48,19,67
Jack,6,Governor,,Mark Jay Tippetts,LIB,2,0,2
Jack,6,Lieutenant Governor,,Dan Patrick,REP,417,128,545
Jack,6,Lieutenant Governor,,Mike Collier,DEM,71,32,103
Jack,6,Lieutenant Governor,,Kerry Douglas McKennon,LIB,2,1,3
Jack,6,Attorney General,,Ken Paxton,REP,422,133,555
Jack,6,Attorney General,,Justin Nelson,DEM,61,24,85
Jack,6,Attorney General,,Michael Ray Harris,LIB,6,2,8
Jack,6,Comptroller of Public Accounts,,Glenn Hegar,REP,432,136,568
Jack,6,Comptroller of Public Accounts,,Joi Chevalier,DEM,51,21,72
Jack,6,Comptroller of Public Accounts,,Ben Sanders,LIB,6,2,8
Jack,6,"Commissioner of the General Land Office",,George P. Bush,REP,432,141,573
Jack,6,"Commissioner of the General Land Office",,Miguel Suazo,DEM,51,23,74
Jack,6,"Commissioner of the General Land Office",,Matt Pina,LIB,5,0,5
Jack,6,Commissioner of Agriculture,,Sid Miller,REP,422,134,556
Jack,6,Commissioner of Agriculture,,Kim Olson,DEM,63,26,89
Jack,6,Commissioner of Agriculture,,Richard Carpenter,LIB,4,1,5
Jack,6,Railroad Commissioner,,Christi Craddick,REP,428,136,564
Jack,6,Railroad Commissioner,,Roman McAllen,DEM,55,19,74
Jack,6,Railroad Commissioner,,Mike Wright,LIB,5,4,9
Jack,6,"Justice, Supreme Court, Place 2",,Jimmy Blacklock,REP,432,135,567
Jack,6,"Justice, Supreme Court, Place 2",,Steven Kirkland,DEM,56,23,79
Jack,6,"Justice, Supreme Court, Place 4",,John Devine,REP,430,137,567
Jack,6,"Justice, Supreme Court, Place 4",,R.K. Sandill,DEM,55,22,77
Jack,6,"Justice, Supreme Court, Place 6",,Jeff Brown,REP,431,135,566
Jack,6,"Justice, Supreme Court, Place 6",,Kathy Cheng,DEM,54,23,77
Jack,6,"Presiding Judge, Court of Criminal Appeals",,Sharon Keller,REP,427,134,561
Jack,6,"Presiding Judge, Court of Criminal Appeals",,Maria T. (Terri) Jackson,DEM,58,25,83
Jack,6,"Presiding Judge, Court of Criminal Appeals",,William Bryan Strange III,LIB,2,0,2
Jack,6,"Judge, Court of Criminal Appeals, Place 7",,Barbara Parker Hervey,REP,429,136,565
Jack,6,"Judge, Court of Criminal Appeals, Place 7",,Ramona Franklin,DEM,57,22,79
Jack,6,"Judge, Court of Criminal Appeals, Place 8",,Michelle Slaughter,REP,433,140,573
Jack,6,"Judge, Court of Criminal Appeals, Place 8",,Mark Ash,LIB,30,8,38
Jack,6,State Senate,30,Pat Fallon,REP,425,137,562
Jack,6,State Senate,30,Kevin Lopez,DEM,57,24,81
Jack,6,State Representative,68,Drew Springer,REP,442,147,589
Jack,6,"Chief Justice, 2nd Court of Appeals District",,Bonnie Sudderth,REP,438,147,585
Jack,6,"Justice, 2nd Court of Appeals District, Place No. 4",,Wade Birdwell,REP,439,146,585
Jack,6,"Justice, 2nd Court of Appeals District, Place No. 5",,Dabney Bassel,REP,428,136,564
Jack,6,"Justice, 2nd Court of Appeals District, Place No. 5",,Delonia A. Watson,DEM,56,22,78
Jack,6,"Justice, 2nd Court of Appeals District, Place No. 6",,Mark Pittman,REP,436,144,580
Jack,6,"District Judge, 271st Judicial District",,Brock R. Smith,REP,436,146,582
Jack,6,"Directors, Place 2",,Lori McBrayer,,257,93,350
Jack,6,"Directors, Place 2",,Joe Logan,,113,33,146
Jack,6,"Directors, Place 4",,Mark A. Maples,,323,118,441
Jack,1,Registered Voters,,,,,,1135
Jack,2,Registered Voters,,,,,,1046
Jack,3,Registered Voters,,,,,,246
Jack,4,Registered Voters,,,,,,796
Jack,5,Registered Voters,,,,,,666
Jack,6,Registered Voters,,,,,,1192
