candidate,office,district,party,county,precinct,early_voting,election_day,provisional,votes
Robert Nichols ,State Senate ,3,REP,Jasper,Box 20 Bevil Box,215,65,0,280
Shirley Layton,State Senate ,3,DEM,Jasper,Box 20 Bevil Box,224,67,0,291
Bruce Quarles ,State Senate ,3,LIB,Jasper,Box 20 Bevil Box,4,1,0,5
James White,State Representative ,19,REP,Jasper,Box 20 Bevil Box,257,70,0,327
Sherry Williams,State Representative ,19,DEM,Jasper,Box 20 Bevil Box,192,63,0,255
,Registered Voters,,,Jasper,Box 21 West Jasper #1,0,0,0,0
,Ballots Cast,,,Jasper,Box 21 West Jasper #1,606,205,0,811
,Straight Party,,REP,Jasper,Box 21 West Jasper #1,234,62,0,296
,Straight Party,,DEM,Jasper,Box 21 West Jasper #1,105,55,0,160
,Straight Party,,LIB,Jasper,Box 21 West Jasper #1,1,1,0,2
Ted Cruz,U.S. Senate,,REP,Jasper,Box 21 West Jasper #1,403,114,0,517
Beto O'Rourke,U.S. Senate,,DEM,Jasper,Box 21 West Jasper #1,193,87,0,280
Neal M Dikeman,U.S. Senate,,LIB,Jasper,Box 21 West Jasper #1,3,1,0,4
Brian Babin,U.S. House,36,REP,Jasper,Box 21 West Jasper #1,415,121,0,536
Dayna Steele ,U.S. House,36,DEM,Jasper,Box 21 West Jasper #1,185,80,0,265
Greg Abbott,Governor ,,REP,Jasper,Box 21 West Jasper #1,419,123,0,542
Lupe Valdez,Governor ,,DEM,Jasper,Box 21 West Jasper #1,172,74,0,246
Mark Jay Tippetts,Governor ,,LIB,Jasper,Box 21 West Jasper #1,4,5,0,9
Dan Patrick,Lieutenant Governor,,REP,Jasper,Box 21 West Jasper #1,397,112,0,509
Mike Collier,Lieutenant Governor,,DEM,Jasper,Box 21 West Jasper #1,197,81,0,278
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Jasper,Box 21 West Jasper #1,4,8,0,12
Ken Paxton,Attorney General ,,REP,Jasper,Box 21 West Jasper #1,401,112,0,513
Justin Nelson,Attorney General ,,DEM,Jasper,Box 21 West Jasper #1,192,83,0,275
Michael Ray Harris,Attorney General ,,LIB,Jasper,Box 21 West Jasper #1,5,7,0,12
Glenn Hegar,Comptroller of Public Accounts,,REP,Jasper,Box 21 West Jasper #1,406,114,0,520
Joi Chevalier,Comptroller of Public Accounts,,DEM,Jasper,Box 21 West Jasper #1,170,77,0,247
Ben Sanders,Comptroller of Public Accounts,,LIB,Jasper,Box 21 West Jasper #1,13,10,0,23
George P. Bush,Commissioner of the General Land Office,,REP,Jasper,Box 21 West Jasper #1,409,113,0,522
Miguel Suazo,Commissioner of the General Land Office,,DEM,Jasper,Box 21 West Jasper #1,168,77,0,245
Matt Pina,Commissioner of the General Land Office,,LIB,Jasper,Box 21 West Jasper #1,16,11,0,27
Christi Craddick,Railroad Commissioner,,REP,Jasper,Box 21 West Jasper #1,400,112,0,512
Roman McAllen,Railroad Commissioner,,DEM,Jasper,Box 21 West Jasper #1,180,81,0,261
Mike Wright,Railroad Commissioner,,LIB,Jasper,Box 21 West Jasper #1,9,7,0,16
Robert Nichols ,State Senate ,3,REP,Jasper,Box 21 West Jasper #1,404,113,0,517
Shirley Layton,State Senate ,3,DEM,Jasper,Box 21 West Jasper #1,189,81,0,270
Bruce Quarles ,State Senate ,3,LIB,Jasper,Box 21 West Jasper #1,5,9,0,14
James White,State Representative ,19,REP,Jasper,Box 21 West Jasper #1,451,124,0,575
Sherry Williams,State Representative ,19,DEM,Jasper,Box 21 West Jasper #1,148,80,0,228
,Registered Voters,,,Jasper,Buna ISD,0,0,0,0
,Ballots Cast,,,Jasper,Buna ISD,344,717,0,1061
,Straight Party,,REP,Jasper,Buna ISD,0,0,0,0
,Straight Party,,DEM,Jasper,Buna ISD,0,0,0,0
,Straight Party,,LIB,Jasper,Buna ISD,0,0,0,0
Ted Cruz,U.S. Senate,,REP,Jasper,Buna ISD,,,,0
Beto O'Rourke,U.S. Senate,,DEM,Jasper,Buna ISD,,,,0
Neal M Dikeman,U.S. Senate,,LIB,Jasper,Buna ISD,,,,0
Brian Babin,U.S. House,36,REP,Jasper,Buna ISD,,,,0
Dayna Steele ,U.S. House,36,DEM,Jasper,Buna ISD,,,,0
Greg Abbott,Governor ,,REP,Jasper,Buna ISD,,,,0
Lupe Valdez,Governor ,,DEM,Jasper,Buna ISD,,,,0
Mark Jay Tippetts,Governor ,,LIB,Jasper,Buna ISD,,,,0
Dan Patrick,Lieutenant Governor,,REP,Jasper,Buna ISD,,,,0
Mike Collier,Lieutenant Governor,,DEM,Jasper,Buna ISD,,,,0
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Jasper,Buna ISD,,,,0
Ken Paxton,Attorney General ,,REP,Jasper,Buna ISD,,,,0
Justin Nelson,Attorney General ,,DEM,Jasper,Buna ISD,,,,0
Michael Ray Harris,Attorney General ,,LIB,Jasper,Buna ISD,,,,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Jasper,Buna ISD,,,,0
Joi Chevalier,Comptroller of Public Accounts,,DEM,Jasper,Buna ISD,,,,0
Ben Sanders,Comptroller of Public Accounts,,LIB,Jasper,Buna ISD,,,,0
George P. Bush,Commissioner of the General Land Office,,REP,Jasper,Buna ISD,,,,0
Miguel Suazo,Commissioner of the General Land Office,,DEM,Jasper,Buna ISD,,,,0
Matt Pina,Commissioner of the General Land Office,,LIB,Jasper,Buna ISD,,,,0
Christi Craddick,Railroad Commissioner,,REP,Jasper,Buna ISD,,,,0
Roman McAllen,Railroad Commissioner,,DEM,Jasper,Buna ISD,,,,0
Mike Wright,Railroad Commissioner,,LIB,Jasper,Buna ISD,,,,0
Robert Nichols ,State Senate ,3,REP,Jasper,Buna ISD,,,,0
Shirley Layton,State Senate ,3,DEM,Jasper,Buna ISD,,,,0
Bruce Quarles ,State Senate ,3,LIB,Jasper,Buna ISD,,,,0
James White,State Representative ,19,REP,Jasper,Buna ISD,,,,0
Sherry Williams,State Representative ,19,DEM,Jasper,Buna ISD,,,,0
,Registered Voters,,,Jasper,Evadale ISD,0,0,0,0
,Ballots Cast,,,Jasper,Evadale ISD,225,264,0,489
,Straight Party,,REP,Jasper,Evadale ISD,0,0,0,0
,Straight Party,,DEM,Jasper,Evadale ISD,0,0,0,0
,Straight Party,,LIB,Jasper,Evadale ISD,0,0,0,0
Ted Cruz,U.S. Senate,,REP,Jasper,Evadale ISD,,,,0
Beto O'Rourke,U.S. Senate,,DEM,Jasper,Evadale ISD,,,,0
Neal M Dikeman,U.S. Senate,,LIB,Jasper,Evadale ISD,,,,0
Brian Babin,U.S. House,36,REP,Jasper,Evadale ISD,,,,0
Dayna Steele ,U.S. House,36,DEM,Jasper,Evadale ISD,,,,0
Greg Abbott,Governor ,,REP,Jasper,Evadale ISD,,,,0
Lupe Valdez,Governor ,,DEM,Jasper,Evadale ISD,,,,0
Mark Jay Tippetts,Governor ,,LIB,Jasper,Evadale ISD,,,,0
Dan Patrick,Lieutenant Governor,,REP,Jasper,Evadale ISD,,,,0
Mike Collier,Lieutenant Governor,,DEM,Jasper,Evadale ISD,,,,0
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Jasper,Evadale ISD,,,,0
Ken Paxton,Attorney General ,,REP,Jasper,Evadale ISD,,,,0
Justin Nelson,Attorney General ,,DEM,Jasper,Evadale ISD,,,,0
Michael Ray Harris,Attorney General ,,LIB,Jasper,Evadale ISD,,,,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Jasper,Evadale ISD,,,,0
Joi Chevalier,Comptroller of Public Accounts,,DEM,Jasper,Evadale ISD,,,,0
Ben Sanders,Comptroller of Public Accounts,,LIB,Jasper,Evadale ISD,,,,0
George P. Bush,Commissioner of the General Land Office,,REP,Jasper,Evadale ISD,,,,0
Miguel Suazo,Commissioner of the General Land Office,,DEM,Jasper,Evadale ISD,,,,0
Matt Pina,Commissioner of the General Land Office,,LIB,Jasper,Evadale ISD,,,,0
Christi Craddick,Railroad Commissioner,,REP,Jasper,Evadale ISD,,,,0
Roman McAllen,Railroad Commissioner,,DEM,Jasper,Evadale ISD,,,,0
Mike Wright,Railroad Commissioner,,LIB,Jasper,Evadale ISD,,,,0
Robert Nichols ,State Senate ,3,REP,Jasper,Evadale ISD,,,,0
Shirley Layton,State Senate ,3,DEM,Jasper,Evadale ISD,,,,0
Bruce Quarles ,State Senate ,3,LIB,Jasper,Evadale ISD,,,,0
James White,State Representative ,19,REP,Jasper,Evadale ISD,,,,0
Sherry Williams,State Representative ,19,DEM,Jasper,Evadale ISD,,,,0
,Registered Voters,,,Jasper,Brookeland ISD,0,0,0,0
,Ballots Cast,,,Jasper,Brookeland ISD,0,0,0,0
,Straight Party,,REP,Jasper,Brookeland ISD,0,0,0,0
,Straight Party,,DEM,Jasper,Brookeland ISD,0,0,0,0
,Straight Party,,LIB,Jasper,Brookeland ISD,0,0,0,0
Ted Cruz,U.S. Senate,,REP,Jasper,Brookeland ISD,,,,0
Beto O'Rourke,U.S. Senate,,DEM,Jasper,Brookeland ISD,,,,0
Neal M Dikeman,U.S. Senate,,LIB,Jasper,Brookeland ISD,,,,0
Brian Babin,U.S. House,36,REP,Jasper,Brookeland ISD,,,,0
Dayna Steele ,U.S. House,36,DEM,Jasper,Brookeland ISD,,,,0
Greg Abbott,Governor ,,REP,Jasper,Brookeland ISD,,,,0
Lupe Valdez,Governor ,,DEM,Jasper,Brookeland ISD,,,,0
Mark Jay Tippetts,Governor ,,LIB,Jasper,Brookeland ISD,,,,0
Dan Patrick,Lieutenant Governor,,REP,Jasper,Brookeland ISD,,,,0
Mike Collier,Lieutenant Governor,,DEM,Jasper,Brookeland ISD,,,,0
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Jasper,Brookeland ISD,,,,0
Ken Paxton,Attorney General ,,REP,Jasper,Brookeland ISD,,,,0
Justin Nelson,Attorney General ,,DEM,Jasper,Brookeland ISD,,,,0
Michael Ray Harris,Attorney General ,,LIB,Jasper,Brookeland ISD,,,,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Jasper,Brookeland ISD,,,,0
Joi Chevalier,Comptroller of Public Accounts,,DEM,Jasper,Brookeland ISD,,,,0
Ben Sanders,Comptroller of Public Accounts,,LIB,Jasper,Brookeland ISD,,,,0
George P. Bush,Commissioner of the General Land Office,,REP,Jasper,Brookeland ISD,,,,0
Miguel Suazo,Commissioner of the General Land Office,,DEM,Jasper,Brookeland ISD,,,,0
Matt Pina,Commissioner of the General Land Office,,LIB,Jasper,Brookeland ISD,,,,0
Christi Craddick,Railroad Commissioner,,REP,Jasper,Brookeland ISD,,,,0
Roman McAllen,Railroad Commissioner,,DEM,Jasper,Brookeland ISD,,,,0
Mike Wright,Railroad Commissioner,,LIB,Jasper,Brookeland ISD,,,,0
Robert Nichols ,State Senate ,3,REP,Jasper,Brookeland ISD,,,,0
Shirley Layton,State Senate ,3,DEM,Jasper,Brookeland ISD,,,,0
Bruce Quarles ,State Senate ,3,LIB,Jasper,Brookeland ISD,,,,0
James White,State Representative ,19,REP,Jasper,Brookeland ISD,,,,0
Sherry Williams,State Representative ,19,DEM,Jasper,Brookeland ISD,,,,0
,Registered Voters,,,Jasper,City of Kirbyville,0,0,0,0
,Ballots Cast,,,Jasper,City of Kirbyville,0,0,0,0
,Straight Party,,REP,Jasper,City of Kirbyville,0,0,0,0
,Straight Party,,DEM,Jasper,City of Kirbyville,0,0,0,0
,Straight Party,,LIB,Jasper,City of Kirbyville,0,0,0,0
Ted Cruz,U.S. Senate,,REP,Jasper,City of Kirbyville,,,,0
Beto O'Rourke,U.S. Senate,,DEM,Jasper,City of Kirbyville,,,,0
Neal M Dikeman,U.S. Senate,,LIB,Jasper,City of Kirbyville,,,,0
Brian Babin,U.S. House,36,REP,Jasper,City of Kirbyville,,,,0
Dayna Steele ,U.S. House,36,DEM,Jasper,City of Kirbyville,,,,0
Greg Abbott,Governor ,,REP,Jasper,City of Kirbyville,,,,0
Lupe Valdez,Governor ,,DEM,Jasper,City of Kirbyville,,,,0
Mark Jay Tippetts,Governor ,,LIB,Jasper,City of Kirbyville,,,,0
Dan Patrick,Lieutenant Governor,,REP,Jasper,City of Kirbyville,,,,0
Mike Collier,Lieutenant Governor,,DEM,Jasper,City of Kirbyville,,,,0
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Jasper,City of Kirbyville,,,,0
Ken Paxton,Attorney General ,,REP,Jasper,City of Kirbyville,,,,0
Justin Nelson,Attorney General ,,DEM,Jasper,City of Kirbyville,,,,0
Michael Ray Harris,Attorney General ,,LIB,Jasper,City of Kirbyville,,,,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Jasper,City of Kirbyville,,,,0
Joi Chevalier,Comptroller of Public Accounts,,DEM,Jasper,City of Kirbyville,,,,0
Ben Sanders,Comptroller of Public Accounts,,LIB,Jasper,City of Kirbyville,,,,0
George P. Bush,Commissioner of the General Land Office,,REP,Jasper,City of Kirbyville,,,,0
Miguel Suazo,Commissioner of the General Land Office,,DEM,Jasper,City of Kirbyville,,,,0
Matt Pina,Commissioner of the General Land Office,,LIB,Jasper,City of Kirbyville,,,,0
Christi Craddick,Railroad Commissioner,,REP,Jasper,City of Kirbyville,,,,0
Roman McAllen,Railroad Commissioner,,DEM,Jasper,City of Kirbyville,,,,0
Mike Wright,Railroad Commissioner,,LIB,Jasper,City of Kirbyville,,,,0
Robert Nichols ,State Senate ,3,REP,Jasper,City of Kirbyville,,,,0
Shirley Layton,State Senate ,3,DEM,Jasper,City of Kirbyville,,,,0
Bruce Quarles ,State Senate ,3,LIB,Jasper,City of Kirbyville,,,,0
James White,State Representative ,19,REP,Jasper,City of Kirbyville,,,,0
Sherry Williams,State Representative ,19,DEM,Jasper,City of Kirbyville,,,,0
