candidate,office,district,party,county,precinct,votes,early_voting,early_voting_paper,early_voting_machine,election_day,election_day_paper,election_day_machine
Mark Jay Tippetts,Governor ,,LIB,Lavaca,Precinct 32,2,1,0,1,1,1,0
Dan Patrick,Lieutenant Governor,,REP,Lavaca,Precinct 32,150,65,36,29,85,41,44
Mike Collier,Lieutenant Governor,,DEM,Lavaca,Precinct 32,18,7,5,2,11,6,5
Kerry Douglas McKennon,Lieutenant Governor,,LIB,Lavaca,Precinct 32,1,1,0,1,0,0,0
Ken Paxton,Attorney General ,,REP,Lavaca,Precinct 32,150,64,36,28,86,39,47
Justin Nelson,Attorney General ,,DEM,Lavaca,Precinct 32,17,7,5,2,10,8,2
Michael Ray Harris,Attorney General ,,LIB,Lavaca,Precinct 32,1,1,0,1,0,0,0
Glenn Hegar,Comptroller of Public Accounts,,REP,Lavaca,Precinct 32,152,65,37,28,87,40,47
Joi Chevalier,Comptroller of Public Accounts,,DEM,Lavaca,Precinct 32,10,5,4,1,5,4,1
Ben Sanders,Comptroller of Public Accounts,,LIB,Lavaca,Precinct 32,4,1,0,1,3,2,1
George P. Bush,Commissioner of the General Land Office,,REP,Lavaca,Precinct 32,150,63,34,29,87,40,47
Miguel Suazo,Commissioner of the General Land Office,,DEM,Lavaca,Precinct 32,13,6,5,1,7,6,1
Matt Pina,Commissioner of the General Land Office,,LIB,Lavaca,Precinct 32,4,2,1,1,2,1,1
Christi Craddick,Railroad Commissioner,,REP,Lavaca,Precinct 32,151,65,37,28,86,39,47
Roman McAllen,Railroad Commissioner,,DEM,Lavaca,Precinct 32,13,5,4,1,8,7,1
Mike Wright,Railroad Commissioner,,LIB,Lavaca,Precinct 32,2,1,0,1,1,1,0
Ben Leman ,State Representative,13,REP,Lavaca,Precinct 32,150,66,37,29,84,39,45
Cecil Ray Webster,State Representative,13,DEM,Lavaca,Precinct 32,14,5,4,1,9,8,1
