county,precinct,office,district,party,candidate,votes,election_day,absentee,early_voting
Polk,7,"District Judge, 258th Judicial District ",,REP,John Wells,28,,,
Polk,7,"District Judge, 258th Judicial District ",,REP,Shelly Bush Sitton,85,,,
Polk,7,"District Judge, 258th Judicial District ",,REP,Travis Kitchens,41,,,
Polk,8,"District Judge, 258th Judicial District ",,REP,John Wells,45,,,
Polk,8,"District Judge, 258th Judicial District ",,REP,Shelly Bush Sitton,65,,,
Polk,8,"District Judge, 258th Judicial District ",,REP,Travis Kitchens,31,,,
Polk,9,"District Judge, 258th Judicial District ",,REP,John Wells,32,,,
Polk,9,"District Judge, 258th Judicial District ",,REP,Shelly Bush Sitton,52,,,
Polk,9,"District Judge, 258th Judicial District ",,REP,Travis Kitchens,44,,,
Polk,10,"District Judge, 258th Judicial District ",,REP,John Wells,64,,,
Polk,10,"District Judge, 258th Judicial District ",,REP,Shelly Bush Sitton,100,,,
Polk,10,"District Judge, 258th Judicial District ",,REP,Travis Kitchens,94,,,
Polk,11,"District Judge, 258th Judicial District ",,REP,John Wells,23,,,
Polk,11,"District Judge, 258th Judicial District ",,REP,Shelly Bush Sitton,35,,,
Polk,11,"District Judge, 258th Judicial District ",,REP,Travis Kitchens,22,,,
Polk,12,"District Judge, 258th Judicial District ",,REP,John Wells,8,,,
Polk,12,"District Judge, 258th Judicial District ",,REP,Shelly Bush Sitton,13,,,
Polk,12,"District Judge, 258th Judicial District ",,REP,Travis Kitchens,7,,,
Polk,13,"District Judge, 258th Judicial District ",,REP,John Wells,25,,,
Polk,13,"District Judge, 258th Judicial District ",,REP,Shelly Bush Sitton,25,,,
Polk,13,"District Judge, 258th Judicial District ",,REP,Travis Kitchens,23,,,
Polk,14,"District Judge, 258th Judicial District ",,REP,John Wells,50,,,
Polk,14,"District Judge, 258th Judicial District ",,REP,Shelly Bush Sitton,68,,,
Polk,14,"District Judge, 258th Judicial District ",,REP,Travis Kitchens,27,,,
Polk,15,"District Judge, 258th Judicial District ",,REP,John Wells,80,,,
Polk,15,"District Judge, 258th Judicial District ",,REP,Shelly Bush Sitton,71,,,
Polk,15,"District Judge, 258th Judicial District ",,REP,Travis Kitchens,43,,,
Polk,16,"District Judge, 258th Judicial District ",,REP,John Wells,356,,,
Polk,16,"District Judge, 258th Judicial District ",,REP,Shelly Bush Sitton,467,,,
Polk,16,"District Judge, 258th Judicial District ",,REP,Travis Kitchens,190,,,
Polk,17,"District Judge, 258th Judicial District ",,REP,John Wells,74,,,
Polk,17,"District Judge, 258th Judicial District ",,REP,Shelly Bush Sitton,84,,,
Polk,17,"District Judge, 258th Judicial District ",,REP,Travis Kitchens,53,,,
Polk,18,"District Judge, 258th Judicial District ",,REP,John Wells,16,,,
Polk,18,"District Judge, 258th Judicial District ",,REP,Shelly Bush Sitton,21,,,
Polk,18,"District Judge, 258th Judicial District ",,REP,Travis Kitchens,13,,,
Polk,19,"District Judge, 258th Judicial District ",,REP,John Wells,104,,,
Polk,19,"District Judge, 258th Judicial District ",,REP,Shelly Bush Sitton,65,,,
Polk,19,"District Judge, 258th Judicial District ",,REP,Travis Kitchens,44,,,
Polk,20,"District Judge, 258th Judicial District ",,REP,John Wells,88,,,
Polk,20,"District Judge, 258th Judicial District ",,REP,Shelly Bush Sitton,74,,,
Polk,20,"District Judge, 258th Judicial District ",,REP,Travis Kitchens,43,,,
Polk,21,"District Judge, 258th Judicial District ",,REP,John Wells,90,,,
Polk,21,"District Judge, 258th Judicial District ",,REP,Shelly Bush Sitton,95,,,
Polk,21,"District Judge, 258th Judicial District ",,REP,Travis Kitchens,62,,,
Polk,1,Criminal District Attorney Polk County ,,REP,William Lee Hon,48,,,
Polk,2,Criminal District Attorney Polk County ,,REP,William Lee Hon,47,,,
Polk,3,Criminal District Attorney Polk County ,,REP,William Lee Hon,222,,,
Polk,4,Criminal District Attorney Polk County ,,REP,William Lee Hon,267,,,
Polk,5,Criminal District Attorney Polk County ,,REP,William Lee Hon,423,,,
Polk,6,Criminal District Attorney Polk County ,,REP,William Lee Hon,748,,,
Polk,7,Criminal District Attorney Polk County ,,REP,William Lee Hon,122,,,
Polk,8,Criminal District Attorney Polk County ,,REP,William Lee Hon,105,,,
Polk,9,Criminal District Attorney Polk County ,,REP,William Lee Hon,96,,,
Polk,10,Criminal District Attorney Polk County ,,REP,William Lee Hon,177,,,
Polk,11,Criminal District Attorney Polk County ,,REP,William Lee Hon,66,,,
Polk,12,Criminal District Attorney Polk County ,,REP,William Lee Hon,20,,,
Polk,13,Criminal District Attorney Polk County ,,REP,William Lee Hon,64,,,
Polk,14,Criminal District Attorney Polk County ,,REP,William Lee Hon,125,,,
Polk,15,Criminal District Attorney Polk County ,,REP,William Lee Hon,146,,,
Polk,16,Criminal District Attorney Polk County ,,REP,William Lee Hon,782,,,
Polk,17,Criminal District Attorney Polk County ,,REP,William Lee Hon,182,,,
Polk,18,Criminal District Attorney Polk County ,,REP,William Lee Hon,37,,,
Polk,19,Criminal District Attorney Polk County ,,REP,William Lee Hon,190,,,
Polk,20,Criminal District Attorney Polk County ,,REP,William Lee Hon,184,,,
Polk,21,Criminal District Attorney Polk County ,,REP,William Lee Hon,184,,,
Polk,1,County Judge ,,REP,Sydney Brown Murphy,32,,,
Polk,1,County Judge ,,REP,Benny Fogleman,38,,,
Polk,2,County Judge ,,REP,Sydney Brown Murphy,34,,,
Polk,2,County Judge ,,REP,Benny Fogleman,20,,,
Polk,3,County Judge ,,REP,Sydney Brown Murphy,198,,,
Polk,3,County Judge ,,REP,Benny Fogleman,121,,,
Polk,4,County Judge ,,REP,Sydney Brown Murphy,219,,,
Polk,4,County Judge ,,REP,Benny Fogleman,111,,,
Polk,5,County Judge ,,REP,Sydney Brown Murphy,262,,,
Polk,5,County Judge ,,REP,Benny Fogleman,233,,,
Polk,6,County Judge ,,REP,Sydney Brown Murphy,507,,,
Polk,6,County Judge ,,REP,Benny Fogleman,393,,,
Polk,7,County Judge ,,REP,Sydney Brown Murphy,102,,,
Polk,7,County Judge ,,REP,Benny Fogleman,52,,,
Polk,8,County Judge ,,REP,Sydney Brown Murphy,99,,,
Polk,8,County Judge ,,REP,Benny Fogleman,41,,,
Polk,9,County Judge ,,REP,Sydney Brown Murphy,99,,,
Polk,9,County Judge ,,REP,Benny Fogleman,34,,,
Polk,10,County Judge ,,REP,Sydney Brown Murphy,201,,,
Polk,10,County Judge ,,REP,Benny Fogleman,65,,,
Polk,11,County Judge ,,REP,Sydney Brown Murphy,50,,,
Polk,11,County Judge ,,REP,Benny Fogleman,29,,,
Polk,12,County Judge ,,REP,Sydney Brown Murphy,26,,,
Polk,12,County Judge ,,REP,Benny Fogleman,2,,,
Polk,13,County Judge ,,REP,Sydney Brown Murphy,39,,,
Polk,13,County Judge ,,REP,Benny Fogleman,40,,,
Polk,14,County Judge ,,REP,Sydney Brown Murphy,85,,,
Polk,14,County Judge ,,REP,Benny Fogleman,59,,,
Polk,15,County Judge ,,REP,Sydney Brown Murphy,116,,,
Polk,15,County Judge ,,REP,Benny Fogleman,79,,,
Polk,16,County Judge ,,REP,Sydney Brown Murphy,607,,,
Polk,16,County Judge ,,REP,Benny Fogleman,419,,,
Polk,17,County Judge ,,REP,Sydney Brown Murphy,141,,,
Polk,17,County Judge ,,REP,Benny Fogleman,71,,,
Polk,18,County Judge ,,REP,Sydney Brown Murphy,38,,,
Polk,18,County Judge ,,REP,Benny Fogleman,14,,,
Polk,19,County Judge ,,REP,Sydney Brown Murphy,122,,,
Polk,19,County Judge ,,REP,Benny Fogleman,82,,,
Polk,20,County Judge ,,REP,Sydney Brown Murphy,126,,,
Polk,20,County Judge ,,REP,Benny Fogleman,75,,,
Polk,21,County Judge ,,REP,Sydney Brown Murphy,162,,,
Polk,21,County Judge ,,REP,Benny Fogleman,89,,,
Polk,1,"Judge, County Court-at-Law ",,REP,Tom Brown,52,,,
Polk,2,"Judge, County Court-at-Law ",,REP,Tom Brown,50,,,
Polk,3,"Judge, County Court-at-Law ",,REP,Tom Brown,240,,,
Polk,4,"Judge, County Court-at-Law ",,REP,Tom Brown,287,,,
Polk,5,"Judge, County Court-at-Law ",,REP,Tom Brown,425,,,
Polk,6,"Judge, County Court-at-Law ",,REP,Tom Brown,797,,,
Polk,7,"Judge, County Court-at-Law ",,REP,Tom Brown,133,,,
Polk,8,"Judge, County Court-at-Law ",,REP,Tom Brown,120,,,
Polk,9,"Judge, County Court-at-Law ",,REP,Tom Brown,105,,,
Polk,10,"Judge, County Court-at-Law ",,REP,Tom Brown,212,,,
Polk,11,"Judge, County Court-at-Law ",,REP,Tom Brown,60,,,
Polk,12,"Judge, County Court-at-Law ",,REP,Tom Brown,22,,,
Polk,13,"Judge, County Court-at-Law ",,REP,Tom Brown,69,,,
Polk,14,"Judge, County Court-at-Law ",,REP,Tom Brown,132,,,
Polk,15,"Judge, County Court-at-Law ",,REP,Tom Brown,167,,,
Polk,16,"Judge, County Court-at-Law ",,REP,Tom Brown,847,,,
Polk,17,"Judge, County Court-at-Law ",,REP,Tom Brown,189,,,
Polk,18,"Judge, County Court-at-Law ",,REP,Tom Brown,38,,,
Polk,19,"Judge, County Court-at-Law ",,REP,Tom Brown,188,,,
Polk,20,"Judge, County Court-at-Law ",,REP,Tom Brown,190,,,
Polk,21,"Judge, County Court-at-Law ",,REP,Tom Brown,202,,,
Polk,1,District Clerk ,,REP,Bobbye Richards,55,,,
Polk,2,District Clerk ,,REP,Bobbye Richards,49,,,
Polk,3,District Clerk ,,REP,Bobbye Richards,236,,,
Polk,4,District Clerk ,,REP,Bobbye Richards,274,,,
Polk,5,District Clerk ,,REP,Bobbye Richards,428,,,
Polk,6,District Clerk ,,REP,Bobbye Richards,794,,,
Polk,7,District Clerk ,,REP,Bobbye Richards,135,,,
Polk,8,District Clerk ,,REP,Bobbye Richards,115,,,
Polk,9,District Clerk ,,REP,Bobbye Richards,107,,,
Polk,10,District Clerk ,,REP,Bobbye Richards,211,,,
Polk,11,District Clerk ,,REP,Bobbye Richards,61,,,
Polk,12,District Clerk ,,REP,Bobbye Richards,23,,,
Polk,13,District Clerk ,,REP,Bobbye Richards,67,,,
Polk,14,District Clerk ,,REP,Bobbye Richards,127,,,
Polk,15,District Clerk ,,REP,Bobbye Richards,166,,,
Polk,16,District Clerk ,,REP,Bobbye Richards,859,,,
Polk,17,District Clerk ,,REP,Bobbye Richards,194,,,
Polk,18,District Clerk ,,REP,Bobbye Richards,38,,,
Polk,19,District Clerk ,,REP,Bobbye Richards,188,,,
Polk,20,District Clerk ,,REP,Bobbye Richards,192,,,
Polk,21,District Clerk ,,REP,Bobbye Richards,197,,,
Polk,1,County Clerk ,,REP,Schelana Myers Hock,50,,,
Polk,2,County Clerk ,,REP,Schelana Myers Hock,46,,,
Polk,3,County Clerk ,,REP,Schelana Myers Hock,225,,,
Polk,4,County Clerk ,,REP,Schelana Myers Hock,259,,,
Polk,5,County Clerk ,,REP,Schelana Myers Hock,419,,,
Polk,6,County Clerk ,,REP,Schelana Myers Hock,781,,,
Polk,7,County Clerk ,,REP,Schelana Myers Hock,129,,,
Polk,8,County Clerk ,,REP,Schelana Myers Hock,115,,,
Polk,9,County Clerk ,,REP,Schelana Myers Hock,117,,,
Polk,10,County Clerk ,,REP,Schelana Myers Hock,226,,,
Polk,11,County Clerk ,,REP,Schelana Myers Hock,67,,,
Polk,12,County Clerk ,,REP,Schelana Myers Hock,20,,,
Polk,13,County Clerk ,,REP,Schelana Myers Hock,67,,,
Polk,14,County Clerk ,,REP,Schelana Myers Hock,125,,,
Polk,15,County Clerk ,,REP,Schelana Myers Hock,163,,,
Polk,16,County Clerk ,,REP,Schelana Myers Hock,831,,,
Polk,17,County Clerk ,,REP,Schelana Myers Hock,188,,,
Polk,18,County Clerk ,,REP,Schelana Myers Hock,40,,,
Polk,19,County Clerk ,,REP,Schelana Myers Hock,188,,,
Polk,20,County Clerk ,,REP,Schelana Myers Hock,190,,,
Polk,21,County Clerk ,,REP,Schelana Myers Hock,191,,,
Polk,1,County Treasurer ,,REP,Terri L. Williams,55,,,
Polk,2,County Treasurer ,,REP,Terri L. Williams,50,,,
Polk,3,County Treasurer ,,REP,Terri L. Williams,226,,,
Polk,4,County Treasurer ,,REP,Terri L. Williams,258,,,
Polk,5,County Treasurer ,,REP,Terri L. Williams,420,,,
Polk,6,County Treasurer ,,REP,Terri L. Williams,773,,,
Polk,7,County Treasurer ,,REP,Terri L. Williams,124,,,
Polk,8,County Treasurer ,,REP,Terri L. Williams,119,,,
Polk,9,County Treasurer ,,REP,Terri L. Williams,100,,,
Polk,10,County Treasurer ,,REP,Terri L. Williams,205,,,
Polk,11,County Treasurer ,,REP,Terri L. Williams,61,,,
Polk,12,County Treasurer ,,REP,Terri L. Williams,26,,,
Polk,13,County Treasurer ,,REP,Terri L. Williams,67,,,
Polk,14,County Treasurer ,,REP,Terri L. Williams,126,,,
Polk,15,County Treasurer ,,REP,Terri L. Williams,161,,,
Polk,16,County Treasurer ,,REP,Terri L. Williams,827,,,
Polk,17,County Treasurer ,,REP,Terri L. Williams,185,,,
Polk,18,County Treasurer ,,REP,Terri L. Williams,40,,,
Polk,19,County Treasurer ,,REP,Terri L. Williams,183,,,
Polk,20,County Treasurer ,,REP,Terri L. Williams,189,,,
Polk,21,County Treasurer ,,REP,Terri L. Williams,189,,,
Polk,6,"County Commissioner, Precinct No. 2 ",,REP,Ronnie Vincent,718,,,
Polk,17,"County Commissioner, Precinct No. 2 ",,REP,Ronnie Vincent,180,,,
Polk,21,"County Commissioner, Precinct No. 2 ",,REP,Ronnie Vincent,192,,,
Polk,1,"County Commissioner, Precinct No. 4 ",,REP,"C.T. ""Tommy"" Overstreet",55,,,
Polk,13,"County Commissioner, Precinct No. 4 ",,REP,"C.T. ""Tommy"" Overstreet",62,,,
Polk,14,"County Commissioner, Precinct No. 4 ",,REP,"C.T. ""Tommy"" Overstreet",112,,,
Polk,15,"County Commissioner, Precinct No. 4 ",,REP,"C.T. ""Tommy"" Overstreet",159,,,
Polk,16,"County Commissioner, Precinct No. 4 ",,REP,"C.T. ""Tommy"" Overstreet",856,,,
Polk,2,"Justice of the Peace, Precinct No. 1 ",,REP,Darrell Glenn Longino,48,,,
Polk,3,"Justice of the Peace, Precinct No. 1 ",,REP,Darrell Glenn Longino,258,,,
Polk,4,"Justice of the Peace, Precinct No. 1 ",,REP,Darrell Glenn Longino,286,,,
Polk,5,"Justice of the Peace, Precinct No. 1 ",,REP,Darrell Glenn Longino,447,,,
Polk,19,"Justice of the Peace, Precinct No. 1 ",,REP,Darrell Glenn Longino,187,,,
Polk,20,"Justice of the Peace, Precinct No. 1 ",,REP,Darrell Glenn Longino,190,,,
Polk,6,"Justice of the Peace, Precinct No. 2 ",,REP,Phillip Waller,289,,,
Polk,6,"Justice of the Peace, Precinct No. 2 ",,REP,Sarah Arnett,610,,,
Polk,17,"Justice of the Peace, Precinct No. 2 ",,REP,Phillip Waller,98,,,
Polk,17,"Justice of the Peace, Precinct No. 2 ",,REP,Sarah Arnett,104,,,
Polk,21,"Justice of the Peace, Precinct No. 2 ",,REP,Phillip Waller,99,,,
Polk,21,"Justice of the Peace, Precinct No. 2 ",,REP,Sarah Arnett,122,,,
Polk,7,"Justice of the Peace, Precinct No. 3 ",,REP,"Robert ""Dooley"" Johnson",122,,,
Polk,8,"Justice of the Peace, Precinct No. 3 ",,REP,"Robert ""Dooley"" Johnson",109,,,
Polk,9,"Justice of the Peace, Precinct No. 3 ",,REP,"Robert ""Dooley"" Johnson",110,,,
Polk,10,"Justice of the Peace, Precinct No. 3 ",,REP,"Robert ""Dooley"" Johnson",224,,,
Polk,11,"Justice of the Peace, Precinct No. 3 ",,REP,"Robert ""Dooley"" Johnson",71,,,
Polk,12,"Justice of the Peace, Precinct No. 3 ",,REP,"Robert ""Dooley"" Johnson",20,,,
Polk,18,"Justice of the Peace, Precinct No. 3 ",,REP,"Robert ""Dooley"" Johnson",35,,,
Polk,1,"Justice of the Peace, Precinct No. 4 ",,REP,Jamie Richardson Jones,49,,,
Polk,13,"Justice of the Peace, Precinct No. 4 ",,REP,Jamie Richardson Jones,66,,,
Polk,14,"Justice of the Peace, Precinct No. 4 ",,REP,Jamie Richardson Jones,127,,,
Polk,15,"Justice of the Peace, Precinct No. 4 ",,REP,Jamie Richardson Jones,168,,,
Polk,16,"Justice of the Peace, Precinct No. 4 ",,REP,Jamie Richardson Jones,834,,,
Polk,1,County Chairman ,,REP,Fred Grube,53,,,
Polk,2,County Chairman ,,REP,Fred Grube,49,,,
Polk,3,County Chairman ,,REP,Fred Grube,219,,,
Polk,4,County Chairman ,,REP,Fred Grube,259,,,
Polk,5,County Chairman ,,REP,Fred Grube,413,,,
Polk,6,County Chairman ,,REP,Fred Grube,774,,,
Polk,7,County Chairman ,,REP,Fred Grube,134,,,
Polk,8,County Chairman ,,REP,Fred Grube,112,,,
Polk,9,County Chairman ,,REP,Fred Grube,105,,,
Polk,10,County Chairman ,,REP,Fred Grube,198,,,
Polk,11,County Chairman ,,REP,Fred Grube,60,,,
Polk,12,County Chairman ,,REP,Fred Grube,22,,,
Polk,13,County Chairman ,,REP,Fred Grube,64,,,
Polk,14,County Chairman ,,REP,Fred Grube,123,,,
Polk,15,County Chairman ,,REP,Fred Grube,160,,,
Polk,16,County Chairman ,,REP,Fred Grube,805,,,
Polk,17,County Chairman ,,REP,Fred Grube,189,,,
Polk,18,County Chairman ,,REP,Fred Grube,38,,,
Polk,19,County Chairman ,,REP,Fred Grube,180,,,
Polk,20,County Chairman ,,REP,Fred Grube,176,,,
Polk,21,County Chairman ,,REP,Fred Grube,191,,,
Polk,11,"Precinct Chairman, Precinct No. 11 ",,REP,Nicholas Baskin,29,,,
Polk,11,"Precinct Chairman, Precinct No. 11 ",,REP,Jimmy C. Amerine,45,,,
Polk,6,"Precinct Chairman, Precinct No. 6 ",,REP,Christopher Lima,277,,,
Polk,6,"Precinct Chairman, Precinct No. 6 ",,REP,Royce Newport,585,,,
Polk,18,"Precinct Chairman, Precinct No. 18 ",,REP,Byron Lyons,35,,,
Polk,18,"Precinct Chairman, Precinct No. 18 ",,REP,Chris Martin,13,,,
Polk,1,United States Senator ,,DEM,Edward Kimbrough,2,,,
Polk,1,United States Senator ,,DEM,Beto O'Rourke,3,,,
Polk,1,United States Senator ,,DEM,Sema Hernandez,2,,,
Polk,2,United States Senator ,,DEM,Edward Kimbrough,1,,,
Polk,2,United States Senator ,,DEM,Beto O'Rourke,7,,,
Polk,2,United States Senator ,,DEM,Sema Hernandez,0,,,
Polk,3,United States Senator ,,DEM,Edward Kimbrough,15,,,
Polk,3,United States Senator ,,DEM,Beto O'Rourke,12,,,
Polk,3,United States Senator ,,DEM,Sema Hernandez,7,,,
Polk,4,United States Senator ,,DEM,Edward Kimbrough,7,,,
Polk,4,United States Senator ,,DEM,Beto O'Rourke,25,,,
Polk,4,United States Senator ,,DEM,Sema Hernandez,6,,,
Polk,5,United States Senator ,,DEM,Edward Kimbrough,14,,,
Polk,5,United States Senator ,,DEM,Beto O'Rourke,44,,,
Polk,5,United States Senator ,,DEM,Sema Hernandez,16,,,
Polk,6,United States Senator ,,DEM,Edward Kimbrough,48,,,
Polk,6,United States Senator ,,DEM,Beto O'Rourke,65,,,
Polk,6,United States Senator ,,DEM,Sema Hernandez,25,,,
Polk,7,United States Senator ,,DEM,Edward Kimbrough,4,,,
Polk,7,United States Senator ,,DEM,Beto O'Rourke,10,,,
Polk,7,United States Senator ,,DEM,Sema Hernandez,5,,,
Polk,8,United States Senator ,,DEM,Edward Kimbrough,13,,,
Polk,8,United States Senator ,,DEM,Beto O'Rourke,14,,,
Polk,8,United States Senator ,,DEM,Sema Hernandez,9,,,
Polk,9,United States Senator ,,DEM,Edward Kimbrough,5,,,
Polk,9,United States Senator ,,DEM,Beto O'Rourke,9,,,
Polk,9,United States Senator ,,DEM,Sema Hernandez,4,,,
Polk,10,United States Senator ,,DEM,Edward Kimbrough,15,,,
Polk,10,United States Senator ,,DEM,Beto O'Rourke,19,,,
Polk,10,United States Senator ,,DEM,Sema Hernandez,18,,,
Polk,11,United States Senator ,,DEM,Edward Kimbrough,1,,,
Polk,11,United States Senator ,,DEM,Beto O'Rourke,4,,,
Polk,11,United States Senator ,,DEM,Sema Hernandez,4,,,
Polk,12,United States Senator ,,DEM,Edward Kimbrough,8,,,
Polk,12,United States Senator ,,DEM,Beto O'Rourke,6,,,
Polk,12,United States Senator ,,DEM,Sema Hernandez,5,,,
Polk,13,United States Senator ,,DEM,Edward Kimbrough,4,,,
Polk,13,United States Senator ,,DEM,Beto O'Rourke,0,,,
Polk,13,United States Senator ,,DEM,Sema Hernandez,2,,,
Polk,14,United States Senator ,,DEM,Edward Kimbrough,6,,,
Polk,14,United States Senator ,,DEM,Beto O'Rourke,10,,,
Polk,14,United States Senator ,,DEM,Sema Hernandez,3,,,
Polk,15,United States Senator ,,DEM,Edward Kimbrough,5,,,
Polk,15,United States Senator ,,DEM,Beto O'Rourke,3,,,
Polk,15,United States Senator ,,DEM,Sema Hernandez,2,,,
Polk,16,United States Senator ,,DEM,Edward Kimbrough,17,,,
Polk,16,United States Senator ,,DEM,Beto O'Rourke,37,,,
Polk,16,United States Senator ,,DEM,Sema Hernandez,6,,,
Polk,17,United States Senator ,,DEM,Edward Kimbrough,7,,,
Polk,17,United States Senator ,,DEM,Beto O'Rourke,7,,,
Polk,17,United States Senator ,,DEM,Sema Hernandez,5,,,
Polk,18,United States Senator ,,DEM,Edward Kimbrough,8,,,
Polk,18,United States Senator ,,DEM,Beto O'Rourke,7,,,
Polk,18,United States Senator ,,DEM,Sema Hernandez,10,,,
Polk,19,United States Senator ,,DEM,Edward Kimbrough,5,,,
Polk,19,United States Senator ,,DEM,Beto O'Rourke,70,,,
Polk,19,United States Senator ,,DEM,Sema Hernandez,17,,,
Polk,20,United States Senator ,,DEM,Edward Kimbrough,12,,,
Polk,20,United States Senator ,,DEM,Beto O'Rourke,53,,,
Polk,20,United States Senator ,,DEM,Sema Hernandez,11,,,
Polk,21,United States Senator ,,DEM,Edward Kimbrough,4,,,
Polk,21,United States Senator ,,DEM,Beto O'Rourke,11,,,
Polk,21,United States Senator ,,DEM,Sema Hernandez,8,,,
Polk,1,U.S. House,36,DEM,Dayna Steele,5,,,
Polk,1,U.S. House,36,DEM,Jon Powell,2,,,
Polk,2,U.S. House,36,DEM,Dayna Steele,6,,,
Polk,2,U.S. House,36,DEM,Jon Powell,1,,,
Polk,3,U.S. House,36,DEM,Dayna Steele,21,,,
Polk,3,U.S. House,36,DEM,Jon Powell,14,,,
Polk,4,U.S. House,36,DEM,Dayna Steele,32,,,
Polk,4,U.S. House,36,DEM,Jon Powell,8,,,
Polk,5,U.S. House,36,DEM,Dayna Steele,53,,,
Polk,5,U.S. House,36,DEM,Jon Powell,18,,,
Polk,6,U.S. House,36,DEM,Dayna Steele,109,,,
Polk,6,U.S. House,36,DEM,Jon Powell,31,,,
Polk,7,U.S. House,36,DEM,Dayna Steele,13,,,
Polk,7,U.S. House,36,DEM,Jon Powell,6,,,
Polk,8,U.S. House,36,DEM,Dayna Steele,22,,,
Polk,8,U.S. House,36,DEM,Jon Powell,13,,,
Polk,9,U.S. House,36,DEM,Dayna Steele,14,,,
Polk,9,U.S. House,36,DEM,Jon Powell,4,,,
Polk,10,U.S. House,36,DEM,Dayna Steele,34,,,
Polk,10,U.S. House,36,DEM,Jon Powell,19,,,
Polk,11,U.S. House,36,DEM,Dayna Steele,7,,,
Polk,11,U.S. House,36,DEM,Jon Powell,3,,,
Polk,12,U.S. House,36,DEM,Dayna Steele,14,,,
Polk,12,U.S. House,36,DEM,Jon Powell,5,,,
Polk,13,U.S. House,36,DEM,Dayna Steele,5,,,
Polk,13,U.S. House,36,DEM,Jon Powell,1,,,
Polk,14,U.S. House,36,DEM,Dayna Steele,13,,,
Polk,14,U.S. House,36,DEM,Jon Powell,6,,,
Polk,15,U.S. House,36,DEM,Dayna Steele,7,,,
Polk,15,U.S. House,36,DEM,Jon Powell,3,,,
Polk,16,U.S. House,36,DEM,Dayna Steele,43,,,
Polk,16,U.S. House,36,DEM,Jon Powell,16,,,
Polk,17,U.S. House,36,DEM,Dayna Steele,13,,,
Polk,17,U.S. House,36,DEM,Jon Powell,5,,,
Polk,18,U.S. House,36,DEM,Dayna Steele,21,,,
Polk,18,U.S. House,36,DEM,Jon Powell,4,,,
Polk,19,U.S. House,36,DEM,Dayna Steele,73,,,
Polk,19,U.S. House,36,DEM,Jon Powell,18,,,
Polk,20,U.S. House,36,DEM,Dayna Steele,55,,,
Polk,20,U.S. House,36,DEM,Jon Powell,17,,,
Polk,21,U.S. House,36,DEM,Dayna Steele,14,,,
Polk,21,U.S. House,36,DEM,Jon Powell,9,,,
Polk,1,Governor ,,DEM,James Jolly Clark,0,,,
Polk,1,Governor ,,DEM,Grady Yarbrough,1,,,
Polk,1,Governor ,,DEM,"Cedric Davis, Sr.",0,,,
Polk,1,Governor ,,DEM,Joe Mumbach,0,,,
Polk,1,Governor ,,DEM,Andrew White,3,,,
Polk,1,Governor ,,DEM,Lupe Valdez,1,,,
Polk,1,Governor ,,DEM,Tom Wakely,0,,,
Polk,1,Governor ,,DEM,Adrian Ocegueda,0,,,
Polk,1,Governor ,,DEM,Jeffrey Payne,2,,,
Polk,2,Governor ,,DEM,James Jolly Clark,1,,,
Polk,2,Governor ,,DEM,Grady Yarbrough,0,,,
Polk,2,Governor ,,DEM,"Cedric Davis, Sr.",0,,,
Polk,2,Governor ,,DEM,Joe Mumbach,0,,,
Polk,2,Governor ,,DEM,Andrew White,4,,,
Polk,2,Governor ,,DEM,Lupe Valdez,1,,,
Polk,2,Governor ,,DEM,Tom Wakely,0,,,
Polk,2,Governor ,,DEM,Adrian Ocegueda,0,,,
Polk,2,Governor ,,DEM,Jeffrey Payne,2,,,
Polk,3,Governor ,,DEM,James Jolly Clark,3,,,
Polk,3,Governor ,,DEM,Grady Yarbrough,7,,,
Polk,3,Governor ,,DEM,"Cedric Davis, Sr.",3,,,
Polk,3,Governor ,,DEM,Joe Mumbach,0,,,
Polk,3,Governor ,,DEM,Andrew White,19,,,
Polk,3,Governor ,,DEM,Lupe Valdez,3,,,
Polk,3,Governor ,,DEM,Tom Wakely,2,,,
Polk,3,Governor ,,DEM,Adrian Ocegueda,0,,,
Polk,3,Governor ,,DEM,Jeffrey Payne,0,,,
Polk,4,Governor ,,DEM,James Jolly Clark,2,,,
Polk,4,Governor ,,DEM,Grady Yarbrough,0,,,
Polk,4,Governor ,,DEM,"Cedric Davis, Sr.",1,,,
Polk,4,Governor ,,DEM,Joe Mumbach,0,,,
Polk,4,Governor ,,DEM,Andrew White,25,,,
Polk,4,Governor ,,DEM,Lupe Valdez,5,,,
Polk,4,Governor ,,DEM,Tom Wakely,2,,,
Polk,4,Governor ,,DEM,Adrian Ocegueda,2,,,
Polk,4,Governor ,,DEM,Jeffrey Payne,2,,,
Polk,5,Governor ,,DEM,James Jolly Clark,8,,,
Polk,5,Governor ,,DEM,Grady Yarbrough,6,,,
Polk,5,Governor ,,DEM,"Cedric Davis, Sr.",1,,,
Polk,5,Governor ,,DEM,Joe Mumbach,0,,,
Polk,5,Governor ,,DEM,Andrew White,43,,,
Polk,5,Governor ,,DEM,Lupe Valdez,9,,,
Polk,5,Governor ,,DEM,Tom Wakely,1,,,
Polk,5,Governor ,,DEM,Adrian Ocegueda,2,,,
Polk,5,Governor ,,DEM,Jeffrey Payne,5,,,
Polk,6,Governor ,,DEM,James Jolly Clark,9,,,
Polk,6,Governor ,,DEM,Grady Yarbrough,15,,,
Polk,6,Governor ,,DEM,"Cedric Davis, Sr.",8,,,
