county,precinct,office,district,party,candidate,votes,election_day,election_day_paper,early_voting,absentee
El Paso,98,District Judge 243rd Judicial District,,DEM,Selena Solis,175,85,0,72,18
El Paso,98,District Judge 243rd Judicial District,,DEM,Feliciano Felix Cast,65,33,0,25,7
El Paso,98,District Judge 243rd Judicial District,,DEM,Roberto J Ramos,53,29,0,21,3
El Paso,98,District Judge 243rd Judicial District,,DEM,Luis Aguilar,95,52,0,41,2
El Paso,98,District Judge 327th Judicial District,,DEM,Linda Yee Chew,307,158,0,124,25
El Paso,98,El Paso County Judge,,DEM,Ricardo Samaniego,173,80,0,76,17
El Paso,98,El Paso County Judge,,DEM,John Cook,172,107,0,57,8
El Paso,98,El Paso County Judge,,DEM,Laura Enriquez,72,33,0,31,8
El Paso,98,Judge County Court At Law 1,,DEM,Ruth Reyes,236,122,0,88,26
El Paso,98,Judge County Court At Law 1,,DEM,Ruben Nunez,162,85,0,71,6
El Paso,98,Judge County Court At Law 2,,DEM,Julie Gonzalez,302,157,0,120,25
El Paso,98,Judge County Court At Law 3,,DEM,Javier Alvarez,306,157,0,124,25
El Paso,98,Judge County Court At Law 4,,DEM,Alex Gonzalez,294,154,0,115,25
El Paso,98,Judge County Court At Law 5,,DEM,Kristin Raquel Romer,104,46,0,43,15
El Paso,98,Judge County Court At Law 5,,DEM,Jesus Rodriguez,167,90,0,67,10
El Paso,98,Judge County Court At Law 5,,DEM,Mike Herrera,98,58,0,38,2
El Paso,98,Judge County Court At Law 5,,DEM,Danny Razo,26,14,0,11,1
El Paso,98,Judge County Court At Law 6,,DEM,M Sue Kurita,317,163,0,129,25
El Paso,98,Judge County Court At Law 7,,DEM,Patsy Lopez,173,95,0,57,21
El Paso,98,Judge County Court At Law 7,,DEM,Ruben Morales,208,103,0,97,8
El Paso,98,Judge County Criminal Court 1,,DEM,Alma Trejo,300,156,0,122,22
El Paso,98,Judge County Criminal Court 2,,DEM,Robert S Anchondo,307,156,0,125,26
El Paso,98,Judge County Probate Court 1,,DEM,Patricia B Chew,283,154,0,108,21
El Paso,98,Judge County Probate Court 1,,DEM,Darron Powell,101,48,0,45,8
El Paso,98,Judge County Probate Court 2,,DEM,Eduardo A Gamboa,305,155,0,126,24
El Paso,98,District Clerk,,DEM,Norma Favela Barcele,301,153,0,123,25
El Paso,98,County Clerk,,DEM,Delia Briones,307,156,0,125,26
El Paso,98,Justice Of The Peace 4,,DEM,Rebeca Bustamante,187,106,0,65,16
El Paso,98,Justice Of The Peace 4,,DEM,Jesus Urenda,121,60,0,57,4
El Paso,98,Justice Of The Peace 4,,DEM,Patsy Patino,72,33,0,32,7
El Paso,98,County Chairman,,DEM,Iliana Holguin,295,153,0,119,23
El Paso,98,Referendum 1,,DEM,For (A Favor),369,203,0,138,28
El Paso,98,Referendum 1,,DEM,Against (En Contra),51,19,0,29,3
El Paso,98,Referendum 2,,DEM,For (A Favor),378,204,0,145,29
El Paso,98,Referendum 2,,DEM,Against (En Contra),49,22,0,25,2
El Paso,98,Referendum 3,,DEM,For (A Favor),364,200,0,139,25
El Paso,98,Referendum 3,,DEM,Against (En Contra),63,26,0,31,6
El Paso,98,Referendum 4,,DEM,For (A Favor),378,206,0,144,28
El Paso,98,Referendum 4,,DEM,Against (En Contra),48,20,0,25,3
El Paso,98,Referendum 5,,DEM,For (A Favor),353,195,0,132,26
El Paso,98,Referendum 5,,DEM,Against (En Contra),68,29,0,34,5
El Paso,98,Referendum 6,,DEM,For (A Favor),404,218,0,157,29
El Paso,98,Referendum 6,,DEM,Against (En Contra),23,11,0,11,1
El Paso,98,Referendum 7,,DEM,For (A Favor),381,207,0,144,30
El Paso,98,Referendum 7,,DEM,Against (En Contra),41,16,0,24,1
El Paso,98,Referendum 8,,DEM,For (A Favor),329,185,0,122,22
El Paso,98,Referendum 8,,DEM,Against (En Contra),92,35,0,45,12
El Paso,98,Referendum 9,,DEM,For (A Favor),345,184,0,129,32
El Paso,98,Referendum 9,,DEM,Against (En Contra),79,38,0,39,2
El Paso,98,Referendum 10,,DEM,For (A Favor),383,203,0,147,33
El Paso,98,Referendum 10,,DEM,Against (En Contra),45,21,0,23,1
El Paso,98,Referendum 11,,DEM,For (A Favor),361,193,0,135,33
El Paso,98,Referendum 11,,DEM,Against (En Contra),62,30,0,31,1
El Paso,98,Referendum 12,,DEM,For (A Favor),380,203,0,145,32
El Paso,98,Referendum 12,,DEM,Against (En Contra),44,20,0,22,2
El Paso,99,U.S. Senate,,REP,Mary Miller,0,0,0,0,0
El Paso,99,U.S. Senate,,REP,Stefano De Stefano,1,0,0,1,0
El Paso,99,U.S. Senate,,REP,Ted Cruz,24,10,0,13,1
El Paso,99,U.S. Senate,,REP,Geraldine Sam,0,0,0,0,0
El Paso,99,U.S. Senate,,REP,Bruce Jacobson Jr,2,2,0,0,0
El Paso,99,U.S. House,16,REP,Alia Garcia-Ureste,4,2,0,2,0
El Paso,99,U.S. House,16,REP,Rick Seeberger,21,8,0,12,1
El Paso,99,Governor,,REP,Greg Abbott,21,10,0,10,1
El Paso,99,Governor,,REP,Barbara Krueger,4,1,0,3,0
El Paso,99,Governor,,REP,Secede Kilgore,1,0,0,1,0
El Paso,99,Lieutenant Governor,,REP,Dan Patrick,21,9,0,11,1
El Paso,99,Lieutenant Governor,,REP,Scott Milder,4,2,0,2,0
El Paso,99,Attorney General,,REP,Ken Paxton,24,11,0,12,1
El Paso,99,Comptroller Of Public Accounts,,REP,Glenn Hegar,23,10,0,13,0
El Paso,99,Commissioner Of General Land Office,,REP,Jerry Patterson,9,2,0,6,1
El Paso,99,Commissioner Of General Land Office,,REP,Rick Range,0,0,0,0,0
El Paso,99,Commissioner Of General Land Office,,REP,Davey Edwards,2,1,0,1,0
El Paso,99,Commissioner Of General Land Office,,REP,George P Bush,13,7,0,6,0
El Paso,99,Commissioner Of Agriculture,,REP,Trey Blocker,6,3,0,2,1
El Paso,99,Commissioner Of Agriculture,,REP,Jim Hogan,8,2,0,6,0
El Paso,99,Commissioner Of Agriculture,,REP,Sid Miller,8,4,0,4,0
El Paso,99,Railroad Commissioner,,REP,Christi Craddick,13,5,0,7,1
El Paso,99,Railroad Commissioner,,REP,Weston Martinez,11,5,0,6,0
El Paso,99,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,22,10,0,11,1
El Paso,99,"Justice, Supreme Court, Place 4",,REP,John Devine,23,10,0,12,1
El Paso,99,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,22,10,0,11,1
El Paso,99,"Presiding Judge, Court Of Criminal Appeals",,REP,Sharon Keller,13,8,0,5,0
El Paso,99,"Presiding Judge, Court Of Criminal Appeals",,REP,David Bridges,10,2,0,7,1
El Paso,99,"Judge, Court Of Criminal Appeals, Place 7",,REP,Barbara Parker Herve,22,9,0,12,1
El Paso,99,"Judge, Court Of Criminal Appeals, Place 8",,REP,Jay Brandon,8,5,0,3,0
El Paso,99,"Judge, Court Of Criminal Appeals, Place 8",,REP,Michelle Slaughter,11,3,0,7,1
El Paso,99,"Judge, Court Of Criminal Appeals, Place 8",,REP,Dib Waldrip,3,1,0,2,0
El Paso,99,County Chairman,,REP,Adolpho R Telles,22,10,0,11,1
El Paso,99,Proposition 1,,REP,For (A Favor),19,8,0,11,0
El Paso,99,Proposition 1,,REP,Against (En Contra),8,4,0,3,1
El Paso,99,Proposition 2,,REP,For (A Favor),26,12,0,13,1
El Paso,99,Proposition 2,,REP,Against (En Contra),1,0,0,1,0
El Paso,99,Proposition 3,,REP,For (A Favor),23,12,0,10,1
El Paso,99,Proposition 3,,REP,Against (En Contra),4,0,0,4,0
El Paso,99,Proposition 4,,REP,For (A Favor),24,11,0,12,1
El Paso,99,Proposition 4,,REP,Against (En Contra),3,1,0,2,0
El Paso,99,Proposition 5,,REP,For (A Favor),23,11,0,11,1
El Paso,99,Proposition 5,,REP,Against (En Contra),3,0,0,3,0
El Paso,99,Proposition 6,,REP,For (A Favor),25,12,0,12,1
El Paso,99,Proposition 6,,REP,Against (En Contra),2,0,0,2,0
El Paso,99,Proposition 7,,REP,For (A Favor),24,10,0,13,1
El Paso,99,Proposition 7,,REP,Against (En Contra),2,1,0,1,0
El Paso,99,Proposition 8,,REP,For (A Favor),27,12,0,14,1
El Paso,99,Proposition 8,,REP,Against (En Contra),0,0,0,0,0
El Paso,99,Proposition 9,,REP,For (A Favor),22,11,0,10,1
El Paso,99,Proposition 9,,REP,Against (En Contra),5,1,0,4,0
El Paso,99,Proposition 10,,REP,For (A Favor),24,11,0,12,1
El Paso,99,Proposition 10,,REP,Against (En Contra),2,0,0,2,0
El Paso,99,Proposition 11,,REP,For (A Favor),20,10,0,9,1
El Paso,99,Proposition 11,,REP,Against (En Contra),7,2,0,5,0
El Paso,99,U.S. Senate,,DEM,Sema Hernandez,10,5,0,5,0
El Paso,99,U.S. Senate,,DEM,Beto O'Rourke,148,68,1,67,12
El Paso,99,U.S. Senate,,DEM,Edward Kimbrough,5,1,0,4,0
El Paso,99,U.S. House,16,DEM,Dori Fenenbock,37,16,0,20,1
El Paso,99,U.S. House,16,DEM,Veronica Escobar,98,42,1,45,10
El Paso,99,U.S. House,16,DEM,Norma Chavez,11,6,0,4,1
El Paso,99,U.S. House,16,DEM,John Carrillo,4,4,0,0,0
El Paso,99,U.S. House,16,DEM,Jerome Tilghman,5,1,0,4,0
El Paso,99,U.S. House,16,DEM,Enrique Garcia,11,6,0,5,0
El Paso,99,Governor,,DEM,Lupe Valdez,67,34,0,30,3
El Paso,99,Governor,,DEM,Adrian Ocegueda,18,10,0,8,0
El Paso,99,Governor,,DEM,Jeffrey Payne,7,3,0,4,0
El Paso,99,Governor,,DEM,James Jolly Clark,5,1,0,3,1
El Paso,99,Governor,,DEM,Joe Mumbach,5,3,1,1,0
El Paso,99,Governor,,DEM,Grady Yarbrough,12,4,0,6,2
El Paso,99,Governor,,DEM,Cedric Davis Sr,2,1,0,1,0
El Paso,99,Governor,,DEM,Andrew White,27,9,0,13,5
El Paso,99,Governor,,DEM,Tom Wakely,5,2,0,2,1
El Paso,99,Lieutenant Governor,,DEM,Michael Cooper,82,36,0,40,6
El Paso,99,Lieutenant Governor,,DEM,Mike Collier,48,21,1,20,6
El Paso,99,Attorney General,,DEM,Justin Nelson,123,55,1,55,12
El Paso,99,Comptroller Of Public Accounts,,DEM,Joi Chevalier,50,24,0,21,5
El Paso,99,Comptroller Of Public Accounts,,DEM,Tim Mahoney,78,34,1,36,7
El Paso,99,Commissioner Of General Land Office,,DEM,Miguel Suazo,88,42,1,38,7
El Paso,99,Commissioner Of General Land Office,,DEM,Tex Morgan,46,17,0,24,5
El Paso,99,Commissioner Of Agriculture,,DEM,Kim Olson,121,53,1,55,12
El Paso,99,Railroad Commissioner,,DEM,Roman Mcallen,87,40,1,36,10
El Paso,99,Railroad Commissioner,,DEM,Chris Spellmon,43,17,0,24,2
El Paso,99,"Justice, Supreme Court, Place 2",,DEM,Steven Kirkland,116,50,1,54,11
El Paso,99,"Justice, Supreme Court, Place 4",,DEM,R.K. Sandill,116,49,1,54,12
El Paso,99,"Justice, Supreme Court, Place 6",,DEM,Kathy Cheng,119,54,1,53,11
El Paso,99,"Presiding Judge, Court Of Criminal Appeals",,DEM,Maria T. (Terry) Jackson,119,54,1,52,12
El Paso,99,"Judge, Court Of Criminal Appeals, Place 7",,DEM,Ramona Franklin,120,54,1,54,11
El Paso,99,State Representative,79,DEM,Joe C Pickett,135,58,1,64,12
El Paso,99,"Justice, 8th Court Of Appeals District, Place 2",,DEM,Yvonne Rodriguez,130,60,1,57,12
El Paso,99,"Justice, 8th Court Of Appeals District, Place 3",,DEM,Gina M Palafox,121,51,1,58,11
El Paso,99,District Judge 120th Judicial District,,DEM,Maria Salas Mendoza,123,55,1,56,11
El Paso,99,District Judge 168th Judicial District,,DEM,Marcos Lizarraga,118,51,1,55,11
El Paso,99,District Judge 171st Judicial District,,DEM,Bonnie Rangel,120,54,1,54,11
El Paso,99,District Judge 205th Judicial District,,DEM,Francisco X Domingue,123,54,1,56,12
El Paso,99,District Judge 210th Judicial District,,DEM,Alyssa G Perez,89,42,1,40,6
El Paso,99,District Judge 210th Judicial District,,DEM,Monique Velarde,51,18,0,28,5
El Paso,99,District Judge 243rd Judicial District,,DEM,Selena Solis,76,35,0,36,5
El Paso,99,District Judge 243rd Judicial District,,DEM,Feliciano Felix Cast,15,6,0,9,0
El Paso,99,District Judge 243rd Judicial District,,DEM,Roberto J Ramos,15,6,0,6,3
El Paso,99,District Judge 243rd Judicial District,,DEM,Luis Aguilar,39,16,1,19,3
El Paso,99,District Judge 327th Judicial District,,DEM,Linda Yee Chew,119,50,1,56,12
El Paso,99,El Paso County Judge,,DEM,Ricardo Samaniego,45,19,0,23,3
El Paso,99,El Paso County Judge,,DEM,John Cook,77,32,0,38,7
El Paso,99,El Paso County Judge,,DEM,Laura Enriquez,40,21,1,16,2
El Paso,99,Judge County Court At Law 1,,DEM,Ruth Reyes,96,46,1,43,6
El Paso,99,Judge County Court At Law 1,,DEM,Ruben Nunez,56,19,0,31,6
El Paso,99,Judge County Court At Law 2,,DEM,Julie Gonzalez,122,55,1,54,12
El Paso,99,Judge County Court At Law 3,,DEM,Javier Alvarez,122,54,1,56,11
El Paso,99,Judge County Court At Law 4,,DEM,Alex Gonzalez,110,48,1,51,10
El Paso,99,Judge County Court At Law 5,,DEM,Kristin Raquel Romer,36,14,1,18,3
El Paso,99,Judge County Court At Law 5,,DEM,Jesus Rodriguez,71,38,0,29,4
El Paso,99,Judge County Court At Law 5,,DEM,Mike Herrera,30,10,0,19,1
El Paso,99,Judge County Court At Law 5,,DEM,Danny Razo,13,3,0,7,3
El Paso,99,Judge County Court At Law 6,,DEM,M Sue Kurita,121,52,1,57,11
El Paso,99,Judge County Court At Law 7,,DEM,Patsy Lopez,62,21,1,34,6
El Paso,99,Judge County Court At Law 7,,DEM,Ruben Morales,84,41,0,38,5
El Paso,99,Judge County Criminal Court 1,,DEM,Alma Trejo,122,53,1,57,11
El Paso,99,Judge County Criminal Court 2,,DEM,Robert S Anchondo,124,56,1,57,10
El Paso,99,Judge County Probate Court 1,,DEM,Patricia B Chew,105,42,0,54,9
El Paso,99,Judge County Probate Court 1,,DEM,Darron Powell,37,16,1,18,2
El Paso,99,Judge County Probate Court 2,,DEM,Eduardo A Gamboa,113,48,1,53,11
El Paso,99,District Clerk,,DEM,Norma Favela Barcele,122,57,1,53,11
El Paso,99,County Clerk,,DEM,Delia Briones,122,56,1,54,11
El Paso,99,Justice Of The Peace 4,,DEM,Rebeca Bustamante,51,16,1,30,4
El Paso,99,Justice Of The Peace 4,,DEM,Jesus Urenda,60,37,0,18,5
El Paso,99,Justice Of The Peace 4,,DEM,Patsy Patino,34,12,0,20,2
El Paso,99,County Chairman,,DEM,Iliana Holguin,117,55,1,50,11
El Paso,99,Referendum 1,,DEM,For (A Favor),145,62,0,72,11
El Paso,99,Referendum 1,,DEM,Against (En Contra),13,7,1,5,0
El Paso,99,Referendum 2,,DEM,For (A Favor),149,67,1,71,10
El Paso,99,Referendum 2,,DEM,Against (En Contra),10,4,0,5,1
El Paso,99,Referendum 3,,DEM,For (A Favor),148,68,1,69,10
El Paso,99,Referendum 3,,DEM,Against (En Contra),14,5,0,8,1
El Paso,99,Referendum 4,,DEM,For (A Favor),155,71,1,72,11
El Paso,99,Referendum 4,,DEM,Against (En Contra),5,1,0,4,0
El Paso,99,Referendum 5,,DEM,For (A Favor),137,63,1,66,7
El Paso,99,Referendum 5,,DEM,Against (En Contra),23,8,0,11,4
El Paso,99,Referendum 6,,DEM,For (A Favor),158,72,1,74,11
El Paso,99,Referendum 6,,DEM,Against (En Contra),4,1,0,3,0
El Paso,99,Referendum 7,,DEM,For (A Favor),155,71,1,72,11
El Paso,99,Referendum 7,,DEM,Against (En Contra),6,1,0,5,0
El Paso,99,Referendum 8,,DEM,For (A Favor),138,61,1,64,12
El Paso,99,Referendum 8,,DEM,Against (En Contra),24,11,0,13,0
El Paso,99,Referendum 9,,DEM,For (A Favor),146,66,1,67,12
El Paso,99,Referendum 9,,DEM,Against (En Contra),13,5,0,8,0
El Paso,99,Referendum 10,,DEM,For (A Favor),148,66,1,71,10
El Paso,99,Referendum 10,,DEM,Against (En Contra),10,2,0,6,2
El Paso,99,Referendum 11,,DEM,For (A Favor),147,66,1,68,12
El Paso,99,Referendum 11,,DEM,Against (En Contra),11,5,0,6,0
El Paso,99,Referendum 12,,DEM,For (A Favor),151,68,1,71,11
El Paso,99,Referendum 12,,DEM,Against (En Contra),9,3,0,5,1
El Paso,100,U.S. Senate,,REP,Mary Miller,5,0,0,5,0
El Paso,100,U.S. Senate,,REP,Stefano De Stefano,0,0,0,0,0
El Paso,100,U.S. Senate,,REP,Ted Cruz,109,50,0,57,2
El Paso,100,U.S. Senate,,REP,Geraldine Sam,0,0,0,0,0
El Paso,100,U.S. Senate,,REP,Bruce Jacobson Jr,8,5,0,3,0
El Paso,100,U.S. House,16,REP,Alia Garcia-Ureste,39,22,0,16,1
El Paso,100,U.S. House,16,REP,Rick Seeberger,77,30,0,46,1
El Paso,100,Governor,,REP,Greg Abbott,112,52,0,58,2
El Paso,100,Governor,,REP,Barbara Krueger,7,2,0,5,0
El Paso,100,Governor,,REP,Secede Kilgore,3,1,0,2,0
El Paso,100,Lieutenant Governor,,REP,Dan Patrick,105,51,0,52,2
El Paso,100,Lieutenant Governor,,REP,Scott Milder,15,4,0,11,0
El Paso,100,Attorney General,,REP,Ken Paxton,108,50,0,56,2
El Paso,100,Comptroller Of Public Accounts,,REP,Glenn Hegar,105,48,0,55,2
El Paso,100,Commissioner Of General Land Office,,REP,Jerry Patterson,24,13,0,11,0
El Paso,100,Commissioner Of General Land Office,,REP,Rick Range,9,3,0,6,0
El Paso,100,Commissioner Of General Land Office,,REP,Davey Edwards,4,2,0,2,0
El Paso,100,Commissioner Of General Land Office,,REP,George P Bush,82,35,0,45,2
El Paso,100,Commissioner Of Agriculture,,REP,Trey Blocker,36,14,0,20,2
El Paso,100,Commissioner Of Agriculture,,REP,Jim Hogan,30,18,0,12,0
El Paso,100,Commissioner Of Agriculture,,REP,Sid Miller,45,19,0,26,0
El Paso,100,Railroad Commissioner,,REP,Christi Craddick,54,25,0,29,0
El Paso,100,Railroad Commissioner,,REP,Weston Martinez,58,27,0,29,2
El Paso,100,"Justice, Supreme Court, Place 2",,REP,Jimmy Blacklock,102,48,0,52,2
El Paso,100,"Justice, Supreme Court, Place 4",,REP,John Devine,103,49,0,52,2
El Paso,100,"Justice, Supreme Court, Place 6",,REP,Jeff Brown,101,48,0,51,2
El Paso,100,"Presiding Judge, Court Of Criminal Appeals",,REP,Sharon Keller,46,21,0,24,1
El Paso,100,"Presiding Judge, Court Of Criminal Appeals",,REP,David Bridges,58,24,0,33,1
El Paso,100,"Judge, Court Of Criminal Appeals, Place 7",,REP,Barbara Parker Herve,99,46,0,51,2
El Paso,100,"Judge, Court Of Criminal Appeals, Place 8",,REP,Jay Brandon,46,23,0,22,1
El Paso,100,"Judge, Court Of Criminal Appeals, Place 8",,REP,Michelle Slaughter,46,18,0,27,1
El Paso,100,"Judge, Court Of Criminal Appeals, Place 8",,REP,Dib Waldrip,12,4,0,8,0
El Paso,100,County Chairman,,REP,Adolpho R Telles,96,47,0,47,2
El Paso,100,Proposition 1,,REP,For (A Favor),80,38,0,40,2
El Paso,100,Proposition 1,,REP,Against (En Contra),36,13,0,23,0
El Paso,100,Proposition 2,,REP,For (A Favor),117,53,0,62,2
El Paso,100,Proposition 2,,REP,Against (En Contra),5,3,0,2,0
El Paso,100,Proposition 3,,REP,For (A Favor),109,48,0,59,2
El Paso,100,Proposition 3,,REP,Against (En Contra),10,5,0,5,0
El Paso,100,Proposition 4,,REP,For (A Favor),111,50,0,59,2
El Paso,100,Proposition 4,,REP,Against (En Contra),8,3,0,5,0
El Paso,100,Proposition 5,,REP,For (A Favor),102,48,0,52,2
El Paso,100,Proposition 5,,REP,Against (En Contra),17,5,0,12,0
El Paso,100,Proposition 6,,REP,For (A Favor),116,53,0,61,2
El Paso,100,Proposition 6,,REP,Against (En Contra),5,1,0,4,0
El Paso,100,Proposition 7,,REP,For (A Favor),91,40,0,50,1
El Paso,100,Proposition 7,,REP,Against (En Contra),30,14,0,15,1
El Paso,100,Proposition 8,,REP,For (A Favor),113,52,0,59,2
El Paso,100,Proposition 8,,REP,Against (En Contra),8,2,0,6,0
El Paso,100,Proposition 9,,REP,For (A Favor),110,50,0,58,2
El Paso,100,Proposition 9,,REP,Against (En Contra),11,5,0,6,0
El Paso,100,Proposition 10,,REP,For (A Favor),115,51,0,62,2
El Paso,100,Proposition 10,,REP,Against (En Contra),4,2,0,2,0
El Paso,100,Proposition 11,,REP,For (A Favor),101,42,0,57,2
El Paso,100,Proposition 11,,REP,Against (En Contra),18,11,0,7,0
El Paso,100,U.S. Senate,,DEM,Sema Hernandez,17,6,0,11,0
El Paso,100,U.S. Senate,,DEM,Beto O'Rourke,380,138,0,217,25
El Paso,100,U.S. Senate,,DEM,Edward Kimbrough,17,6,0,11,0
El Paso,100,U.S. House,16,DEM,Dori Fenenbock,86,21,0,57,8
El Paso,100,U.S. House,16,DEM,Veronica Escobar,250,102,0,133,15
El Paso,100,U.S. House,16,DEM,Norma Chavez,32,14,0,17,1
El Paso,100,U.S. House,16,DEM,John Carrillo,9,1,0,8,0
El Paso,100,U.S. House,16,DEM,Jerome Tilghman,12,5,0,6,1
El Paso,100,U.S. House,16,DEM,Enrique Garcia,24,5,0,19,0
El Paso,100,Governor,,DEM,Lupe Valdez,167,67,0,89,11
El Paso,100,Governor,,DEM,Adrian Ocegueda,55,20,0,34,1
El Paso,100,Governor,,DEM,Jeffrey Payne,31,8,0,22,1
El Paso,100,Governor,,DEM,James Jolly Clark,11,4,0,6,1
El Paso,100,Governor,,DEM,Joe Mumbach,12,4,0,8,0
El Paso,100,Governor,,DEM,Grady Yarbrough,21,6,0,14,1
El Paso,100,Governor,,DEM,Cedric Davis Sr,19,7,0,11,1
El Paso,100,Governor,,DEM,Andrew White,40,8,0,26,6
El Paso,100,Governor,,DEM,Tom Wakely,13,6,0,7,0
El Paso,100,Lieutenant Governor,,DEM,Michael Cooper,222,76,0,134,12
El Paso,100,Lieutenant Governor,,DEM,Mike Collier,127,43,0,76,8
El Paso,100,Attorney General,,DEM,Justin Nelson,321,109,0,195,17
El Paso,100,Comptroller Of Public Accounts,,DEM,Joi Chevalier,148,53,0,85,10
El Paso,100,Comptroller Of Public Accounts,,DEM,Tim Mahoney,193,63,0,118,12
El Paso,100,Commissioner Of General Land Office,,DEM,Miguel Suazo,243,80,0,147,16
El Paso,100,Commissioner Of General Land Office,,DEM,Tex Morgan,104,38,0,59,7
El Paso,100,Commissioner Of Agriculture,,DEM,Kim Olson,308,99,0,189,20
El Paso,100,Railroad Commissioner,,DEM,Roman Mcallen,217,80,0,125,12
El Paso,100,Railroad Commissioner,,DEM,Chris Spellmon,114,32,0,73,9
El Paso,100,"Justice, Supreme Court, Place 2",,DEM,Steven Kirkland,316,104,0,191,21
El Paso,100,"Justice, Supreme Court, Place 4",,DEM,R.K. Sandill,307,97,0,189,21
El Paso,100,"Justice, Supreme Court, Place 6",,DEM,Kathy Cheng,317,105,0,190,22
El Paso,100,"Presiding Judge, Court Of Criminal Appeals",,DEM,Maria T. (Terry) Jackson,313,105,0,186,22
El Paso,100,"Judge, Court Of Criminal Appeals, Place 7",,DEM,Ramona Franklin,308,101,0,185,22
El Paso,100,State Representative,79,DEM,Joe C Pickett,336,117,0,201,18
El Paso,100,"Justice, 8th Court Of Appeals District, Place 2",,DEM,Yvonne Rodriguez,321,109,0,189,23
El Paso,100,"Justice, 8th Court Of Appeals District, Place 3",,DEM,Gina M Palafox,307,102,0,183,22
El Paso,100,District Judge 120th Judicial District,,DEM,Maria Salas Mendoza,323,106,0,195,22
El Paso,100,District Judge 168th Judicial District,,DEM,Marcos Lizarraga,314,100,0,192,22
El Paso,100,District Judge 171st Judicial District,,DEM,Bonnie Rangel,318,103,0,193,22
El Paso,100,District Judge 205th Judicial District,,DEM,Francisco X Domingue,309,97,0,190,22
El Paso,100,District Judge 210th Judicial District,,DEM,Alyssa G Perez,243,86,0,142,15
El Paso,100,District Judge 210th Judicial District,,DEM,Monique Velarde,103,30,0,66,7
El Paso,100,District Judge 243rd Judicial District,,DEM,Selena Solis,154,51,0,92,11
El Paso,100,District Judge 243rd Judicial District,,DEM,Feliciano Felix Cast,55,15,0,37,3
El Paso,100,District Judge 243rd Judicial District,,DEM,Roberto J Ramos,44,16,0,21,7
El Paso,100,District Judge 243rd Judicial District,,DEM,Luis Aguilar,110,39,0,68,3
El Paso,100,District Judge 327th Judicial District,,DEM,Linda Yee Chew,309,102,0,187,20
El Paso,100,El Paso County Judge,,DEM,Ricardo Samaniego,116,45,0,62,9
El Paso,100,El Paso County Judge,,DEM,John Cook,202,67,0,124,11
El Paso,100,El Paso County Judge,,DEM,Laura Enriquez,78,30,0,43,5
El Paso,100,Judge County Court At Law 1,,DEM,Ruth Reyes,214,74,0,127,13
El Paso,100,Judge County Court At Law 1,,DEM,Ruben Nunez,153,49,0,93,11
El Paso,100,Judge County Court At Law 2,,DEM,Julie Gonzalez,317,105,0,190,22
El Paso,100,Judge County Court At Law 3,,DEM,Javier Alvarez,320,107,0,193,20
El Paso,100,Judge County Court At Law 4,,DEM,Alex Gonzalez,311,103,0,187,21
El Paso,100,Judge County Court At Law 5,,DEM,Kristin Raquel Romer,76,21,0,46,9
El Paso,100,Judge County Court At Law 5,,DEM,Jesus Rodriguez,180,70,0,101,9
El Paso,100,Judge County Court At Law 5,,DEM,Mike Herrera,96,32,0,60,4
El Paso,100,Judge County Court At Law 5,,DEM,Danny Razo,23,9,0,13,1
El Paso,100,Judge County Court At Law 6,,DEM,M Sue Kurita,318,106,0,192,20
El Paso,100,Judge County Court At Law 7,,DEM,Patsy Lopez,163,47,0,105,11
El Paso,100,Judge County Court At Law 7,,DEM,Ruben Morales,204,80,0,111,13
El Paso,100,Judge County Criminal Court 1,,DEM,Alma Trejo,316,108,0,187,21
El Paso,100,Judge County Criminal Court 2,,DEM,Robert S Anchondo,326,109,0,198,19
El Paso,100,Judge County Probate Court 1,,DEM,Patricia B Chew,265,94,0,152,19
El Paso,100,Judge County Probate Court 1,,DEM,Darron Powell,102,32,0,66,4
El Paso,100,Judge County Probate Court 2,,DEM,Eduardo A Gamboa,315,106,0,189,20
El Paso,100,District Clerk,,DEM,Norma Favela Barcele,318,110,0,188,20
El Paso,100,County Clerk,,DEM,Delia Briones,317,107,0,190,20
El Paso,100,Justice Of The Peace 4,,DEM,Rebeca Bustamante,170,53,0,110,7
El Paso,100,Justice Of The Peace 4,,DEM,Jesus Urenda,134,60,0,68,6
El Paso,100,Justice Of The Peace 4,,DEM,Patsy Patino,72,15,0,46,11
El Paso,100,County Chairman,,DEM,Iliana Holguin,308,105,0,184,19
El Paso,100,Referendum 1,,DEM,For (A Favor),387,141,0,222,24
El Paso,100,Referendum 1,,DEM,Against (En Contra),23,10,0,13,0
El Paso,100,Referendum 2,,DEM,For (A Favor),388,142,0,223,23
El Paso,100,Referendum 2,,DEM,Against (En Contra),22,10,0,11,1
El Paso,100,Referendum 3,,DEM,For (A Favor),378,141,0,214,23
El Paso,100,Referendum 3,,DEM,Against (En Contra),32,11,0,20,1
El Paso,100,Referendum 4,,DEM,For (A Favor),388,142,0,222,24
El Paso,100,Referendum 4,,DEM,Against (En Contra),22,9,0,13,0
El Paso,100,Referendum 5,,DEM,For (A Favor),359,130,0,206,23
El Paso,100,Referendum 5,,DEM,Against (En Contra),40,16,0,23,1
