candidate,office,district,party,county,precinct,mail,early_voting,election_day,votes
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,204 - D,0,0,0,0
Charles Perry,State Senate,28,REP,Taylor,204 - D,0,4,0,4
Stan Lambert,State Representative,71,REP,Taylor,204 - D,0,4,0,4
Samuel Hatton,State Representative,71,DEM,Taylor,204 - D,0,0,0,0
Donald J Trump,President,,REP,Taylor,204 - E,2,42,4,48
Joseph R Biden,President,,DEM,Taylor,204 - E,0,8,2,10
Jo Jorgensen,President,,LIB,Taylor,204 - E,0,1,0,1
Howie Hawkins,President,,GRN,Taylor,204 - E,0,0,0,0
Abram Loeb (W),President,,,Taylor,204 - E,0,0,0,0
Brian Carroll (W),President,,,Taylor,204 - E,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,204 - E,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,204 - E,0,0,0,0
Kasey Wells (W),President,,,Taylor,204 - E,0,0,0,0
President R. Boddie (W),President,,,Taylor,204 - E,0,0,0,0
Robert Marrow (W),President,,,Taylor,204 - E,0,0,0,0
Todd Cella (W),President,,,Taylor,204 - E,0,0,0,0
Tom Heofling (W),President,,,Taylor,204 - E,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,204 - E,2,42,4,48
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,204 - E,0,9,2,11
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,204 - E,0,1,0,1
David B. Collins,U.S. Senate,,GRN,Taylor,204 - E,0,0,0,0
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,204 - E,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,204 - E,2,43,4,49
Tom Watson,U.S. House,19,DEM,Taylor,204 - E,0,6,2,8
Joe Bumes,U.S. House,19,LIB,Taylor,204 - E,0,2,0,2
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,204 - E,2,41,4,47
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,204 - E,0,7,2,9
Matt Sterett,Railroad Commissioner,,LIB,Taylor,204 - E,0,2,0,2
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,204 - E,0,1,0,1
Charles Perry,State Senate,28,REP,Taylor,204 - E,2,48,4,54
Stan Lambert,State Representative,71,REP,Taylor,204 - E,2,46,4,52
Samuel Hatton,State Representative,71,DEM,Taylor,204 - E,0,6,2,8
Donald J Trump,President,,REP,Taylor,205 - 0,56,610,175,841
Joseph R Biden,President,,DEM,Taylor,205 - 0,106,482,116,704
Jo Jorgensen,President,,LIB,Taylor,205 - 0,3,12,5,20
Howie Hawkins,President,,GRN,Taylor,205 - 0,0,5,3,8
Abram Loeb (W),President,,,Taylor,205 - 0,0,0,0,0
Brian Carroll (W),President,,,Taylor,205 - 0,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,205 - 0,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,205 - 0,0,0,0,0
Kasey Wells (W),President,,,Taylor,205 - 0,0,0,0,0
President R. Boddie (W),President,,,Taylor,205 - 0,0,0,0,0
Robert Marrow (W),President,,,Taylor,205 - 0,0,0,0,0
Todd Cella (W),President,,,Taylor,205 - 0,0,0,0,0
Tom Heofling (W),President,,,Taylor,205 - 0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,205 - 0,58,594,170,822
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,205 - 0,104,444,109,657
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,205 - 0,2,29,12,43
David B. Collins,U.S. Senate,,GRN,Taylor,205 - 0,0,13,3,16
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,205 - 0,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,205 - 0,62,600,172,834
Tom Watson,U.S. House,19,DEM,Taylor,205 - 0,101,426,105,632
Joe Bumes,U.S. House,19,LIB,Taylor,205 - 0,1,48,17,66
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,205 - 0,57,580,166,803
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,205 - 0,97,433,110,640
Matt Sterett,Railroad Commissioner,,LIB,Taylor,205 - 0,3,42,7,52
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,205 - 0,2,18,6,26
Charles Perry,State Senate,28,REP,Taylor,205 - 0,102,770,227,1099
Stan Lambert,State Representative,71,REP,Taylor,205 - 0,57,637,171,865
Samuel Hatton,State Representative,71,DEM,Taylor,205 - 0,100,417,116,633
Donald J Trump,President,,REP,Taylor,205 - B,16,186,25,227
Joseph R Biden,President,,DEM,Taylor,205 - B,6,16,0,22
Jo Jorgensen,President,,LIB,Taylor,205 - B,0,2,1,3
Howie Hawkins,President,,GRN,Taylor,205 - B,0,1,0,1
Abram Loeb (W),President,,,Taylor,205 - B,0,0,0,0
Brian Carroll (W),President,,,Taylor,205 - B,0,1,0,1
Gloria La Rivera (W),President,,,Taylor,205 - B,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,205 - B,0,0,0,0
Kasey Wells (W),President,,,Taylor,205 - B,0,0,0,0
President R. Boddie (W),President,,,Taylor,205 - B,0,0,0,0
Robert Marrow (W),President,,,Taylor,205 - B,0,0,0,0
Todd Cella (W),President,,,Taylor,205 - B,0,0,0,0
Tom Heofling (W),President,,,Taylor,205 - B,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,205 - B,15,186,24,225
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,205 - B,6,13,0,19
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,205 - B,1,3,2,6
David B. Collins,U.S. Senate,,GRN,Taylor,205 - B,0,3,0,3
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,205 - B,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,205 - B,16,192,25,233
Tom Watson,U.S. House,19,DEM,Taylor,205 - B,6,10,0,16
Joe Bumes,U.S. House,19,LIB,Taylor,205 - B,0,2,1,3
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,205 - B,15,181,24,220
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,205 - B,6,15,0,21
Matt Sterett,Railroad Commissioner,,LIB,Taylor,205 - B,1,4,2,7
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,205 - B,0,1,0,1
Charles Perry,State Senate,28,REP,Taylor,205 - B,18,192,26,236
Stan Lambert,State Representative,71,REP,Taylor,205 - B,20,193,26,239
Samuel Hatton,State Representative,71,DEM,Taylor,205 - B,2,9,0,11
Donald J Trump,President,,REP,Taylor,206 - 0,40,436,369,845
Joseph R Biden,President,,DEM,Taylor,206 - 0,32,75,60,167
Jo Jorgensen,President,,LIB,Taylor,206 - 0,1,4,1,6
Howie Hawkins,President,,GRN,Taylor,206 - 0,0,0,2,2
Abram Loeb (W),President,,,Taylor,206 - 0,0,0,0,0
Brian Carroll (W),President,,,Taylor,206 - 0,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,206 - 0,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,206 - 0,0,0,0,0
Kasey Wells (W),President,,,Taylor,206 - 0,0,0,0,0
President R. Boddie (W),President,,,Taylor,206 - 0,0,0,0,0
Robert Marrow (W),President,,,Taylor,206 - 0,0,0,0,0
Todd Cella (W),President,,,Taylor,206 - 0,0,0,0,0
Tom Heofling (W),President,,,Taylor,206 - 0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,206 - 0,40,424,360,824
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,206 - 0,32,69,54,155
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,206 - 0,1,10,3,14
David B. Collins,U.S. Senate,,GRN,Taylor,206 - 0,0,2,4,6
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,206 - 0,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,206 - 0,41,428,362,831
Tom Watson,U.S. House,19,DEM,Taylor,206 - 0,32,68,49,149
Joe Bumes,U.S. House,19,LIB,Taylor,206 - 0,1,7,10,18
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,206 - 0,42,423,356,821
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,206 - 0,31,65,49,145
Matt Sterett,Railroad Commissioner,,LIB,Taylor,206 - 0,1,10,8,19
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,206 - 0,0,3,5,8
Charles Perry,State Senate,28,REP,Taylor,206 - 0,46,454,383,883
Stan Lambert,State Representative,71,REP,Taylor,206 - 0,39,443,364,846
Samuel Hatton,State Representative,71,DEM,Taylor,206 - 0,34,60,50,144
Donald J Trump,President,,REP,Taylor,206 - B,42,415,208,665
Joseph R Biden,President,,DEM,Taylor,206 - B,21,53,21,95
Jo Jorgensen,President,,LIB,Taylor,206 - B,0,7,2,9
Howie Hawkins,President,,GRN,Taylor,206 - B,0,1,0,1
Abram Loeb (W),President,,,Taylor,206 - B,0,0,0,0
Brian Carroll (W),President,,,Taylor,206 - B,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,206 - B,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,206 - B,0,0,0,0
Kasey Wells (W),President,,,Taylor,206 - B,0,0,0,0
President R. Boddie (W),President,,,Taylor,206 - B,0,0,0,0
Robert Marrow (W),President,,,Taylor,206 - B,0,0,0,0
Todd Cella (W),President,,,Taylor,206 - B,0,0,0,0
Tom Heofling (W),President,,,Taylor,206 - B,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,206 - B,42,414,205,661
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,206 - B,20,46,19,85
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,206 - B,1,8,4,13
David B. Collins,U.S. Senate,,GRN,Taylor,206 - B,0,0,1,1
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,206 - B,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,206 - B,44,417,204,665
Tom Watson,U.S. House,19,DEM,Taylor,206 - B,20,43,19,82
Joe Bumes,U.S. House,19,LIB,Taylor,206 - B,0,8,5,13
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,206 - B,39,411,204,654
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,206 - B,19,38,19,76
Matt Sterett,Railroad Commissioner,,LIB,Taylor,206 - B,3,12,4,19
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,206 - B,0,0,0,0
Charles Perry,State Senate,28,REP,Taylor,206 - B,43,441,213,697
Stan Lambert,State Representative,71,REP,Taylor,206 - B,43,423,204,670
Samuel Hatton,State Representative,71,DEM,Taylor,206 - B,18,41,226,751
Donald J Trump,President,,REP,Taylor,207 - 0,6,46,64,116
Joseph R Biden,President,,DEM,Taylor,207 - 0,2,10,8,20
Jo Jorgensen,President,,LIB,Taylor,207 - 0,0,0,1,1
Howie Hawkins,President,,GRN,Taylor,207 - 0,0,0,0,0
Abram Loeb (W),President,,,Taylor,207 - 0,0,0,0,0
Brian Carroll (W),President,,,Taylor,207 - 0,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,207 - 0,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,207 - 0,0,0,0,0
Kasey Wells (W),President,,,Taylor,207 - 0,0,0,0,0
President R. Boddie (W),President,,,Taylor,207 - 0,0,0,0,0
Robert Marrow (W),President,,,Taylor,207 - 0,0,0,0,0
Todd Cella (W),President,,,Taylor,207 - 0,0,0,0,0
Tom Heofling (W),President,,,Taylor,207 - 0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,207 - 0,6,40,62,108
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,207 - 0,2,9,9,20
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,207 - 0,0,5,1,6
David B. Collins,U.S. Senate,,GRN,Taylor,207 - 0,0,1,1,2
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,207 - 0,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,207 - 0,6,43,63,112
Tom Watson,U.S. House,19,DEM,Taylor,207 - 0,2,8,8,18
Joe Bumes,U.S. House,19,LIB,Taylor,207 - 0,0,4,2,6
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,207 - 0,6,42,63,111
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,207 - 0,2,7,6,15
Matt Sterett,Railroad Commissioner,,LIB,Taylor,207 - 0,0,5,2,7
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,207 - 0,0,1,2,3
Charles Perry,State Senate,28,REP,Taylor,207 - 0,6,47,66,119
Stan Lambert,State Representative,71,REP,Taylor,207 - 0,6,42,64,112
Samuel Hatton,State Representative,71,DEM,Taylor,207 - 0,2,10,8,20
Donald J Trump,President,,REP,Taylor,207 - B,4,43,33,80
Joseph R Biden,President,,DEM,Taylor,207 - B,2,2,6,10
Jo Jorgensen,President,,LIB,Taylor,207 - B,0,0,1,1
Howie Hawkins,President,,GRN,Taylor,207 - B,0,0,0,0
Abram Loeb (W),President,,,Taylor,207 - B,0,0,0,0
Brian Carroll (W),President,,,Taylor,207 - B,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,207 - B,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,207 - B,0,0,0,0
Kasey Wells (W),President,,,Taylor,207 - B,0,0,0,0
President R. Boddie (W),President,,,Taylor,207 - B,0,0,0,0
Robert Marrow (W),President,,,Taylor,207 - B,0,0,0,0
Todd Cella (W),President,,,Taylor,207 - B,0,0,0,0
Tom Heofling (W),President,,,Taylor,207 - B,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,207 - B,5,43,30,78
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,207 - B,1,2,9,12
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,207 - B,0,0,1,1
David B. Collins,U.S. Senate,,GRN,Taylor,207 - B,0,0,0,0
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,207 - B,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,207 - B,5,44,35,84
Tom Watson,U.S. House,19,DEM,Taylor,207 - B,1,1,4,6
Joe Bumes,U.S. House,19,LIB,Taylor,207 - B,0,0,1,1
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,207 - B,5,43,33,81
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,207 - B,1,2,6,9
Matt Sterett,Railroad Commissioner,,LIB,Taylor,207 - B,0,0,0,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,207 - B,0,0,0,0
Charles Perry,State Senate,28,REP,Taylor,207 - B,6,43,36,85
Stan Lambert,State Representative,71,REP,Taylor,207 - B,5,41,34,80
Samuel Hatton,State Representative,71,DEM,Taylor,207 - B,1,3,4,8
Donald J Trump,President,,REP,Taylor,207 - M,0,3,1,4
Joseph R Biden,President,,DEM,Taylor,207 - M,0,1,0,1
Jo Jorgensen,President,,LIB,Taylor,207 - M,0,0,0,0
Howie Hawkins,President,,GRN,Taylor,207 - M,0,0,0,0
Abram Loeb (W),President,,,Taylor,207 - M,0,0,0,0
Brian Carroll (W),President,,,Taylor,207 - M,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,207 - M,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,207 - M,0,0,0,0
Kasey Wells (W),President,,,Taylor,207 - M,0,0,0,0
President R. Boddie (W),President,,,Taylor,207 - M,0,0,0,0
Robert Marrow (W),President,,,Taylor,207 - M,0,0,0,0
Todd Cella (W),President,,,Taylor,207 - M,0,0,0,0
Tom Heofling (W),President,,,Taylor,207 - M,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,207 - M,0,3,1,4
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,207 - M,0,1,0,1
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,207 - M,0,0,0,0
David B. Collins,U.S. Senate,,GRN,Taylor,207 - M,0,0,0,0
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,207 - M,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,207 - M,0,3,1,4
Tom Watson,U.S. House,19,DEM,Taylor,207 - M,0,1,0,1
Joe Bumes,U.S. House,19,LIB,Taylor,207 - M,0,0,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,207 - M,0,3,1,4
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,207 - M,0,1,0,1
Matt Sterett,Railroad Commissioner,,LIB,Taylor,207 - M,0,0,0,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,207 - M,0,0,0,0
Charles Perry,State Senate,28,REP,Taylor,207 - M,0,3,1,4
Stan Lambert,State Representative,71,REP,Taylor,207 - M,0,3,1,4
Samuel Hatton,State Representative,71,DEM,Taylor,207 - M,0,1,0,1
Donald J Trump,President,,REP,Taylor,301 - 0,93,896,194,1183
Joseph R Biden,President,,DEM,Taylor,301 - 0,87,334,88,509
Jo Jorgensen,President,,LIB,Taylor,301 - 0,4,22,11,37
Howie Hawkins,President,,GRN,Taylor,301 - 0,2,2,1,5
Abram Loeb (W),President,,,Taylor,301 - 0,0,0,0,0
Brian Carroll (W),President,,,Taylor,301 - 0,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,301 - 0,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,301 - 0,0,0,0,0
Kasey Wells (W),President,,,Taylor,301 - 0,0,0,0,0
President R. Boddie (W),President,,,Taylor,301 - 0,0,0,0,0
Robert Marrow (W),President,,,Taylor,301 - 0,0,0,0,0
Todd Cella (W),President,,,Taylor,301 - 0,0,0,0,0
Tom Heofling (W),President,,,Taylor,301 - 0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,301 - 0,100,882,195,1177
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,301 - 0,79,314,76,469
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,301 - 0,4,35,15,54
David B. Collins,U.S. Senate,,GRN,Taylor,301 - 0,0,8,4,12
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,301 - 0,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,301 - 0,102,906,196,1204
Tom Watson,U.S. House,19,DEM,Taylor,301 - 0,79,288,77,444
Joe Bumes,U.S. House,19,LIB,Taylor,301 - 0,5,32,15,52
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,301 - 0,96,883,192,1171
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,301 - 0,79,290,72,441
Matt Sterett,Railroad Commissioner,,LIB,Taylor,301 - 0,5,35,12,52
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,301 - 0,2,15,9,26
Dawn Buckingham,State Senate,24,REP,Taylor,301 - 0,101,890,194,1185
Clayton Tucker,State Senate,24,DEM,Taylor,301 - 0,81,309,86,476
Stan Lambert,State Representative,71,REP,Taylor,301 - 0,106,910,205,1221
Samuel Hatton,State Representative,71,DEM,Taylor,301 - 0,76,294,78,448
Donald J Trump,President,,REP,Taylor,302 - 0,171,927,164,1262
Joseph R Biden,President,,DEM,Taylor,302 - 0,79,295,50,424
Jo Jorgensen,President,,LIB,Taylor,302 - 0,1,18,6,25
Howie Hawkins,President,,GRN,Taylor,302 - 0,1,7,4,12
Abram Loeb (W),President,,,Taylor,302 - 0,0,0,0,0
Brian Carroll (W),President,,,Taylor,302 - 0,0,1,0,1
Gloria La Rivera (W),President,,,Taylor,302 - 0,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,302 - 0,0,0,0,0
Kasey Wells (W),President,,,Taylor,302 - 0,0,0,0,0
President R. Boddie (W),President,,,Taylor,302 - 0,0,0,0,0
Robert Marrow (W),President,,,Taylor,302 - 0,0,0,0,0
Todd Cella (W),President,,,Taylor,302 - 0,0,0,0,0
Tom Heofling (W),President,,,Taylor,302 - 0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,302 - 0,177,937,168,1282
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,302 - 0,67,270,46,383
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,302 - 0,1,26,9,36
David B. Collins,U.S. Senate,,GRN,Taylor,302 - 0,1,3,4,8
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,302 - 0,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,302 - 0,183,946,178,1307
Tom Watson,U.S. House,19,DEM,Taylor,302 - 0,61,254,36,351
Joe Bumes,U.S. House,19,LIB,Taylor,302 - 0,2,28,12,42
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,302 - 0,178,927,175,1280
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,302 - 0,60,248,34,342
Matt Sterett,Railroad Commissioner,,LIB,Taylor,302 - 0,3,27,10,40
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,302 - 0,1,13,5,19
Dawn Buckingham,State Senate,24,REP,Taylor,302 - 0,180,947,179,1306
Clayton Tucker,State Senate,24,DEM,Taylor,302 - 0,62,271,43,376
Stan Lambert,State Representative,71,REP,Taylor,302 - 0,184,970,184,1338
Samuel Hatton,State Representative,71,DEM,Taylor,302 - 0,60,253,40,353
Donald J Trump,President,,REP,Taylor,303 - 0,20,207,152,379
Joseph R Biden,President,,DEM,Taylor,303 - 0,5,18,16,39
Jo Jorgensen,President,,LIB,Taylor,303 - 0,0,2,2,4
Howie Hawkins,President,,GRN,Taylor,303 - 0,0,0,0,0
Abram Loeb (W),President,,,Taylor,303 - 0,0,0,0,0
Brian Carroll (W),President,,,Taylor,303 - 0,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,303 - 0,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,303 - 0,0,0,0,0
Kasey Wells (W),President,,,Taylor,303 - 0,0,0,0,0
President R. Boddie (W),President,,,Taylor,303 - 0,0,0,0,0
Robert Marrow (W),President,,,Taylor,303 - 0,0,0,0,0
Todd Cella (W),President,,,Taylor,303 - 0,0,0,0,0
Tom Heofling (W),President,,,Taylor,303 - 0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,303 - 0,21,204,155,380
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,303 - 0,4,14,8,26
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,303 - 0,0,7,4,11
David B. Collins,U.S. Senate,,GRN,Taylor,303 - 0,0,1,0,1
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,303 - 0,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,303 - 0,21,199,156,376
Tom Watson,U.S. House,19,DEM,Taylor,303 - 0,4,16,7,27
Joe Bumes,U.S. House,19,LIB,Taylor,303 - 0,0,3,5,8
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,303 - 0,22,204,155,381
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,303 - 0,2,17,7,26
Matt Sterett,Railroad Commissioner,,LIB,Taylor,303 - 0,0,4,3,7
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,303 - 0,0,1,1,2
Dawn Buckingham,State Senate,24,REP,Taylor,303 - 0,22,202,153,377
Clayton Tucker,State Senate,24,DEM,Taylor,303 - 0,2,17,13,32
Stan Lambert,State Representative,71,REP,Taylor,303 - 0,22,200,159,381
Samuel Hatton,State Representative,71,DEM,Taylor,303 - 0,3,18,8,29
Donald J Trump,President,,REP,Taylor,303 - B,37,705,356,1098
Joseph R Biden,President,,DEM,Taylor,303 - B,13,62,18,93
Jo Jorgensen,President,,LIB,Taylor,303 - B,0,6,5,11
Howie Hawkins,President,,GRN,Taylor,303 - B,0,0,0,0
Abram Loeb (W),President,,,Taylor,303 - B,0,0,0,0
Brian Carroll (W),President,,,Taylor,303 - B,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,303 - B,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,303 - B,0,0,0,0
Kasey Wells (W),President,,,Taylor,303 - B,0,0,0,0
President R. Boddie (W),President,,,Taylor,303 - B,0,0,0,0
Robert Marrow (W),President,,,Taylor,303 - B,0,0,0,0
Todd Cella (W),President,,,Taylor,303 - B,0,0,0,0
Tom Heofling (W),President,,,Taylor,303 - B,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,303 - B,36,704,340,1080
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,303 - B,14,55,19,88
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,303 - B,0,10,16,26
David B. Collins,U.S. Senate,,GRN,Taylor,303 - B,0,1,1,2
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,303 - B,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,303 - B,36,717,343,1096
Tom Watson,U.S. House,19,DEM,Taylor,303 - B,14,46,19,79
Joe Bumes,U.S. House,19,LIB,Taylor,303 - B,0,5,13,18
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,303 - B,37,705,340,1082
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,303 - B,13,48,16,77
Matt Sterett,Railroad Commissioner,,LIB,Taylor,303 - B,0,11,14,25
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,303 - B,0,2,1,3
Dawn Buckingham,State Senate,24,REP,Taylor,303 - B,37,712,355,1104
Clayton Tucker,State Senate,24,DEM,Taylor,303 - B,13,55,18,86
Stan Lambert,State Representative,71,REP,Taylor,303 - B,38,719,352,1109
Samuel Hatton,State Representative,71,DEM,Taylor,303 - B,12,44,18,74
Donald J Trump,President,,REP,Taylor,303 - W4,0,1,2,3
Joseph R Biden,President,,DEM,Taylor,303 - W4,0,0,0,0
Jo Jorgensen,President,,LIB,Taylor,303 - W4,0,0,0,0
Howie Hawkins,President,,GRN,Taylor,303 - W4,0,0,0,0
Abram Loeb (W),President,,,Taylor,303 - W4,0,0,0,0
Brian Carroll (W),President,,,Taylor,303 - W4,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,303 - W4,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,303 - W4,0,0,0,0
Kasey Wells (W),President,,,Taylor,303 - W4,0,0,0,0
President R. Boddie (W),President,,,Taylor,303 - W4,0,0,0,0
Robert Marrow (W),President,,,Taylor,303 - W4,0,0,0,0
Todd Cella (W),President,,,Taylor,303 - W4,0,0,0,0
Tom Heofling (W),President,,,Taylor,303 - W4,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,303 - W4,0,1,2,3
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,303 - W4,0,0,0,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,303 - W4,0,0,0,0
David B. Collins,U.S. Senate,,GRN,Taylor,303 - W4,0,0,0,0
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,303 - W4,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,303 - W4,0,1,2,3
Tom Watson,U.S. House,19,DEM,Taylor,303 - W4,0,0,0,0
Joe Bumes,U.S. House,19,LIB,Taylor,303 - W4,0,0,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,303 - W4,0,1,2,3
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,303 - W4,0,0,0,0
Matt Sterett,Railroad Commissioner,,LIB,Taylor,303 - W4,0,0,0,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,303 - W4,0,0,0,0
