candidate,office,district,party,county,precinct,early_voting,election_day,votes
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Harrison,Precinct 20,14,3,17
Over Votes,Railroad Commissioner,,,Harrison,Precinct 20,0,0,0
Under Votes,Railroad Commissioner,,,Harrison,Precinct 20,41,12,53
Bryan Hughes,State Senate,1,,Harrison,Precinct 20,1071,272,1343
Audrey Spanko,State Senate,1,,Harrison,Precinct 20,271,64,335
Over Votes,State Senate,1,,Harrison,Precinct 20,0,0,0
Under Votes,State Senate,1,,Harrison,Precinct 20,47,12,59
Chris Paddie,State Representative,9,,Harrison,Precinct 20,1154,298,1452
Over Votes,State Representative,9,,Harrison,Precinct 20,0,0,0
Under Votes,State Representative,9,,Harrison,Precinct 20,235,50,285
Ballots Cast,,,,Harrison,Precinct 21,,,538
Donald J Trump,President,,REP,Harrison,Precinct 21,307,71,378
Joseph R Biden,President,,DEM,Harrison,Precinct 21,127,20,147
Jo Jorgensen,President,,LIB,Harrison,Precinct 21,4,3,7
Howie Hawkins,President,,GRN,Harrison,Precinct 21,0,0,0
President R. Boddie (W),President,,,Harrison,Precinct 21,0,0,0
Brian Carroll (W),President,,,Harrison,Precinct 21,0,0,0
Todd Cella (W),President,,,Harrison,Precinct 21,0,0,0
Jesse Cuellar (W),President,,,Harrison,Precinct 21,0,0,0
Tom Heofling (W),President,,,Harrison,Precinct 21,0,0,0
Gloria La Rivera (W),President,,,Harrison,Precinct 21,0,0,0
Abram Loeb (W),President,,,Harrison,Precinct 21,0,0,0
Robert Marrow (W),President,,,Harrison,Precinct 21,0,0,0
Kasey Wells (W),President,,,Harrison,Precinct 21,0,0,0
Over Votes,President,,,Harrison,Precinct 21,0,0,0
Under Votes,President,,,Harrison,Precinct 21,3,3,6
John Cornyn,U.S. Senate,,REP,Harrison,Precinct 21,300,73,373
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Harrison,Precinct 21,123,22,145
Kerry Douglas McKennon,U.S. Senate,,LIB,Harrison,Precinct 21,4,1,5
David B. Collins,U.S. Senate,,GRN,Harrison,Precinct 21,1,0,1
Ricardo Turullois Bonilla (W),U.S. Senate,,,Harrison,Precinct 21,0,0,0
Over Votes,U.S. Senate,,,Harrison,Precinct 21,0,0,0
Under Votes,U.S. Senate,,,Harrison,Precinct 21,13,1,14
Louie Gohmert,U.S. House,1,,Harrison,Precinct 21,305,75,380
Hank Gilbert,U.S. House,1,,Harrison,Precinct 21,123,21,144
Over Votes,U.S. House,1,,Harrison,Precinct 21,0,0,0
Under Votes,U.S. House,1,,Harrison,Precinct 21,13,1,14
"James ""Jim"" Wright",Railroad Commissioner,,REP,Harrison,Precinct 21,303,74,377
Chrysta Castaneda,Railroad Commissioner,,DEM,Harrison,Precinct 21,121,18,139
Matt Sterett,Railroad Commissioner,,LIB,Harrison,Precinct 21,2,0,2
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Harrison,Precinct 21,2,1,3
Over Votes,Railroad Commissioner,,,Harrison,Precinct 21,0,0,0
Under Votes,Railroad Commissioner,,,Harrison,Precinct 21,13,4,17
Bryan Hughes,State Senate,1,,Harrison,Precinct 21,309,75,384
Audrey Spanko,State Senate,1,,Harrison,Precinct 21,121,17,138
Over Votes,State Senate,1,,Harrison,Precinct 21,0,0,0
Under Votes,State Senate,1,,Harrison,Precinct 21,11,5,16
Chris Paddie,State Representative,9,,Harrison,Precinct 21,343,80,423
Over Votes,State Representative,9,,Harrison,Precinct 21,0,0,0
Under Votes,State Representative,9,,Harrison,Precinct 21,98,17,115
Ballots Cast,,,,Harrison,Precinct 22,,,1017
Donald J Trump,President,,REP,Harrison,Precinct 22,328,58,386
Joseph R Biden,President,,DEM,Harrison,Precinct 22,514,98,612
Jo Jorgensen,President,,LIB,Harrison,Precinct 22,7,1,8
Howie Hawkins,President,,GRN,Harrison,Precinct 22,4,2,6
President R. Boddie (W),President,,,Harrison,Precinct 22,0,0,0
Brian Carroll (W),President,,,Harrison,Precinct 22,0,0,0
Todd Cella (W),President,,,Harrison,Precinct 22,0,0,0
Jesse Cuellar (W),President,,,Harrison,Precinct 22,0,0,0
Tom Heofling (W),President,,,Harrison,Precinct 22,0,0,0
Gloria La Rivera (W),President,,,Harrison,Precinct 22,0,0,0
Abram Loeb (W),President,,,Harrison,Precinct 22,0,0,0
Robert Marrow (W),President,,,Harrison,Precinct 22,0,0,0
Kasey Wells (W),President,,,Harrison,Precinct 22,0,0,0
Over Votes,President,,,Harrison,Precinct 22,3,0,3
Under Votes,President,,,Harrison,Precinct 22,2,0,2
John Cornyn,U.S. Senate,,REP,Harrison,Precinct 22,323,54,377
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Harrison,Precinct 22,494,96,590
Kerry Douglas McKennon,U.S. Senate,,LIB,Harrison,Precinct 22,10,5,15
David B. Collins,U.S. Senate,,GRN,Harrison,Precinct 22,2,4,6
Ricardo Turullois Bonilla (W),U.S. Senate,,,Harrison,Precinct 22,0,0,0
Over Votes,U.S. Senate,,,Harrison,Precinct 22,4,0,4
Under Votes,U.S. Senate,,,Harrison,Precinct 22,25,0,25
Louie Gohmert,U.S. House,1,,Harrison,Precinct 22,337,59,396
Hank Gilbert,U.S. House,1,,Harrison,Precinct 22,493,97,590
Over Votes,U.S. House,1,,Harrison,Precinct 22,3,0,3
Under Votes,U.S. House,1,,Harrison,Precinct 22,25,3,28
"James ""Jim"" Wright",Railroad Commissioner,,REP,Harrison,Precinct 22,324,51,375
Chrysta Castaneda,Railroad Commissioner,,DEM,Harrison,Precinct 22,479,95,574
Matt Sterett,Railroad Commissioner,,LIB,Harrison,Precinct 22,13,8,21
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Harrison,Precinct 22,7,3,10
Over Votes,Railroad Commissioner,,,Harrison,Precinct 22,4,0,4
Under Votes,Railroad Commissioner,,,Harrison,Precinct 22,31,2,33
Bryan Hughes,State Senate,1,,Harrison,Precinct 22,349,61,410
Audrey Spanko,State Senate,1,,Harrison,Precinct 22,472,96,568
Over Votes,State Senate,1,,Harrison,Precinct 22,1,0,1
Under Votes,State Senate,1,,Harrison,Precinct 22,36,2,38
Chris Paddie,State Representative,9,,Harrison,Precinct 22,474,101,575
Over Votes,State Representative,9,,Harrison,Precinct 22,0,0,0
Under Votes,State Representative,9,,Harrison,Precinct 22,384,58,442
Ballots Cast,,,,Harrison,Precinct 23,,,447
Donald J Trump,President,,REP,Harrison,Precinct 23,321,90,411
Joseph R Biden,President,,DEM,Harrison,Precinct 23,29,1,30
Jo Jorgensen,President,,LIB,Harrison,Precinct 23,5,1,6
Howie Hawkins,President,,GRN,Harrison,Precinct 23,0,0,0
President R. Boddie (W),President,,,Harrison,Precinct 23,0,0,0
Brian Carroll (W),President,,,Harrison,Precinct 23,0,0,0
Todd Cella (W),President,,,Harrison,Precinct 23,0,0,0
Jesse Cuellar (W),President,,,Harrison,Precinct 23,0,0,0
Tom Heofling (W),President,,,Harrison,Precinct 23,0,0,0
Gloria La Rivera (W),President,,,Harrison,Precinct 23,0,0,0
Abram Loeb (W),President,,,Harrison,Precinct 23,0,0,0
Robert Marrow (W),President,,,Harrison,Precinct 23,0,0,0
Kasey Wells (W),President,,,Harrison,Precinct 23,0,0,0
Over Votes,President,,,Harrison,Precinct 23,0,0,0
Under Votes,President,,,Harrison,Precinct 23,0,0,0
John Cornyn,U.S. Senate,,REP,Harrison,Precinct 23,320,90,410
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Harrison,Precinct 23,29,1,30
Kerry Douglas McKennon,U.S. Senate,,LIB,Harrison,Precinct 23,2,0,2
David B. Collins,U.S. Senate,,GRN,Harrison,Precinct 23,0,0,0
Ricardo Turullois Bonilla (W),U.S. Senate,,,Harrison,Precinct 23,0,0,0
Over Votes,U.S. Senate,,,Harrison,Precinct 23,0,0,0
Under Votes,U.S. Senate,,,Harrison,Precinct 23,4,1,5
Louie Gohmert,U.S. House,1,,Harrison,Precinct 23,323,90,413
Hank Gilbert,U.S. House,1,,Harrison,Precinct 23,29,1,30
Over Votes,U.S. House,1,,Harrison,Precinct 23,0,0,0
Under Votes,U.S. House,1,,Harrison,Precinct 23,3,1,4
"James ""Jim"" Wright",Railroad Commissioner,,REP,Harrison,Precinct 23,321,90,411
Chrysta Castaneda,Railroad Commissioner,,DEM,Harrison,Precinct 23,21,0,21
Matt Sterett,Railroad Commissioner,,LIB,Harrison,Precinct 23,5,0,5
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Harrison,Precinct 23,1,0,1
Over Votes,Railroad Commissioner,,,Harrison,Precinct 23,0,0,0
Under Votes,Railroad Commissioner,,,Harrison,Precinct 23,7,2,9
Bryan Hughes,State Senate,1,,Harrison,Precinct 23,324,90,414
Audrey Spanko,State Senate,1,,Harrison,Precinct 23,24,0,24
Over Votes,State Senate,1,,Harrison,Precinct 23,0,0,0
Under Votes,State Senate,1,,Harrison,Precinct 23,7,2,9
Chris Paddie,State Representative,9,,Harrison,Precinct 23,328,87,415
Over Votes,State Representative,9,,Harrison,Precinct 23,0,0,0
Under Votes,State Representative,9,,Harrison,Precinct 23,27,5,32
Ballots Cast,,,,Harrison,Precinct 24,,,443
Donald J Trump,President,,REP,Harrison,Precinct 24,308,63,371
Joseph R Biden,President,,DEM,Harrison,Precinct 24,53,11,64
Jo Jorgensen,President,,LIB,Harrison,Precinct 24,0,3,3
Howie Hawkins,President,,GRN,Harrison,Precinct 24,1,0,1
President R. Boddie (W),President,,,Harrison,Precinct 24,0,0,0
Brian Carroll (W),President,,,Harrison,Precinct 24,0,0,0
Todd Cella (W),President,,,Harrison,Precinct 24,0,0,0
Jesse Cuellar (W),President,,,Harrison,Precinct 24,0,0,0
Tom Heofling (W),President,,,Harrison,Precinct 24,0,0,0
Gloria La Rivera (W),President,,,Harrison,Precinct 24,0,0,0
Abram Loeb (W),President,,,Harrison,Precinct 24,0,0,0
Robert Marrow (W),President,,,Harrison,Precinct 24,0,0,0
Kasey Wells (W),President,,,Harrison,Precinct 24,0,0,0
Over Votes,President,,,Harrison,Precinct 24,2,0,2
Under Votes,President,,,Harrison,Precinct 24,2,0,2
John Cornyn,U.S. Senate,,REP,Harrison,Precinct 24,303,61,364
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Harrison,Precinct 24,52,12,64
Kerry Douglas McKennon,U.S. Senate,,LIB,Harrison,Precinct 24,2,4,6
David B. Collins,U.S. Senate,,GRN,Harrison,Precinct 24,2,0,2
Ricardo Turullois Bonilla (W),U.S. Senate,,,Harrison,Precinct 24,0,0,0
Over Votes,U.S. Senate,,,Harrison,Precinct 24,1,0,1
Under Votes,U.S. Senate,,,Harrison,Precinct 24,6,0,6
Louie Gohmert,U.S. House,1,,Harrison,Precinct 24,302,64,366
Hank Gilbert,U.S. House,1,,Harrison,Precinct 24,58,13,71
Over Votes,U.S. House,1,,Harrison,Precinct 24,0,0,0
Under Votes,U.S. House,1,,Harrison,Precinct 24,6,0,6
"James ""Jim"" Wright",Railroad Commissioner,,REP,Harrison,Precinct 24,298,60,358
Chrysta Castaneda,Railroad Commissioner,,DEM,Harrison,Precinct 24,58,12,70
Matt Sterett,Railroad Commissioner,,LIB,Harrison,Precinct 24,1,4,5
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Harrison,Precinct 24,2,0,2
Over Votes,Railroad Commissioner,,,Harrison,Precinct 24,0,0,0
Under Votes,Railroad Commissioner,,,Harrison,Precinct 24,7,1,8
Bryan Hughes,State Senate,1,,Harrison,Precinct 24,301,65,366
Audrey Spanko,State Senate,1,,Harrison,Precinct 24,56,12,68
Over Votes,State Senate,1,,Harrison,Precinct 24,0,0,0
Under Votes,State Senate,1,,Harrison,Precinct 24,9,0,9
Chris Paddie,State Representative,9,,Harrison,Precinct 24,315,70,385
Over Votes,State Representative,9,,Harrison,Precinct 24,0,0,0
Under Votes,State Representative,9,,Harrison,Precinct 24,51,7,58
Ballots Cast,,,,Harrison,Precinct 25,,,2721
Donald J Trump,President,,REP,Harrison,Precinct 25,2044,235,2279
Joseph R Biden,President,,DEM,Harrison,Precinct 25,350,43,393
Jo Jorgensen,President,,LIB,Harrison,Precinct 25,24,8,32
Howie Hawkins,President,,GRN,Harrison,Precinct 25,2,0,2
President R. Boddie (W),President,,,Harrison,Precinct 25,0,0,0
Brian Carroll (W),President,,,Harrison,Precinct 25,1,0,1
Todd Cella (W),President,,,Harrison,Precinct 25,0,0,0
Jesse Cuellar (W),President,,,Harrison,Precinct 25,0,0,0
Tom Heofling (W),President,,,Harrison,Precinct 25,1,0,1
Gloria La Rivera (W),President,,,Harrison,Precinct 25,0,0,0
Abram Loeb (W),President,,,Harrison,Precinct 25,0,0,0
Robert Marrow (W),President,,,Harrison,Precinct 25,0,0,0
Kasey Wells (W),President,,,Harrison,Precinct 25,0,0,0
Over Votes,President,,,Harrison,Precinct 25,0,0,0
Under Votes,President,,,Harrison,Precinct 25,12,1,13
John Cornyn,U.S. Senate,,REP,Harrison,Precinct 25,2029,232,2261
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Harrison,Precinct 25,334,42,376
Kerry Douglas McKennon,U.S. Senate,,LIB,Harrison,Precinct 25,48,9,57
David B. Collins,U.S. Senate,,GRN,Harrison,Precinct 25,8,0,8
Ricardo Turullois Bonilla (W),U.S. Senate,,,Harrison,Precinct 25,0,0,0
Over Votes,U.S. Senate,,,Harrison,Precinct 25,0,0,0
Under Votes,U.S. Senate,,,Harrison,Precinct 25,15,4,19
Louie Gohmert,U.S. House,1,,Harrison,Precinct 25,2052,234,2286
Hank Gilbert,U.S. House,1,,Harrison,Precinct 25,366,50,416
Over Votes,U.S. House,1,,Harrison,Precinct 25,0,0,0
Under Votes,U.S. House,1,,Harrison,Precinct 25,16,3,19
"James ""Jim"" Wright",Railroad Commissioner,,REP,Harrison,Precinct 25,2039,228,2267
Chrysta Castaneda,Railroad Commissioner,,DEM,Harrison,Precinct 25,303,33,336
Matt Sterett,Railroad Commissioner,,LIB,Harrison,Precinct 25,44,10,54
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Harrison,Precinct 25,11,3,14
Over Votes,Railroad Commissioner,,,Harrison,Precinct 25,0,0,0
Under Votes,Railroad Commissioner,,,Harrison,Precinct 25,37,13,50
Bryan Hughes,State Senate,1,,Harrison,Precinct 25,2069,236,2305
Audrey Spanko,State Senate,1,,Harrison,Precinct 25,321,37,358
Over Votes,State Senate,1,,Harrison,Precinct 25,0,0,0
Under Votes,State Senate,1,,Harrison,Precinct 25,44,14,58
Chris Paddie,State Representative,9,,Harrison,Precinct 25,2164,254,2418
Over Votes,State Representative,9,,Harrison,Precinct 25,0,0,0
Under Votes,State Representative,9,,Harrison,Precinct 25,270,33,303
Ballots Cast,,,,Harrison,Precinct 26,,,387
Donald J Trump,President,,REP,Harrison,Precinct 26,266,37,303
Joseph R Biden,President,,DEM,Harrison,Precinct 26,70,10,80
Jo Jorgensen,President,,LIB,Harrison,Precinct 26,0,1,1
Howie Hawkins,President,,GRN,Harrison,Precinct 26,0,0,0
President R. Boddie (W),President,,,Harrison,Precinct 26,0,0,0
Brian Carroll (W),President,,,Harrison,Precinct 26,0,0,0
Todd Cella (W),President,,,Harrison,Precinct 26,0,0,0
Jesse Cuellar (W),President,,,Harrison,Precinct 26,0,0,0
Tom Heofling (W),President,,,Harrison,Precinct 26,0,0,0
Gloria La Rivera (W),President,,,Harrison,Precinct 26,0,0,0
Abram Loeb (W),President,,,Harrison,Precinct 26,0,0,0
Robert Marrow (W),President,,,Harrison,Precinct 26,0,0,0
Kasey Wells (W),President,,,Harrison,Precinct 26,0,0,0
Over Votes,President,,,Harrison,Precinct 26,1,0,1
Under Votes,President,,,Harrison,Precinct 26,2,0,2
John Cornyn,U.S. Senate,,REP,Harrison,Precinct 26,270,32,302
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Harrison,Precinct 26,62,14,76
Kerry Douglas McKennon,U.S. Senate,,LIB,Harrison,Precinct 26,2,2,4
David B. Collins,U.S. Senate,,GRN,Harrison,Precinct 26,2,0,2
Ricardo Turullois Bonilla (W),U.S. Senate,,,Harrison,Precinct 26,0,0,0
Over Votes,U.S. Senate,,,Harrison,Precinct 26,0,0,0
Under Votes,U.S. Senate,,,Harrison,Precinct 26,3,0,3
Louie Gohmert,U.S. House,1,,Harrison,Precinct 26,272,36,308
Hank Gilbert,U.S. House,1,,Harrison,Precinct 26,63,12,75
Over Votes,U.S. House,1,,Harrison,Precinct 26,0,0,0
Under Votes,U.S. House,1,,Harrison,Precinct 26,4,0,4
"James ""Jim"" Wright",Railroad Commissioner,,REP,Harrison,Precinct 26,272,34,306
Chrysta Castaneda,Railroad Commissioner,,DEM,Harrison,Precinct 26,57,10,67
Matt Sterett,Railroad Commissioner,,LIB,Harrison,Precinct 26,3,2,5
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Harrison,Precinct 26,0,0,0
Over Votes,Railroad Commissioner,,,Harrison,Precinct 26,0,0,0
Under Votes,Railroad Commissioner,,,Harrison,Precinct 26,7,2,9
Bryan Hughes,State Senate,1,,Harrison,Precinct 26,273,33,306
Audrey Spanko,State Senate,1,,Harrison,Precinct 26,58,11,69
Over Votes,State Senate,1,,Harrison,Precinct 26,1,0,1
Under Votes,State Senate,1,,Harrison,Precinct 26,7,4,11
Chris Paddie,State Representative,9,,Harrison,Precinct 26,291,39,330
Over Votes,State Representative,9,,Harrison,Precinct 26,0,0,0
Under Votes,State Representative,9,,Harrison,Precinct 26,48,9,57
Ballots Cast,,,,Harrison,Precinct FED,,,19
Donald J Trump,President,,REP,Harrison,Precinct FED,0,11,11
Joseph R Biden,President,,DEM,Harrison,Precinct FED,0,8,8
Jo Jorgensen,President,,LIB,Harrison,Precinct FED,0,0,0
Howie Hawkins,President,,GRN,Harrison,Precinct FED,0,0,0
President R. Boddie (W),President,,,Harrison,Precinct FED,0,0,0
Brian Carroll (W),President,,,Harrison,Precinct FED,0,0,0
Todd Cella (W),President,,,Harrison,Precinct FED,0,0,0
Jesse Cuellar (W),President,,,Harrison,Precinct FED,0,0,0
Tom Heofling (W),President,,,Harrison,Precinct FED,0,0,0
Gloria La Rivera (W),President,,,Harrison,Precinct FED,0,0,0
Abram Loeb (W),President,,,Harrison,Precinct FED,0,0,0
Robert Marrow (W),President,,,Harrison,Precinct FED,0,0,0
Kasey Wells (W),President,,,Harrison,Precinct FED,0,0,0
Over Votes,President,,,Harrison,Precinct FED,0,0,0
Under Votes,President,,,Harrison,Precinct FED,0,0,0
John Cornyn,U.S. Senate,,REP,Harrison,Precinct FED,0,10,10
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Harrison,Precinct FED,0,7,7
Kerry Douglas McKennon,U.S. Senate,,LIB,Harrison,Precinct FED,0,0,0
David B. Collins,U.S. Senate,,GRN,Harrison,Precinct FED,0,1,1
Ricardo Turullois Bonilla (W),U.S. Senate,,,Harrison,Precinct FED,0,0,0
Over Votes,U.S. Senate,,,Harrison,Precinct FED,0,0,0
Under Votes,U.S. Senate,,,Harrison,Precinct FED,0,1,1
Louie Gohmert,U.S. House,1,,Harrison,Precinct FED,0,10,10
Hank Gilbert,U.S. House,1,,Harrison,Precinct FED,0,8,8
Over Votes,U.S. House,1,,Harrison,Precinct FED,0,0,0
Under Votes,U.S. House,1,,Harrison,Precinct FED,0,1,1
