county,office,district,candidate,incumbent,party,votes,pct
DEAF SMITH,U. S. Senator,,Paul Sadler,FALSE,DEM,12,75
DEAF SMITH,U. S. Senator,,Grady Yarbrough,FALSE,DEM,4,25
DEAF SMITH,U. S. Senator,,Total,,,16,
DELTA,U. S. Senator,,Paul Sadler,FALSE,DEM,14,77.78
DELTA,U. S. Senator,,Grady Yarbrough,FALSE,DEM,4,22.22
DELTA,U. S. Senator,,Total,,,18,
DENTON,U. S. Senator,,Paul Sadler,FALSE,DEM,940,76.99
DENTON,U. S. Senator,,Grady Yarbrough,FALSE,DEM,281,23.01
DENTON,U. S. Senator,,Total,,,1221,
DEWITT,U. S. Senator,,Paul Sadler,FALSE,DEM,55,69.62
DEWITT,U. S. Senator,,Grady Yarbrough,FALSE,DEM,24,30.38
DEWITT,U. S. Senator,,Total,,,79,
DEWITT,U. S. Representative,34,Denise Saenz Blanchard,FALSE,DEM,55,67.07
DEWITT,U. S. Representative,34,Filemon Vela,FALSE,DEM,27,32.93
DEWITT,U. S. Representative,34,Total,,,82,
DEWITT,Member State Board of Education,2,"Ruben Cortez, Jr.",FALSE,DEM,42,52.5
DEWITT,Member State Board of Education,2,Celeste Zepeda Sanchez,FALSE,DEM,38,47.5
DEWITT,Member State Board of Education,2,Total,,,80,
DICKENS,U. S. Senator,,Paul Sadler,FALSE,DEM,15,65.22
DICKENS,U. S. Senator,,Grady Yarbrough,FALSE,DEM,8,34.78
DICKENS,U. S. Senator,,Total,,,23,
DIMMIT,U. S. Senator,,Paul Sadler,FALSE,DEM,738,58.11
DIMMIT,U. S. Senator,,Grady Yarbrough,FALSE,DEM,532,41.89
DIMMIT,U. S. Senator,,Total,,,1270,
DIMMIT,U. S. Representative,23,Pete P. Gallego,FALSE,DEM,703,42.63
DIMMIT,U. S. Representative,23,Ciro D. Rodriguez,FALSE,DEM,946,57.37
DIMMIT,U. S. Representative,23,Total,,,1649,
DONLEY,U. S. Senator,,Paul Sadler,FALSE,DEM,12,60
DONLEY,U. S. Senator,,Grady Yarbrough,FALSE,DEM,8,40
DONLEY,U. S. Senator,,Total,,,20,
DUVAL,U. S. Senator,,Paul Sadler,FALSE,DEM,422,59.35
DUVAL,U. S. Senator,,Grady Yarbrough,FALSE,DEM,289,40.65
DUVAL,U. S. Senator,,Total,,,711,
EASTLAND,U. S. Senator,,Paul Sadler,FALSE,DEM,60,82.19
EASTLAND,U. S. Senator,,Grady Yarbrough,FALSE,DEM,13,17.81
EASTLAND,U. S. Senator,,Total,,,73,
ECTOR,U. S. Senator,,Paul Sadler,FALSE,DEM,113,60.75
ECTOR,U. S. Senator,,Grady Yarbrough,FALSE,DEM,73,39.25
ECTOR,U. S. Senator,,Total,,,186,
EDWARDS,U. S. Senator,,Paul Sadler,FALSE,DEM,4,57.14
EDWARDS,U. S. Senator,,Grady Yarbrough,FALSE,DEM,3,42.86
EDWARDS,U. S. Senator,,Total,,,7,
EDWARDS,U. S. Representative,23,Pete P. Gallego,FALSE,DEM,4,50
EDWARDS,U. S. Representative,23,Ciro D. Rodriguez,FALSE,DEM,4,50
EDWARDS,U. S. Representative,23,Total,,,8,
EL PASO,U. S. Senator,,Paul Sadler,FALSE,DEM,8037,60.31
EL PASO,U. S. Senator,,Grady Yarbrough,FALSE,DEM,5290,39.69
EL PASO,U. S. Senator,,Total,,,13327,
EL PASO,U. S. Representative,23,Pete P. Gallego,FALSE,DEM,1201,55.6
EL PASO,U. S. Representative,23,Ciro D. Rodriguez,FALSE,DEM,959,44.4
EL PASO,U. S. Representative,23,Total,,,2160,
EL PASO,Justice 8th Court of Appeals District,2,Marcos Lizarraga,FALSE,DEM,7217,48.03
EL PASO,Justice 8th Court of Appeals District,2,Yvonne Rodriguez,FALSE,DEM,7810,51.97
EL PASO,Justice 8th Court of Appeals District,2,Total,,,15027,
EL PASO,District Judge,41st Judicial District,Mike Cervantes,FALSE,DEM,7105,47.04
EL PASO,District Judge,41st Judicial District,Anna Perez,FALSE,DEM,7998,52.96
EL PASO,District Judge,41st Judicial District,Total,,,15103,
EL PASO,District Judge,388th Judicial District,Lucila F. Camarena,FALSE,DEM,6971,46.51
EL PASO,District Judge,388th Judicial District,Laura Strathmann,FALSE,DEM,8017,53.49
EL PASO,District Judge,388th Judicial District,Total,,,14988,
EL PASO,District Judge,448th Judicial District,Regina Arditti,TRUE,DEM,6897,45.99
EL PASO,District Judge,448th Judicial District,Sergio H. Enriquez,FALSE,DEM,8101,54.01
EL PASO,District Judge,448th Judicial District,Total,,,14998,
EL PASO,"Criminal District Judge, El Paso County",1,Theresa (TC) Caballero,FALSE,DEM,6179,39.64
EL PASO,"Criminal District Judge, El Paso County",1,Diane Navarrete,FALSE,DEM,9410,60.36
EL PASO,"Criminal District Judge, El Paso County",1,Total,,,15589,
ELLIS,U. S. Senator,,Paul Sadler,FALSE,DEM,260,64.84
ELLIS,U. S. Senator,,Grady Yarbrough,FALSE,DEM,141,35.16
ELLIS,U. S. Senator,,Total,,,401,
ERATH,U. S. Senator,,Paul Sadler,FALSE,DEM,78,69.03
ERATH,U. S. Senator,,Grady Yarbrough,FALSE,DEM,35,30.97
ERATH,U. S. Senator,,Total,,,113,
FALLS,U. S. Senator,,Paul Sadler,FALSE,DEM,25,37.88
FALLS,U. S. Senator,,Grady Yarbrough,FALSE,DEM,41,62.12
FALLS,U. S. Senator,,Total,,,66,
FANNIN,U. S. Senator,,Paul Sadler,FALSE,DEM,73,70.87
FANNIN,U. S. Senator,,Grady Yarbrough,FALSE,DEM,30,29.13
FANNIN,U. S. Senator,,Total,,,103,
FAYETTE,U. S. Senator,,Paul Sadler,FALSE,DEM,151,71.9
FAYETTE,U. S. Senator,,Grady Yarbrough,FALSE,DEM,59,28.1
FAYETTE,U. S. Senator,,Total,,,210,
FISHER,U. S. Senator,,Paul Sadler,FALSE,DEM,20,71.43
FISHER,U. S. Senator,,Grady Yarbrough,FALSE,DEM,8,28.57
FISHER,U. S. Senator,,Total,,,28,
FLOYD,U. S. Senator,,Paul Sadler,FALSE,DEM,11,68.75
FLOYD,U. S. Senator,,Grady Yarbrough,FALSE,DEM,5,31.25
FLOYD,U. S. Senator,,Total,,,16,
FOARD,U. S. Senator,,Paul Sadler,FALSE,DEM,9,69.23
FOARD,U. S. Senator,,Grady Yarbrough,FALSE,DEM,4,30.77
FOARD,U. S. Senator,,Total,,,13,
FORT BEND,U. S. Senator,,Paul Sadler,FALSE,DEM,1292,61
FORT BEND,U. S. Senator,,Grady Yarbrough,FALSE,DEM,826,39
FORT BEND,U. S. Senator,,Total,,,2118,
FRANKLIN,U. S. Senator,,Paul Sadler,FALSE,DEM,10,66.67
FRANKLIN,U. S. Senator,,Grady Yarbrough,FALSE,DEM,5,33.33
FRANKLIN,U. S. Senator,,Total,,,15,
FREESTONE,U. S. Senator,,Paul Sadler,FALSE,DEM,147,51.94
FREESTONE,U. S. Senator,,Grady Yarbrough,FALSE,DEM,136,48.06
FREESTONE,U. S. Senator,,Total,,,283,
FRIO,U. S. Senator,,Paul Sadler,FALSE,DEM,642,57.27
FRIO,U. S. Senator,,Grady Yarbrough,FALSE,DEM,479,42.73
FRIO,U. S. Senator,,Total,,,1121,
FRIO,U. S. Representative,23,Pete P. Gallego,FALSE,DEM,515,37.87
FRIO,U. S. Representative,23,Ciro D. Rodriguez,FALSE,DEM,845,62.13
FRIO,U. S. Representative,23,Total,,,1360,
GAINES,U. S. Senator,,Paul Sadler,FALSE,DEM,2,40
GAINES,U. S. Senator,,Grady Yarbrough,FALSE,DEM,3,60
GAINES,U. S. Senator,,Total,,,5,
GALVESTON,U. S. Senator,,Paul Sadler,FALSE,DEM,814,64.65
GALVESTON,U. S. Senator,,Grady Yarbrough,FALSE,DEM,445,35.35
GALVESTON,U. S. Senator,,Total,,,1259,
GARZA,U. S. Senator,,Paul Sadler,FALSE,DEM,4,50
GARZA,U. S. Senator,,Grady Yarbrough,FALSE,DEM,4,50
GARZA,U. S. Senator,,Total,,,8,
GILLESPIE,U. S. Senator,,Paul Sadler,FALSE,DEM,106,88.33
GILLESPIE,U. S. Senator,,Grady Yarbrough,FALSE,DEM,14,11.67
GILLESPIE,U. S. Senator,,Total,,,120,
GLASSCOCK,U. S. Senator,,Paul Sadler,FALSE,DEM,0,0
GLASSCOCK,U. S. Senator,,Grady Yarbrough,FALSE,DEM,0,0
GLASSCOCK,U. S. Senator,,Total,,,0,
GOLIAD,U. S. Senator,,Paul Sadler,FALSE,DEM,44,50.57
GOLIAD,U. S. Senator,,Grady Yarbrough,FALSE,DEM,43,49.43
GOLIAD,U. S. Senator,,Total,,,87,
GOLIAD,U. S. Representative,34,Denise Saenz Blanchard,FALSE,DEM,50,52.63
GOLIAD,U. S. Representative,34,Filemon Vela,FALSE,DEM,45,47.37
GOLIAD,U. S. Representative,34,Total,,,95,
GOLIAD,Member State Board of Education,2,"Ruben Cortez, Jr.",FALSE,DEM,53,58.24
GOLIAD,Member State Board of Education,2,Celeste Zepeda Sanchez,FALSE,DEM,38,41.76
GOLIAD,Member State Board of Education,2,Total,,,91,
GONZALES,U. S. Senator,,Paul Sadler,FALSE,DEM,55,62.5
GONZALES,U. S. Senator,,Grady Yarbrough,FALSE,DEM,33,37.5
GONZALES,U. S. Senator,,Total,,,88,
GONZALES,U. S. Representative,27,Rose Meza Harrison,FALSE,DEM,41,56.94
GONZALES,U. S. Representative,27,Jerry J. Trevino,FALSE,DEM,31,43.06
